"","ModelSize","Model","DimX"
"1",11,"binomialRF",2000
"2",12,"binomialRF",2000
"3",17,"binomialRF",2000
"4",10,"binomialRF",2000
"5",8,"binomialRF",2000
"6",11,"binomialRF",2000
"7",10,"binomialRF",2000
"8",13,"binomialRF",2000
"9",6,"binomialRF",2000
"10",11,"binomialRF",2000
"11",13,"binomialRF",2000
"12",14,"binomialRF",2000
"13",13,"binomialRF",2000
"14",10,"binomialRF",2000
"15",6,"binomialRF",2000
"16",8,"binomialRF",2000
"17",13,"binomialRF",2000
"18",12,"binomialRF",2000
"19",14,"binomialRF",2000
"20",9,"binomialRF",2000
"21",10,"binomialRF",2000
"22",6,"binomialRF",2000
"23",9,"binomialRF",2000
"24",9,"binomialRF",2000
"25",13,"binomialRF",2000
"26",7,"binomialRF",2000
"27",11,"binomialRF",2000
"28",7,"binomialRF",2000
"29",11,"binomialRF",2000
"30",9,"binomialRF",2000
"31",15,"binomialRF",2000
"32",6,"binomialRF",2000
"33",10,"binomialRF",2000
"34",12,"binomialRF",2000
"35",6,"binomialRF",2000
"36",8,"binomialRF",2000
"37",11,"binomialRF",2000
"38",10,"binomialRF",2000
"39",10,"binomialRF",2000
"40",6,"binomialRF",2000
"41",11,"binomialRF",2000
"42",8,"binomialRF",2000
"43",12,"binomialRF",2000
"44",7,"binomialRF",2000
"45",7,"binomialRF",2000
"46",10,"binomialRF",2000
"47",6,"binomialRF",2000
"48",11,"binomialRF",2000
"49",12,"binomialRF",2000
"50",10,"binomialRF",2000
