"","ModelSize","Model","DimX"
"1",1,"binomialRF",100
"2",3,"binomialRF",100
"3",3,"binomialRF",100
"4",3,"binomialRF",100
"5",2,"binomialRF",100
"6",0,"binomialRF",100
"7",0,"binomialRF",100
"8",1,"binomialRF",100
"9",2,"binomialRF",100
"10",3,"binomialRF",100
"11",3,"binomialRF",100
"12",3,"binomialRF",100
"13",1,"binomialRF",100
"14",3,"binomialRF",100
"15",3,"binomialRF",100
"16",2,"binomialRF",100
"17",3,"binomialRF",100
"18",1,"binomialRF",100
"19",3,"binomialRF",100
"20",1,"binomialRF",100
"21",1,"binomialRF",100
"22",2,"binomialRF",100
"23",2,"binomialRF",100
"24",0,"binomialRF",100
"25",1,"binomialRF",100
"26",3,"binomialRF",100
"27",0,"binomialRF",100
"28",3,"binomialRF",100
"29",2,"binomialRF",100
"30",2,"binomialRF",100
"31",0,"binomialRF",100
"32",2,"binomialRF",100
"33",2,"binomialRF",100
"34",1,"binomialRF",100
"35",2,"binomialRF",100
"36",2,"binomialRF",100
"37",2,"binomialRF",100
"38",2,"binomialRF",100
"39",0,"binomialRF",100
"40",2,"binomialRF",100
"41",1,"binomialRF",100
"42",2,"binomialRF",100
"43",3,"binomialRF",100
"44",1,"binomialRF",100
"45",4,"binomialRF",100
"46",4,"binomialRF",100
"47",3,"binomialRF",100
"48",3,"binomialRF",100
"49",1,"binomialRF",100
"50",2,"binomialRF",100
