"","ModelSize","Model","DimX"
"1",4,"binomialRF",1000
"2",14,"binomialRF",1000
"3",7,"binomialRF",1000
"4",7,"binomialRF",1000
"5",4,"binomialRF",1000
"6",5,"binomialRF",1000
"7",7,"binomialRF",1000
"8",6,"binomialRF",1000
"9",8,"binomialRF",1000
"10",10,"binomialRF",1000
"11",9,"binomialRF",1000
"12",7,"binomialRF",1000
"13",9,"binomialRF",1000
"14",6,"binomialRF",1000
"15",7,"binomialRF",1000
"16",9,"binomialRF",1000
"17",7,"binomialRF",1000
"18",5,"binomialRF",1000
"19",7,"binomialRF",1000
"20",5,"binomialRF",1000
"21",6,"binomialRF",1000
"22",6,"binomialRF",1000
"23",7,"binomialRF",1000
"24",8,"binomialRF",1000
"25",6,"binomialRF",1000
"26",8,"binomialRF",1000
"27",7,"binomialRF",1000
"28",7,"binomialRF",1000
"29",5,"binomialRF",1000
"30",8,"binomialRF",1000
"31",7,"binomialRF",1000
"32",8,"binomialRF",1000
"33",8,"binomialRF",1000
"34",6,"binomialRF",1000
"35",6,"binomialRF",1000
"36",5,"binomialRF",1000
"37",7,"binomialRF",1000
"38",6,"binomialRF",1000
"39",8,"binomialRF",1000
"40",7,"binomialRF",1000
"41",5,"binomialRF",1000
"42",5,"binomialRF",1000
"43",13,"binomialRF",1000
"44",5,"binomialRF",1000
"45",5,"binomialRF",1000
"46",8,"binomialRF",1000
"47",8,"binomialRF",1000
"48",8,"binomialRF",1000
"49",7,"binomialRF",1000
"50",10,"binomialRF",1000
