"","Precision","Recall","TestError","ModelSize","Model"
"1",0.642857142857143,0.18,0.416,14,"binomialRF"
"2",0.684210526315789,0.26,0.37,19,"VSURF"
"3",1,0.12,0.418,6,"Boruta"
"4",0.477272727272727,0.42,0.348,44,"VarSelRF"
"5",NA,0,0.42,0,"PIMP"
"6",0.317307692307692,0.66,0.324,104,"AUCRF"
"7",0.0932203389830508,0.88,0.372,472,"Perm"
"8",0.766666666666667,0.46,0.3,30,"EFS"
"9",0.228758169934641,0.7,0.382,153,"RFE"
"10",0.22,0.44,0.376,100,"Vita"
"11",0.909090909090909,0.2,0.396,11,"binomialRF"
"12",0.9375,0.3,0.32,16,"VSURF"
"13",1,0.14,0.428,7,"Boruta"
"14",0.463768115942029,0.64,0.296,69,"VarSelRF"
"15",NA,0,0.368,0,"PIMP"
"16",0.421686746987952,0.7,0.316,83,"AUCRF"
"17",0.0989690721649484,0.96,0.344,485,"Perm"
"18",0.92,0.46,0.282,25,"EFS"
"19",0.23125,0.74,0.318,160,"RFE"
"20",0.392405063291139,0.62,0.322,79,"Vita"
"21",0.846153846153846,0.22,0.386,13,"binomialRF"
"22",0.727272727272727,0.16,0.378,11,"VSURF"
"23",0.833333333333333,0.1,0.4,6,"Boruta"
"24",0.509090909090909,0.56,0.352,55,"VarSelRF"
"25",NA,0,0.386,0,"PIMP"
"26",0.409638554216867,0.68,0.288,83,"AUCRF"
"27",0.103070175438596,0.94,0.308,456,"Perm"
"28",0.777777777777778,0.56,0.278,36,"EFS"
"29",0.238095238095238,0.7,0.31,147,"RFE"
"30",0.4,0.52,0.322,65,"Vita"
"31",0.714285714285714,0.2,0.366,14,"binomialRF"
"32",0.80952380952381,0.34,0.308,21,"VSURF"
"33",1,0.12,0.43,6,"Boruta"
"34",0.607142857142857,0.34,0.33,28,"VarSelRF"
"35",NA,0,0.402,0,"PIMP"
"36",0.251908396946565,0.66,0.328,131,"AUCRF"
"37",0.0976138828633406,0.9,0.32,461,"Perm"
"38",0.567567567567568,0.42,0.324,37,"EFS"
"39",0.238095238095238,0.7,0.328,147,"RFE"
"40",0.265957446808511,0.5,0.338,94,"Vita"
"41",0.733333333333333,0.22,0.35,15,"binomialRF"
"42",0.764705882352941,0.26,0.38,17,"VSURF"
"43",1,0.16,0.402,8,"Boruta"
"44",0.280373831775701,0.6,0.334,107,"VarSelRF"
"45",NA,0,0.414,0,"PIMP"
"46",0.259541984732824,0.68,0.382,131,"AUCRF"
"47",0.0991189427312775,0.9,0.412,454,"Perm"
"48",0.595744680851064,0.56,0.33,47,"EFS"
"49",0.214765100671141,0.64,0.366,149,"RFE"
"50",0.271739130434783,0.5,0.364,92,"Vita"
"51",0.928571428571429,0.26,0.374,14,"binomialRF"
"52",0.777777777777778,0.14,0.426,9,"VSURF"
"53",1,0.14,0.41,7,"Boruta"
"54",0.372093023255814,0.64,0.362,86,"VarSelRF"
"55",NA,0,0.436,0,"PIMP"
"56",0.409638554216867,0.68,0.348,83,"AUCRF"
"57",0.0903490759753593,0.88,0.41,487,"Perm"
"58",0.733333333333333,0.66,0.282,45,"EFS"
"59",0.282442748091603,0.74,0.356,131,"RFE"
"60",0.305263157894737,0.58,0.356,95,"Vita"
"61",0.818181818181818,0.18,0.388,11,"binomialRF"
"62",0.857142857142857,0.24,0.35,14,"VSURF"
"63",0.7,0.14,0.42,10,"Boruta"
"64",0.5,0.44,0.312,44,"VarSelRF"
"65",NA,0,0.47,0,"PIMP"
"66",0.307692307692308,0.64,0.34,104,"AUCRF"
"67",0.0974576271186441,0.92,0.428,472,"Perm"
"68",0.617021276595745,0.58,0.28,47,"EFS"
"69",0.196078431372549,0.6,0.392,153,"RFE"
"70",0.30379746835443,0.48,0.36,79,"Vita"
"71",0.833333333333333,0.2,0.386,12,"binomialRF"
"72",0.736842105263158,0.28,0.358,19,"VSURF"
"73",0.888888888888889,0.16,0.392,9,"Boruta"
"74",0.325581395348837,0.56,0.352,86,"VarSelRF"
"75",0,0,0.386,1,"PIMP"
"76",0.373493975903614,0.62,0.32,83,"AUCRF"
"77",0.087719298245614,0.8,0.36,456,"Perm"
"78",0.658536585365854,0.54,0.312,41,"EFS"
"79",0.233576642335766,0.64,0.332,137,"RFE"
"80",0.307692307692308,0.48,0.318,78,"Vita"
"81",0.615384615384615,0.16,0.434,13,"binomialRF"
"82",0.611111111111111,0.22,0.372,18,"VSURF"
"83",1,0.12,0.448,6,"Boruta"
"84",0.267441860465116,0.46,0.408,86,"VarSelRF"
"85",NA,0,0.412,0,"PIMP"
"86",0.298076923076923,0.62,0.378,104,"AUCRF"
"87",0.0916844349680171,0.86,0.4,469,"Perm"
"88",0.619047619047619,0.52,0.356,42,"EFS"
"89",0.207547169811321,0.66,0.398,159,"RFE"
"90",0.265957446808511,0.5,0.392,94,"Vita"
"91",0.785714285714286,0.22,0.366,14,"binomialRF"
"92",0.705882352941177,0.24,0.35,17,"VSURF"
"93",0.8,0.08,0.404,5,"Boruta"
"94",0.347826086956522,0.48,0.372,69,"VarSelRF"
"95",0,0,0.472,1,"PIMP"
"96",0.288461538461538,0.6,0.36,104,"AUCRF"
"97",0.0914893617021277,0.86,0.41,470,"Perm"
"98",0.78125,0.5,0.358,32,"EFS"
"99",0.206451612903226,0.64,0.348,155,"RFE"
"100",0.288461538461538,0.6,0.358,104,"Vita"
"101",1,0.24,0.338,12,"binomialRF"
"102",0.888888888888889,0.16,0.35,9,"VSURF"
"103",1,0.1,0.458,5,"Boruta"
"104",0.490909090909091,0.54,0.34,55,"VarSelRF"
"105",NA,0,0.4,0,"PIMP"
"106",0.267175572519084,0.7,0.346,131,"AUCRF"
"107",0.0903361344537815,0.86,0.386,476,"Perm"
"108",0.595744680851064,0.56,0.334,47,"EFS"
"109",0.206451612903226,0.64,0.358,155,"RFE"
"110",0.269230769230769,0.42,0.374,78,"Vita"
"111",0.666666666666667,0.16,0.378,12,"binomialRF"
"112",0.8,0.24,0.376,15,"VSURF"
"113",1,0.14,0.396,7,"Boruta"
"114",0.36231884057971,0.5,0.326,69,"VarSelRF"
"115",0,0,0.518,4,"PIMP"
"116",0.164251207729469,0.68,0.338,207,"AUCRF"
"117",0.0852878464818763,0.8,0.352,469,"Perm"
"118",0.666666666666667,0.32,0.358,24,"EFS"
"119",0.201342281879195,0.6,0.348,149,"RFE"
"120",0.242718446601942,0.5,0.354,103,"Vita"
"121",0.833333333333333,0.2,0.408,12,"binomialRF"
"122",0.764705882352941,0.26,0.388,17,"VSURF"
"123",1,0.16,0.414,8,"Boruta"
"124",0.337209302325581,0.58,0.31,86,"VarSelRF"
"125",NA,0,0.374,0,"PIMP"
"126",0.307692307692308,0.64,0.308,104,"AUCRF"
"127",0.0953389830508475,0.9,0.352,472,"Perm"
"128",0.647058823529412,0.66,0.286,51,"EFS"
"129",0.257352941176471,0.7,0.344,136,"RFE"
"130",0.300970873786408,0.62,0.332,103,"Vita"
"131",0.833333333333333,0.2,0.364,12,"binomialRF"
"132",0.75,0.24,0.396,16,"VSURF"
"133",1,0.1,0.416,5,"Boruta"
"134",0.36046511627907,0.62,0.34,86,"VarSelRF"
"135",NA,0,0.426,0,"PIMP"
"136",0.373493975903614,0.62,0.338,83,"AUCRF"
"137",0.0961538461538462,0.9,0.362,468,"Perm"
"138",0.647058823529412,0.44,0.312,34,"EFS"
"139",0.243243243243243,0.72,0.302,148,"RFE"
"140",0.258620689655172,0.6,0.354,116,"Vita"
"141",0.785714285714286,0.22,0.356,14,"binomialRF"
"142",0.6875,0.22,0.362,16,"VSURF"
"143",0.8,0.16,0.376,10,"Boruta"
"144",0.418181818181818,0.46,0.33,55,"VarSelRF"
"145",0,0,0.372,1,"PIMP"
"146",0.244274809160305,0.64,0.326,131,"AUCRF"
"147",0.0957446808510638,0.9,0.334,470,"Perm"
"148",0.594594594594595,0.44,0.292,37,"EFS"
"149",0.221476510067114,0.66,0.352,149,"RFE"
"150",0.272727272727273,0.54,0.324,99,"Vita"
"151",0.642857142857143,0.18,0.436,14,"binomialRF"
"152",0.692307692307692,0.36,0.366,26,"VSURF"
"153",1,0.1,0.45,5,"Boruta"
"154",0.383720930232558,0.66,0.362,86,"VarSelRF"
"155",NA,0,0.416,0,"PIMP"
"156",0.365384615384615,0.76,0.332,104,"AUCRF"
"157",0.0975609756097561,0.88,0.368,451,"Perm"
