"","Precision","Recall","TestError","ModelSize","Model"
"1",1,1,0.106,5,"binomialRF"
"2",0.833333333333333,1,0.112,6,"VSURF"
"3",0.714285714285714,1,0.102,7,"Boruta"
"4",0.714285714285714,1,0.1,7,"VarSelRF"
"5",NA,0,0.398,0,"PIMP"
"6",0.2,1,0.134,25,"AUCRF"
"7",0.0116009280742459,1,0.264,431,"Perm"
"8",1,1,0.108,5,"EFS"
"9",0.0205479452054795,0.6,0.31,146,"RFE"
"10",0.0588235294117647,1,0.158,85,"Vita"
"11",1,1,0.126,5,"binomialRF"
"12",0.625,1,0.128,8,"VSURF"
"13",0.833333333333333,1,0.128,6,"Boruta"
"14",0.357142857142857,1,0.134,14,"VarSelRF"
"15",NA,0,0.296,0,"PIMP"
"16",0.15625,1,0.156,32,"AUCRF"
"17",0.0114942528735632,1,0.212,435,"Perm"
"18",0.714285714285714,1,0.124,7,"EFS"
"19",0.0296296296296296,0.8,0.234,135,"RFE"
"20",0.0555555555555556,1,0.14,90,"Vita"
"21",1,1,0.102,5,"binomialRF"
"22",1,1,0.102,5,"VSURF"
"23",1,1,0.112,5,"Boruta"
"24",1,1,0.108,5,"VarSelRF"
"25",NA,0,0.374,0,"PIMP"
"26",0.833333333333333,1,0.104,6,"AUCRF"
"27",0.0115207373271889,1,0.27,434,"Perm"
"28",1,1,0.106,5,"EFS"
"29",0.0431034482758621,1,0.188,116,"RFE"
"30",0.078125,1,0.158,64,"Vita"
"31",1,1,0.104,5,"binomialRF"
"32",0.454545454545455,1,0.104,11,"VSURF"
"33",1,1,0.102,5,"Boruta"
"34",0.357142857142857,1,0.14,14,"VarSelRF"
"35",NA,0,0.292,0,"PIMP"
"36",0.121951219512195,1,0.134,41,"AUCRF"
"37",0.0117647058823529,1,0.182,425,"Perm"
"38",1,1,0.108,5,"EFS"
"39",0.0327868852459016,0.8,0.196,122,"RFE"
"40",0.072463768115942,1,0.148,69,"Vita"
"41",1,1,0.12,5,"binomialRF"
"42",0.714285714285714,1,0.13,7,"VSURF"
"43",0.833333333333333,1,0.13,6,"Boruta"
"44",0.277777777777778,1,0.124,18,"VarSelRF"
"45",NA,0,0.274,0,"PIMP"
"46",0.15625,1,0.146,32,"AUCRF"
"47",0.0114942528735632,1,0.23,435,"Perm"
"48",1,1,0.122,5,"EFS"
"49",0.0495049504950495,1,0.188,101,"RFE"
"50",0.0675675675675676,1,0.176,74,"Vita"
"51",1,1,0.102,5,"binomialRF"
"52",0.833333333333333,1,0.118,6,"VSURF"
"53",0.833333333333333,1,0.102,6,"Boruta"
"54",0.357142857142857,1,0.136,14,"VarSelRF"
"55",NA,0,0.412,0,"PIMP"
"56",0.0961538461538462,1,0.204,52,"AUCRF"
"57",0.0115740740740741,1,0.288,432,"Perm"
"58",1,1,0.102,5,"EFS"
"59",0.036697247706422,0.8,0.256,109,"RFE"
"60",0.0769230769230769,1,0.182,65,"Vita"
"61",1,1,0.118,5,"binomialRF"
"62",0.714285714285714,1,0.13,7,"VSURF"
"63",0.833333333333333,1,0.122,6,"Boruta"
"64",1,1,0.114,5,"VarSelRF"
"65",NA,0,0.334,0,"PIMP"
"66",0.121951219512195,1,0.14,41,"AUCRF"
"67",0.0114155251141553,1,0.238,438,"Perm"
"68",1,1,0.122,5,"EFS"
"69",0.0454545454545455,1,0.176,110,"RFE"
"70",0.0574712643678161,1,0.176,87,"Vita"
"71",0.833333333333333,1,0.118,6,"binomialRF"
"72",1,1,0.114,5,"VSURF"
"73",0.833333333333333,1,0.122,6,"Boruta"
"74",0.833333333333333,1,0.124,6,"VarSelRF"
"75",NA,0,0.454,0,"PIMP"
"76",0.833333333333333,1,0.118,6,"AUCRF"
"77",0.0109170305676856,1,0.284,458,"Perm"
"78",1,1,0.112,5,"EFS"
"79",0.0294117647058824,0.8,0.286,136,"RFE"
"80",0.0862068965517241,1,0.186,58,"Vita"
"81",1,1,0.142,5,"binomialRF"
"82",1,1,0.134,5,"VSURF"
"83",0.833333333333333,1,0.14,6,"Boruta"
"84",0.555555555555556,1,0.144,9,"VarSelRF"
"85",NA,0,0.354,0,"PIMP"
"86",0.625,1,0.14,8,"AUCRF"
"87",0.0109409190371991,1,0.288,457,"Perm"
"88",1,1,0.136,5,"EFS"
"89",0.0344827586206897,0.8,0.248,116,"RFE"
"90",0.0833333333333333,1,0.186,60,"Vita"
"91",1,1,0.092,5,"binomialRF"
"92",1,1,0.092,5,"VSURF"
"93",1,1,0.106,5,"Boruta"
"94",1,1,0.102,5,"VarSelRF"
"95",NA,0,0.3,0,"PIMP"
"96",0.833333333333333,1,0.108,6,"AUCRF"
"97",0.0116550116550117,1,0.188,429,"Perm"
"98",1,1,0.104,5,"EFS"
"99",0.0476190476190476,1,0.146,105,"RFE"
"100",0.0649350649350649,1,0.148,77,"Vita"
"101",1,1,0.112,5,"binomialRF"
"102",0.833333333333333,1,0.112,6,"VSURF"
"103",0.833333333333333,1,0.13,6,"Boruta"
"104",0.555555555555556,1,0.126,9,"VarSelRF"
"105",NA,0,0.368,0,"PIMP"
"106",0.625,1,0.126,8,"AUCRF"
"107",0.0108932461873638,1,0.262,459,"Perm"
"108",1,1,0.11,5,"EFS"
"109",0.0413223140495868,1,0.186,121,"RFE"
"110",0.0694444444444444,1,0.188,72,"Vita"
"111",1,1,0.114,5,"binomialRF"
"112",1,1,0.104,5,"VSURF"
"113",0.714285714285714,1,0.108,7,"Boruta"
"114",1,1,0.1,5,"VarSelRF"
"115",NA,0,0.444,0,"PIMP"
"116",0.0757575757575758,1,0.186,66,"AUCRF"
"117",0.0116822429906542,1,0.314,428,"Perm"
"118",1,1,0.1,5,"EFS"
"119",0.032,0.8,0.27,125,"RFE"
"120",0.0694444444444444,1,0.202,72,"Vita"
"121",1,1,0.104,5,"binomialRF"
"122",0.714285714285714,1,0.12,7,"VSURF"
"123",0.714285714285714,1,0.112,7,"Boruta"
"124",0.0581395348837209,1,0.17,86,"VarSelRF"
"125",NA,0,0.292,0,"PIMP"
"126",0.121951219512195,1,0.144,41,"AUCRF"
"127",0.0113636363636364,1,0.19,440,"Perm"
"128",1,1,0.096,5,"EFS"
"129",0.0212765957446809,0.6,0.296,141,"RFE"
"130",0.0704225352112676,1,0.158,71,"Vita"
"131",1,1,0.156,5,"binomialRF"
"132",1,1,0.15,5,"VSURF"
"133",0.833333333333333,1,0.154,6,"Boruta"
"134",0.833333333333333,1,0.158,6,"VarSelRF"
"135",NA,0,0.312,0,"PIMP"
"136",0.625,1,0.154,8,"AUCRF"
"137",0.0118203309692671,1,0.226,423,"Perm"
"138",1,1,0.142,5,"EFS"
"139",0.0300751879699248,0.8,0.234,133,"RFE"
"140",0.0574712643678161,1,0.168,87,"Vita"
"141",1,1,0.106,5,"binomialRF"
"142",1,1,0.1,5,"VSURF"
"143",0.714285714285714,1,0.11,7,"Boruta"
"144",0.357142857142857,1,0.126,14,"VarSelRF"
"145",NA,0,0.32,0,"PIMP"
"146",0.0602409638554217,1,0.178,83,"AUCRF"
"147",0.0116822429906542,1,0.216,428,"Perm"
"148",1,1,0.108,5,"EFS"
"149",0.0310077519379845,0.8,0.286,129,"RFE"
"150",0.0617283950617284,1,0.152,81,"Vita"
"151",1,1,0.112,5,"binomialRF"
"152",1,1,0.118,5,"VSURF"
"153",0.833333333333333,1,0.116,6,"Boruta"
"154",1,1,0.104,5,"VarSelRF"
"155",NA,0,0.41,0,"PIMP"
"156",0.833333333333333,1,0.12,6,"AUCRF"
"157",0.0113895216400911,1,0.312,439,"Perm"
"158",1,1,0.108,5,"EFS"
"159",0.0341880341880342,0.8,0.244,117,"RFE"
"160",0.0714285714285714,1,0.15,70,"Vita"
"161",1,1,0.126,5,"binomialRF"
"162",0.714285714285714,1,0.148,7,"VSURF"
"163",0.833333333333333,1,0.148,6,"Boruta"
"164",0.227272727272727,1,0.164,22,"VarSelRF"
"165",NA,0,0.366,0,"PIMP"
"166",0.0602409638554217,1,0.182,83,"AUCRF"
"167",0.0117370892018779,1,0.27,426,"Perm"
"168",1,1,0.128,5,"EFS"
"169",0.0338983050847458,0.8,0.264,118,"RFE"
"170",0.0531914893617021,1,0.208,94,"Vita"
"171",1,1,0.09,5,"binomialRF"
"172",1,1,0.1,5,"VSURF"
"173",1,1,0.08,5,"Boruta"
"174",1,1,0.092,5,"VarSelRF"
"175",NA,0,0.476,0,"PIMP"
"176",0.833333333333333,1,0.106,6,"AUCRF"
"177",0.0113122171945701,1,0.37,442,"Perm"
"178",1,1,0.088,5,"EFS"
"179",0.0310077519379845,0.8,0.31,129,"RFE"
"180",0.0595238095238095,1,0.21,84,"Vita"
"181",1,1,0.124,5,"binomialRF"
"182",0.833333333333333,1,0.142,6,"VSURF"
"183",0.714285714285714,1,0.146,7,"Boruta"
"184",0.454545454545455,1,0.144,11,"VarSelRF"
"185",NA,0,0.332,0,"PIMP"
"186",0.15625,1,0.172,32,"AUCRF"
"187",0.0126582278481013,1,0.216,395,"Perm"
"188",0.833333333333333,1,0.144,6,"EFS"
