"","Precision","Recall","TestError","ModelSize","Model"
"1",1,0.03,0.506,3,"binomialRF"
"2",1,0.14,0.412,14,"VSURF"
"3",1,0.08,0.47,8,"Boruta"
"4",1,0.51,0.296,51,"VarSelRF"
"5",NA,0,0.266,0,"PIMP"
"6",1,0.63,0.272,63,"AUCRF"
"7",1,0.49,0.306,49,"Perm"
"8",1,0.66,0.282,66,"EFS"
"9",1,0.2,0.392,20,"RFE"
"10",1,0.35,0.346,35,"Vita"
"11",1,0.04,0.478,4,"binomialRF"
"12",1,0.11,0.422,11,"VSURF"
"13",1,0.08,0.43,8,"Boruta"
"14",1,0.51,0.316,51,"VarSelRF"
"15",NA,0,0.304,0,"PIMP"
"16",1,0.79,0.31,79,"AUCRF"
"17",1,0.43,0.322,43,"Perm"
"18",1,0.62,0.326,62,"EFS"
"19",1,0.16,0.386,16,"RFE"
"20",1,0.33,0.346,33,"Vita"
"21",1,0.03,0.456,3,"binomialRF"
"22",1,0.09,0.422,9,"VSURF"
"23",1,0.06,0.454,6,"Boruta"
"24",1,0.33,0.342,33,"VarSelRF"
"25",1,0.01,0.274,1,"PIMP"
"26",1,0.63,0.31,63,"AUCRF"
"27",1,0.45,0.354,45,"Perm"
"28",1,0.68,0.308,68,"EFS"
"29",1,0.2,0.404,20,"RFE"
"30",1,0.46,0.348,46,"Vita"
"31",1,0.04,0.438,4,"binomialRF"
"32",1,0.19,0.368,19,"VSURF"
"33",1,0.06,0.442,6,"Boruta"
"34",1,0.51,0.288,51,"VarSelRF"
"35",NA,0,0.25,0,"PIMP"
"36",1,0.79,0.25,79,"AUCRF"
"37",1,0.46,0.306,46,"Perm"
"38",1,0.73,0.268,73,"EFS"
"39",1,0.23,0.376,23,"RFE"
"40",1,0.32,0.316,32,"Vita"
"41",1,0.05,0.422,5,"binomialRF"
"42",1,0.09,0.424,9,"VSURF"
"43",1,0.1,0.38,10,"Boruta"
"44",1,0.33,0.338,33,"VarSelRF"
"45",NA,0,0.278,0,"PIMP"
"46",1,0.63,0.294,63,"AUCRF"
"47",1,0.49,0.326,49,"Perm"
"48",1,0.49,0.304,49,"EFS"
"49",1,0.17,0.396,17,"RFE"
"50",1,0.23,0.378,23,"Vita"
"51",1,0.02,0.51,2,"binomialRF"
"52",1,0.09,0.424,9,"VSURF"
"53",1,0.14,0.386,14,"Boruta"
"54",1,0.41,0.338,41,"VarSelRF"
"55",NA,0,0.3,0,"PIMP"
"56",1,0.63,0.31,63,"AUCRF"
"57",1,0.4,0.354,40,"Perm"
"58",1,0.44,0.32,44,"EFS"
"59",1,0.21,0.392,21,"RFE"
"60",1,0.37,0.356,37,"Vita"
"61",1,0.04,0.502,4,"binomialRF"
"62",1,0.1,0.398,10,"VSURF"
"63",1,0.07,0.436,7,"Boruta"
"64",1,0.33,0.356,33,"VarSelRF"
"65",1,0.01,0.324,1,"PIMP"
"66",1,0.5,0.32,50,"AUCRF"
"67",1,0.42,0.332,42,"Perm"
"68",1,0.6,0.326,60,"EFS"
"69",1,0.22,0.394,22,"RFE"
"70",1,0.33,0.342,33,"Vita"
"71",1,0.05,0.444,5,"binomialRF"
"72",1,0.15,0.426,15,"VSURF"
"73",1,0.08,0.454,8,"Boruta"
"74",1,0.51,0.322,51,"VarSelRF"
"75",NA,0,0.222,0,"PIMP"
"76",1,0.79,0.262,79,"AUCRF"
"77",1,0.42,0.338,42,"Perm"
"78",1,0.53,0.296,53,"EFS"
"79",1,0.22,0.366,22,"RFE"
"80",1,0.4,0.324,40,"Vita"
"81",1,0.04,0.474,4,"binomialRF"
"82",1,0.13,0.372,13,"VSURF"
"83",1,0.08,0.42,8,"Boruta"
"84",1,0.41,0.326,41,"VarSelRF"
"85",NA,0,0.274,0,"PIMP"
"86",1,0.63,0.314,63,"AUCRF"
"87",1,0.41,0.342,41,"Perm"
"88",1,0.53,0.314,53,"EFS"
"89",1,0.19,0.384,19,"RFE"
"90",1,0.27,0.34,27,"Vita"
"91",1,0.07,0.424,7,"binomialRF"
"92",1,0.18,0.374,18,"VSURF"
"93",1,0.12,0.396,12,"Boruta"
"94",1,0.26,0.356,26,"VarSelRF"
"95",NA,0,0.312,0,"PIMP"
"96",1,0.63,0.3,63,"AUCRF"
"97",1,0.4,0.318,40,"Perm"
"98",1,0.59,0.312,59,"EFS"
"99",1,0.2,0.402,20,"RFE"
"100",1,0.36,0.33,36,"Vita"
"101",1,0.03,0.47,3,"binomialRF"
"102",1,0.15,0.366,15,"VSURF"
"103",1,0.1,0.392,10,"Boruta"
"104",1,0.51,0.272,51,"VarSelRF"
"105",NA,0,0.248,0,"PIMP"
"106",1,0.63,0.262,63,"AUCRF"
"107",1,0.44,0.296,44,"Perm"
"108",1,0.68,0.256,68,"EFS"
"109",1,0.17,0.378,17,"RFE"
"110",1,0.31,0.308,31,"Vita"
"111",1,0.04,0.452,4,"binomialRF"
"112",1,0.15,0.368,15,"VSURF"
"113",1,0.06,0.414,6,"Boruta"
"114",1,0.33,0.336,33,"VarSelRF"
"115",NA,0,0.208,0,"PIMP"
"116",1,0.39,0.31,39,"AUCRF"
"117",1,0.43,0.3,43,"Perm"
"118",1,0.48,0.28,48,"EFS"
"119",1,0.18,0.382,18,"RFE"
"120",1,0.41,0.3,41,"Vita"
"121",1,0.01,0.212,1,"binomialRF"
"122",1,0.09,0.372,9,"VSURF"
"123",1,0.05,0.41,5,"Boruta"
"124",1,0.64,0.252,64,"VarSelRF"
"125",NA,0,0.214,0,"PIMP"
"126",1,0.63,0.26,63,"AUCRF"
"127",1,0.42,0.268,42,"Perm"
"128",1,0.58,0.242,58,"EFS"
"129",1,0.23,0.352,23,"RFE"
"130",1,0.44,0.28,44,"Vita"
"131",1,0.01,0.316,1,"binomialRF"
"132",1,0.15,0.424,15,"VSURF"
"133",1,0.09,0.458,9,"Boruta"
"134",1,0.51,0.316,51,"VarSelRF"
"135",NA,0,0.318,0,"PIMP"
"136",1,0.5,0.316,50,"AUCRF"
"137",1,0.44,0.336,44,"Perm"
"138",1,0.5,0.342,50,"EFS"
"139",1,0.2,0.406,20,"RFE"
"140",1,0.42,0.362,42,"Vita"
"141",1,0.04,0.482,4,"binomialRF"
"142",1,0.09,0.414,9,"VSURF"
"143",1,0.1,0.434,10,"Boruta"
"144",1,0.41,0.306,41,"VarSelRF"
"145",NA,0,0.242,0,"PIMP"
"146",1,0.5,0.292,50,"AUCRF"
"147",1,0.42,0.35,42,"Perm"
"148",1,0.73,0.276,73,"EFS"
"149",1,0.17,0.39,17,"RFE"
"150",1,0.42,0.332,42,"Vita"
"151",1,0.06,0.446,6,"binomialRF"
"152",1,0.11,0.394,11,"VSURF"
"153",1,0.09,0.424,9,"Boruta"
"154",1,0.41,0.328,41,"VarSelRF"
"155",NA,0,0.296,0,"PIMP"
"156",1,0.79,0.272,79,"AUCRF"
"157",1,0.42,0.318,42,"Perm"
"158",1,0.61,0.304,61,"EFS"
"159",1,0.15,0.388,15,"RFE"
"160",1,0.24,0.382,24,"Vita"
"161",1,0.04,0.448,4,"binomialRF"
"162",1,0.1,0.422,10,"VSURF"
"163",1,0.06,0.418,6,"Boruta"
"164",1,0.41,0.324,41,"VarSelRF"
"165",NA,0,0.274,0,"PIMP"
"166",1,0.5,0.314,50,"AUCRF"
"167",1,0.48,0.34,48,"Perm"
"168",1,0.66,0.298,66,"EFS"
"169",1,0.19,0.4,19,"RFE"
"170",1,0.39,0.36,39,"Vita"
