"","Precision","Recall","TestError","ModelSize","Model"
"1","1","1","0.124","5","binomialRF"
"2","1","1","0.128","5","VSURF"
"3","1","1","0.126","5","Boruta"
"4","1","1","0.12","5","VarSelRF"
"5","0","0","0.176","1","PIMP"
"6","0.833333333333333","1","0.122","6","AUCRF"
"7","0.357142857142857","1","0.132","14","Perm"
"8","1","1","0.132","5","EFS"
"9","0.6","0.6","0.268","5","RFE"
"10","0.625","1","0.132","8","Vita"
"11","1","1","0.106","5","binomialRF"
"12","0.833333333333333","1","0.09","6","VSURF"
"13","1","1","0.102","5","Boruta"
"14","1","1","0.104","5","VarSelRF"
"15","0","0","0.178","1","PIMP"
"16","0.454545454545455","1","0.086","11","AUCRF"
"17","0.454545454545455","1","0.1","11","Perm"
"18","1","1","0.102","5","EFS"
"19","1","0.8","0.152","4","RFE"
"20","0.555555555555556","1","0.092","9","Vita"
"21","1","1","0.114","5","binomialRF"
"22","1","1","0.114","5","VSURF"
"23","1","1","0.118","5","Boruta"
"24","0.714285714285714","1","0.128","7","VarSelRF"
"25","0.2","0.2","0.394","5","PIMP"
"26","0.833333333333333","1","0.122","6","AUCRF"
"27","0.5","1","0.136","10","Perm"
"28","1","1","0.118","5","EFS"
"29","0.6","0.6","0.262","5","RFE"
"30","0.384615384615385","1","0.13","13","Vita"
"31","1","1","0.108","5","binomialRF"
"32","1","1","0.108","5","VSURF"
"33","1","1","0.114","5","Boruta"
"34","1","1","0.104","5","VarSelRF"
"35","0","0","0.508","2","PIMP"
"36","0.625","1","0.12","8","AUCRF"
"37","0.416666666666667","1","0.114","12","Perm"
"38","1","1","0.112","5","EFS"
"39","1","1","0.106","5","RFE"
"40","0.3125","1","0.138","16","Vita"
"41","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
",NA
"42","1","1","0.088","5","binomialRF"
"43","1","1","0.09","5","VSURF"
"44","0.833333333333333","1","0.092","6","Boruta"
"45","1","1","0.094","5","VarSelRF"
"46","NaN","0","0.14","0","PIMP"
"47","0.454545454545455","1","0.09","11","AUCRF"
"48","0.555555555555556","1","0.106","9","Perm"
"49","1","1","0.086","5","EFS"
"50","1","1","0.084","5","RFE"
"51","0.555555555555556","1","0.096","9","Vita"
"52","1","1","0.112","5","binomialRF"
"53","1","1","0.12","5","VSURF"
"54","1","1","0.11","5","Boruta"
"55","0.833333333333333","1","0.112","6","VarSelRF"
"56","0","0","0.19","1","PIMP"
"57","0.833333333333333","1","0.126","6","AUCRF"
"58","0.5","1","0.12","10","Perm"
"59","1","1","0.122","5","EFS"
"60","1","1","0.124","5","RFE"
"61","0.714285714285714","1","0.122","7","Vita"
"62","1","1","0.13","5","binomialRF"
"63","1","1","0.128","5","VSURF"
"64","1","1","0.136","5","Boruta"
"65","1","1","0.134","5","VarSelRF"
"66","0","0","0.21","1","PIMP"
"67","0.333333333333333","1","0.138","15","AUCRF"
"68","0.416666666666667","1","0.138","12","Perm"
"69","1","1","0.138","5","EFS"
"70","0.8","0.8","0.19","5","RFE"
"71","0.416666666666667","1","0.128","12","Vita"
"72","1","1","0.116","5","binomialRF"
"73","1","1","0.114","5","VSURF"
"74","1","1","0.114","5","Boruta"
"75","1","1","0.104","5","VarSelRF"
"76","NaN","0","0.168","0","PIMP"
"77","0.833333333333333","1","0.122","6","AUCRF"
"78","0.5","1","0.13","10","Perm"
"79","1","1","0.11","5","EFS"
"80","1","0.8","0.162","4","RFE"
"81","0.277777777777778","1","0.12","18","Vita"
"82","1","1","0.102","5","binomialRF"
"83","1","1","0.114","5","VSURF"
"84","0.833333333333333","1","0.12","6","Boruta"
"85","1","1","0.106","5","VarSelRF"
"86","0","0","0.188","1","PIMP"
"87","0.625","1","0.124","8","AUCRF"
"88","0.555555555555556","1","0.132","9","Perm"
"89","1","1","0.108","5","EFS"
"90","0.8","0.8","0.182","5","RFE"
"91","0.357142857142857","1","0.13","14","Vita"
"92","1","1","0.088","5","binomialRF"
"93","1","1","0.1","5","VSURF"
"94","1","1","0.098","5","Boruta"
"95","1","1","0.096","5","VarSelRF"
"96","0","0","0.144","1","PIMP"
"97","0.454545454545455","1","0.09","11","AUCRF"
"98","0.555555555555556","1","0.1","9","Perm"
"99","1","1","0.094","5","EFS"
"100","1","1","0.082","5","RFE"
"101","0.416666666666667","1","0.104","12","Vita"
"102","1","1","0.098","5","binomialRF"
"103","1","1","0.098","5","VSURF"
"104","0.833333333333333","1","0.094","6","Boruta"
"105","1","1","0.094","5","VarSelRF"
"106","0","0","0.508","2","PIMP"
"107","0.625","1","0.104","8","AUCRF"
"108","0.416666666666667","1","0.104","12","Perm"
"109","1","1","0.096","5","EFS"
"110","0.833333333333333","1","0.104","6","RFE"
"111","0.263157894736842","1","0.114","19","Vita"
"112","1","1","0.104","5","binomialRF"
"113","0.833333333333333","1","0.106","6","VSURF"
"114","0.833333333333333","1","0.116","6","Boruta"
"115","0.714285714285714","1","0.132","7","VarSelRF"
"116","NaN","0","0.208","0","PIMP"
"117","0.333333333333333","1","0.142","15","AUCRF"
"118","0.5","1","0.118","10","Perm"
"119","1","1","0.114","5","EFS"
"120","1","1","0.106","5","RFE"
"121","0.384615384615385","1","0.124","13","Vita"
"122","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
",NA
"123","1","1","0.114","5","binomialRF"
"124","0.833333333333333","1","0.112","6","VSURF"
"125","1","1","0.116","5","Boruta"
"126","0.357142857142857","1","0.108","14","VarSelRF"
"127","NaN","0","0.134","0","PIMP"
"128","0.454545454545455","1","0.104","11","AUCRF"
"129","0.416666666666667","1","0.108","12","Perm"
"130","1","1","0.118","5","EFS"
"131","0.6","0.6","0.268","5","RFE"
"132","0.357142857142857","1","0.102","14","Vita"
"133","1","1","0.088","5","binomialRF"
"134","1","1","0.092","5","VSURF"
"135","1","1","0.094","5","Boruta"
"136","0.714285714285714","1","0.1","7","VarSelRF"
"137","NaN","0","0.13","0","PIMP"
"138","0.625","1","0.088","8","AUCRF"
"139","0.357142857142857","1","0.096","14","Perm"
"140","1","1","0.092","5","EFS"
"141","1","1","0.086","5","RFE"
"142","0.357142857142857","1","0.124","14","Vita"
"143","1","1","0.134","5","binomialRF"
"144","1","1","0.13","5","VSURF"
"145","0.833333333333333","1","0.134","6","Boruta"
"146","0.833333333333333","1","0.13","6","VarSelRF"
"147","0","0","0.494","4","PIMP"
"148","0.833333333333333","1","0.14","6","AUCRF"
"149","0.5","1","0.132","10","Perm"
"150","1","1","0.128","5","EFS"
"151","0.8","0.8","0.192","5","RFE"
"152","0.416666666666667","1","0.128","12","Vita"
"153","1","1","0.09","5","binomialRF"
"154","1","1","0.094","5","VSURF"
"155","1","1","0.096","5","Boruta"
"156","0.454545454545455","1","0.092","11","VarSelRF"
"157","NaN","0","0.156","0","PIMP"
"158","0.263157894736842","1","0.104","19","AUCRF"
"159","0.625","1","0.096","8","Perm"
"160","1","1","0.094","5","EFS"
"161","1","0.8","0.168","4","RFE"
