"","Precision","Recall","TestError","ModelSize","Model"
"1","1","0.05","0.494","5","binomialRF"
"2","1","0.09","0.426","9","VSURF"
"3","1","0.07","0.452","7","Boruta"
"4","1","0.33","0.366","33","VarSelRF"
"5","NaN","0","0.304","0","PIMP"
"6","1","0.63","0.32","63","AUCRF"
"7","1","0.43","0.354","43","Perm"
"8","1","0.64","0.304","64","EFS"
"9","1","0.2","0.382","20","RFE"
"10","1","0.36","0.344","36","Vita"
"11","1","0.03","0.46","3","binomialRF"
"12","1","0.09","0.394","9","VSURF"
"13","1","0.09","0.432","9","Boruta"
"14","1","0.33","0.352","33","VarSelRF"
"15","NaN","0","0.306","0","PIMP"
"16","1","0.63","0.3","63","AUCRF"
"17","1","0.45","0.312","45","Perm"
"18","1","0.58","0.296","58","EFS"
"19","1","0.23","0.372","23","RFE"
"20","1","0.48","0.31","48","Vita"
"21","1","0.07","0.416","7","binomialRF"
"22","1","0.09","0.426","9","VSURF"
"23","1","0.08","0.402","8","Boruta"
"24","1","0.17","0.388","17","VarSelRF"
"25","NaN","0","0.358","0","PIMP"
"26","1","0.63","0.328","63","AUCRF"
"27","1","0.49","0.324","49","Perm"
"28","1","0.74","0.33","74","EFS"
"29","1","0.23","0.4","23","RFE"
"30","1","0.31","0.346","31","Vita"
"31","1","0.06","0.42","6","binomialRF"
"32","1","0.23","0.374","23","VSURF"
"33","1","0.05","0.428","5","Boruta"
"34","1","0.51","0.28","51","VarSelRF"
"35","NaN","0","0.242","0","PIMP"
"36","1","0.39","0.346","39","AUCRF"
"37","1","0.41","0.328","41","Perm"
"38","1","0.7","0.26","70","EFS"
"39","1","0.2","0.382","20","RFE"
"40","1","0.38","0.316","38","Vita"
"41","1","0.07","0.448","7","binomialRF"
"42","1","0.08","0.434","8","VSURF"
"43","1","0.07","0.456","7","Boruta"
"44","1","0.64","0.306","64","VarSelRF"
"45","1","0.01","0.306","1","PIMP"
"46","1","0.5","0.344","50","AUCRF"
"47","1","0.41","0.346","41","Perm"
"48","1","0.65","0.3","65","EFS"
"49","1","0.2","0.39","20","RFE"
"50","1","0.43","0.33","43","Vita"
"51","1","0.06","0.476","6","binomialRF"
"52","1","0.14","0.448","14","VSURF"
"53","1","0.1","0.458","10","Boruta"
"54","1","0.51","0.336","51","VarSelRF"
"55","1","0.01","0.238","1","PIMP"
"56","1","0.79","0.29","79","AUCRF"
"57","1","0.41","0.342","41","Perm"
"58","1","0.5","0.31","50","EFS"
"59","1","0.18","0.4","18","RFE"
"60","1","0.42","0.336","42","Vita"
"61","1","0.05","0.432","5","binomialRF"
"62","1","0.02","0.488","2","VSURF"
"63","1","0.06","0.44","6","Boruta"
"64","1","0.33","0.344","33","VarSelRF"
"65","NaN","0","0.308","0","PIMP"
"66","1","0.63","0.326","63","AUCRF"
"67","1","0.43","0.334","43","Perm"
"68","1","0.55","0.354","55","EFS"
"69","1","0.19","0.392","19","RFE"
"70","1","0.36","0.354","36","Vita"
"71","1","0.05","0.48","5","binomialRF"
"72","1","0.13","0.416","13","VSURF"
"73","1","0.05","0.448","5","Boruta"
"74","1","0.51","0.32","51","VarSelRF"
"75","NaN","0","0.252","0","PIMP"
"76","1","0.63","0.312","63","AUCRF"
"77","1","0.45","0.342","45","Perm"
"78","1","0.64","0.298","64","EFS"
"79","1","0.21","0.388","21","RFE"
"80","1","0.57","0.288","57","Vita"
"81","1","0.04","0.47","4","binomialRF"
"82","1","0.09","0.446","9","VSURF"
"83","1","0.09","0.428","9","Boruta"
"84","1","0.41","0.328","41","VarSelRF"
"85","1","0.02","0.464","2","PIMP"
"86","1","0.5","0.306","50","AUCRF"
"87","1","0.46","0.308","46","Perm"
"88","1","0.64","0.276","64","EFS"
"89","1","0.18","0.382","18","RFE"
"90","1","0.43","0.296","43","Vita"
"91","1","0.05","0.472","5","binomialRF"
"92","1","0.16","0.368","16","VSURF"
"93","1","0.09","0.428","9","Boruta"
"94","1","0.51","0.302","51","VarSelRF"
"95","NaN","0","0.216","0","PIMP"
"96","1","0.63","0.292","63","AUCRF"
"97","1","0.46","0.314","46","Perm"
"98","1","0.65","0.3","65","EFS"
"99","1","0.21","0.368","21","RFE"
"100","1","0.54","0.286","54","Vita"
"101","1","0.03","0.526","3","binomialRF"
"102","1","0.11","0.454","11","VSURF"
"103","1","0.09","0.418","9","Boruta"
"104","1","0.41","0.324","41","VarSelRF"
"105","NaN","0","0.274","0","PIMP"
"106","1","0.63","0.296","63","AUCRF"
