"","Precision","Recall","TestError","ModelSize","Model"
"1",1,0.32,0.326,8,"binomialRF"
"2",0.8,0.32,0.342,10,"VSURF"
"3",0.923076923076923,0.48,0.292,13,"Boruta"
"4",0.647058823529412,0.88,0.228,34,"VarSelRF"
"5",NA,0,0.37,0,"PIMP"
"6",0.741935483870968,0.92,0.21,31,"AUCRF"
"7",0.102222222222222,0.92,0.29,225,"Perm"
"8",0.807692307692308,0.84,0.218,26,"EFS"
"9",0.365079365079365,0.92,0.232,63,"RFE"
"10",0.295774647887324,0.84,0.294,71,"Vita"
"11",0.923076923076923,0.48,0.314,13,"binomialRF"
"12",1,0.6,0.264,15,"VSURF"
"13",0.928571428571429,0.52,0.328,14,"Boruta"
"14",0.676470588235294,0.92,0.24,34,"VarSelRF"
"15",NA,0,0.434,0,"PIMP"
"16",0.709677419354839,0.88,0.24,31,"AUCRF"
"17",0.124352331606218,0.96,0.34,193,"Perm"
"18",0.821428571428571,0.92,0.212,28,"EFS"
"19",0.368421052631579,0.84,0.296,57,"RFE"
"20",0.383333333333333,0.92,0.258,60,"Vita"
"21",0.9,0.36,0.304,10,"binomialRF"
"22",0.866666666666667,0.52,0.288,15,"VSURF"
"23",0.933333333333333,0.56,0.25,15,"Boruta"
"24",0.273809523809524,0.92,0.236,84,"VarSelRF"
"25",NA,0,0.326,0,"PIMP"
"26",0.369230769230769,0.96,0.222,65,"AUCRF"
"27",0.115,0.92,0.242,200,"Perm"
"28",0.714285714285714,0.8,0.21,28,"EFS"
"29",0.311475409836066,0.76,0.268,61,"RFE"
"30",0.3125,0.8,0.25,64,"Vita"
"31",1,0.24,0.342,6,"binomialRF"
"32",0.8125,0.52,0.256,16,"VSURF"
"33",0.785714285714286,0.44,0.306,14,"Boruta"
"34",0.703703703703704,0.76,0.242,27,"VarSelRF"
"35",NA,0,0.412,0,"PIMP"
"36",0.75,0.72,0.25,24,"AUCRF"
"37",0.124378109452736,1,0.296,201,"Perm"
"38",0.75,0.84,0.234,28,"EFS"
"39",0.316666666666667,0.76,0.316,60,"RFE"
"40",0.355932203389831,0.84,0.278,59,"Vita"
"41",1,0.48,0.322,12,"binomialRF"
"42",0.866666666666667,0.52,0.296,15,"VSURF"
"43",0.866666666666667,0.52,0.312,15,"Boruta"
"44",0.617647058823529,0.84,0.224,34,"VarSelRF"
"45",NA,0,0.396,0,"PIMP"
"46",0.741935483870968,0.92,0.208,31,"AUCRF"
"47",0.122448979591837,0.96,0.282,196,"Perm"
"48",0.884615384615385,0.92,0.2,26,"EFS"
"49",0.30188679245283,0.64,0.31,53,"RFE"
"50",0.428571428571429,0.84,0.26,49,"Vita"
"51",1,0.36,0.354,9,"binomialRF"
"52",0.888888888888889,0.64,0.234,18,"VSURF"
"53",1,0.52,0.254,13,"Boruta"
"54",0.534883720930233,0.92,0.226,43,"VarSelRF"
"55",NA,0,0.398,0,"PIMP"
"56",0.450980392156863,0.92,0.222,51,"AUCRF"
"57",0.111627906976744,0.96,0.286,215,"Perm"
"58",0.793103448275862,0.92,0.194,29,"EFS"
"59",0.315789473684211,0.72,0.254,57,"RFE"
"60",0.377358490566038,0.8,0.262,53,"Vita"
"61",1,0.52,0.272,13,"binomialRF"
"62",1,0.68,0.254,17,"VSURF"
"63",1,0.56,0.268,14,"Boruta"
"64",0.617647058823529,0.84,0.238,34,"VarSelRF"
"65",NA,0,0.338,0,"PIMP"
"66",0.369230769230769,0.96,0.244,65,"AUCRF"
"67",0.116279069767442,1,0.302,215,"Perm"
"68",0.689655172413793,0.8,0.24,29,"EFS"
"69",0.366666666666667,0.88,0.25,60,"RFE"
"70",0.478260869565217,0.88,0.248,46,"Vita"
"71",0.888888888888889,0.32,0.32,9,"binomialRF"
"72",0.866666666666667,0.52,0.288,15,"VSURF"
"73",0.923076923076923,0.48,0.26,13,"Boruta"
"74",0.425925925925926,0.92,0.23,54,"VarSelRF"
"75",NA,0,0.314,0,"PIMP"
"76",0.55,0.88,0.21,40,"AUCRF"
"77",0.115577889447236,0.92,0.238,199,"Perm"
"78",0.714285714285714,0.8,0.212,28,"EFS"
"79",0.285714285714286,0.72,0.298,63,"RFE"
"80",0.4,0.88,0.236,55,"Vita"
"81",0.857142857142857,0.48,0.338,14,"binomialRF"
"82",0.933333333333333,0.56,0.304,15,"VSURF"
"83",0.857142857142857,0.48,0.328,14,"Boruta"
"84",0.617647058823529,0.84,0.262,34,"VarSelRF"
"85",NA,0,0.336,0,"PIMP"
"86",0.369230769230769,0.96,0.272,65,"AUCRF"
"87",0.106194690265487,0.96,0.298,226,"Perm"
"88",0.65625,0.84,0.268,32,"EFS"
"89",0.317460317460317,0.8,0.298,63,"RFE"
"90",0.418604651162791,0.72,0.294,43,"Vita"
"91",1,0.32,0.344,8,"binomialRF"
"92",0.933333333333333,0.56,0.296,15,"VSURF"
"93",0.928571428571429,0.52,0.306,14,"Boruta"
"94",0.772727272727273,0.68,0.272,22,"VarSelRF"
"95",NA,0,0.39,0,"PIMP"
"96",0.67741935483871,0.84,0.262,31,"AUCRF"
"97",0.126903553299492,1,0.298,197,"Perm"
"98",0.826086956521739,0.76,0.234,23,"EFS"
"99",0.333333333333333,0.72,0.316,54,"RFE"
"100",0.327868852459016,0.8,0.278,61,"Vita"
"101",1,0.44,0.274,11,"binomialRF"
"102",0.909090909090909,0.8,0.18,22,"VSURF"
"103",0.941176470588235,0.64,0.256,17,"Boruta"
"104",0.740740740740741,0.8,0.206,27,"VarSelRF"
"105",NA,0,0.36,0,"PIMP"
"106",0.6,0.96,0.186,40,"AUCRF"
"107",0.131578947368421,1,0.238,190,"Perm"
"108",0.758620689655172,0.88,0.168,29,"EFS"
"109",0.357142857142857,0.8,0.232,56,"RFE"
"110",0.5,0.92,0.196,46,"Vita"
"111",1,0.44,0.312,11,"binomialRF"
"112",0.818181818181818,0.36,0.366,11,"VSURF"
"113",0.928571428571429,0.52,0.276,14,"Boruta"
"114",0.740740740740741,0.8,0.226,27,"VarSelRF"
"115",NA,0,0.338,0,"PIMP"
"116",0.369230769230769,0.96,0.248,65,"AUCRF"
"117",0.116504854368932,0.96,0.31,206,"Perm"
"118",0.724137931034483,0.84,0.228,29,"EFS"
"119",0.274193548387097,0.68,0.302,62,"RFE"
"120",0.447368421052632,0.68,0.264,38,"Vita"
"121",0.9,0.36,0.32,10,"binomialRF"
"122",0.909090909090909,0.4,0.292,11,"VSURF"
"123",0.928571428571429,0.52,0.266,14,"Boruta"
"124",0.888888888888889,0.64,0.242,18,"VarSelRF"
"125",NA,0,0.346,0,"PIMP"
"126",0.645161290322581,0.8,0.238,31,"AUCRF"
"127",0.119791666666667,0.92,0.266,192,"Perm"
"128",0.76,0.76,0.232,25,"EFS"
"129",0.37037037037037,0.8,0.248,54,"RFE"
"130",0.416666666666667,0.8,0.246,48,"Vita"
"131",1,0.44,0.354,11,"binomialRF"
"132",1,0.48,0.31,12,"VSURF"
"133",1,0.56,0.294,14,"Boruta"
"134",0.488372093023256,0.84,0.254,43,"VarSelRF"
"135",NA,0,0.382,0,"PIMP"
"136",0.369230769230769,0.96,0.268,65,"AUCRF"
"137",0.113861386138614,0.92,0.332,202,"Perm"
"138",0.777777777777778,0.84,0.248,27,"EFS"
"139",0.327868852459016,0.8,0.3,61,"RFE"
"140",0.478260869565217,0.88,0.254,46,"Vita"
"141",0.857142857142857,0.24,0.378,7,"binomialRF"
"142",0.941176470588235,0.64,0.282,17,"VSURF"
"143",0.923076923076923,0.48,0.306,13,"Boruta"
"144",0.529411764705882,0.72,0.304,34,"VarSelRF"
"145",NA,0,0.39,0,"PIMP"
"146",0.431372549019608,0.88,0.276,51,"AUCRF"
"147",0.118556701030928,0.92,0.348,194,"Perm"
