"","Precision","Recall","TestError","ModelSize","Model"
"1",1,0.1,0.42,5,"binomialRF"
"2",0.941176470588235,0.32,0.328,17,"VSURF"
"3",0.909090909090909,0.2,0.392,11,"Boruta"
"4",0.923076923076923,0.48,0.312,26,"VarSelRF"
"5",NA,0,0.23,0,"PIMP"
"6",0.73015873015873,0.92,0.264,63,"AUCRF"
"7",0.825,0.66,0.29,40,"Perm"
"8",0.977777777777778,0.88,0.252,45,"EFS"
"9",1,0.4,0.328,20,"RFE"
"10",0.875,0.56,0.294,32,"Vita"
"11",1,0.1,0.444,5,"binomialRF"
"12",1,0.24,0.394,12,"VSURF"
"13",0.928571428571429,0.26,0.388,14,"Boruta"
"14",0.803921568627451,0.82,0.282,51,"VarSelRF"
"15",NA,0,0.266,0,"PIMP"
"16",0.8,0.8,0.278,50,"AUCRF"
"17",0.891891891891892,0.66,0.31,37,"Perm"
"18",0.91304347826087,0.84,0.256,46,"EFS"
"19",1,0.4,0.316,20,"RFE"
"20",0.84375,0.54,0.306,32,"Vita"
"21",1,0.12,0.394,6,"binomialRF"
"22",1,0.3,0.304,15,"VSURF"
"23",1,0.26,0.328,13,"Boruta"
"24",0.902439024390244,0.74,0.26,41,"VarSelRF"
"25",NA,0,0.216,0,"PIMP"
"26",0.84,0.84,0.246,50,"AUCRF"
"27",0.825,0.66,0.28,40,"Perm"
"28",1,0.76,0.234,38,"EFS"
"29",1,0.4,0.322,20,"RFE"
"30",0.90625,0.58,0.3,32,"Vita"
"31",1,0.08,0.434,4,"binomialRF"
"32",1,0.28,0.322,14,"VSURF"
"33",1,0.22,0.358,11,"Boruta"
"34",0.961538461538462,0.5,0.276,26,"VarSelRF"
"35",NA,0,0.246,0,"PIMP"
"36",0.86,0.86,0.212,50,"AUCRF"
"37",0.897435897435897,0.7,0.246,39,"Perm"
"38",0.976190476190476,0.82,0.216,42,"EFS"
"39",0.947368421052632,0.36,0.318,19,"RFE"
"40",0.9,0.54,0.302,30,"Vita"
"41",0.75,0.06,0.432,4,"binomialRF"
"42",1,0.14,0.384,7,"VSURF"
"43",1,0.2,0.364,10,"Boruta"
"44",0.961538461538462,0.5,0.268,26,"VarSelRF"
"45",NA,0,0.302,0,"PIMP"
"46",0.73015873015873,0.92,0.254,63,"AUCRF"
"47",0.837837837837838,0.62,0.284,37,"Perm"
"48",0.975,0.78,0.238,40,"EFS"
"49",0.956521739130435,0.44,0.296,23,"RFE"
"50",0.942857142857143,0.66,0.278,35,"Vita"
"51",1,0.12,0.428,6,"binomialRF"
"52",1,0.26,0.362,13,"VSURF"
"53",1,0.26,0.32,13,"Boruta"
"54",1,0.52,0.276,26,"VarSelRF"
"55",NA,0,0.224,0,"PIMP"
"56",0.923076923076923,0.72,0.244,39,"AUCRF"
"57",0.918918918918919,0.68,0.262,37,"Perm"
"58",1,0.86,0.22,43,"EFS"
"59",1,0.44,0.308,22,"RFE"
"60",1,0.6,0.258,30,"Vita"
"61",1,0.08,0.448,4,"binomialRF"
"62",1,0.3,0.352,15,"VSURF"
"63",1,0.24,0.35,12,"Boruta"
"64",0.909090909090909,0.6,0.246,33,"VarSelRF"
"65",NA,0,0.274,0,"PIMP"
"66",0.948717948717949,0.74,0.236,39,"AUCRF"
"67",0.891891891891892,0.66,0.234,37,"Perm"
"68",1,0.88,0.212,44,"EFS"
"69",1,0.44,0.258,22,"RFE"
"70",0.911764705882353,0.62,0.272,34,"Vita"
"71",1,0.14,0.414,7,"binomialRF"
"72",0.947368421052632,0.36,0.348,19,"VSURF"
"73",1,0.26,0.38,13,"Boruta"
"74",0.961538461538462,0.5,0.31,26,"VarSelRF"
"75",NA,0,0.33,0,"PIMP"
"76",0.78,0.78,0.276,50,"AUCRF"
"77",0.82051282051282,0.64,0.302,39,"Perm"
"78",0.95,0.76,0.27,40,"EFS"
"79",1,0.34,0.32,17,"RFE"
"80",0.85,0.68,0.274,40,"Vita"
"81",1,0.1,0.394,5,"binomialRF"
"82",1,0.24,0.346,12,"VSURF"
"83",1,0.2,0.36,10,"Boruta"
"84",0.878048780487805,0.72,0.256,41,"VarSelRF"
"85",NA,0,0.32,0,"PIMP"
"86",0.897435897435897,0.7,0.264,39,"AUCRF"
"87",0.885714285714286,0.62,0.27,35,"Perm"
"88",1,0.62,0.284,31,"EFS"
"89",1,0.34,0.316,17,"RFE"
"90",0.911764705882353,0.62,0.268,34,"Vita"
"91",1,0.1,0.392,5,"binomialRF"
"92",1,0.2,0.386,10,"VSURF"
"93",1,0.28,0.332,14,"Boruta"
"94",0.878787878787879,0.58,0.268,33,"VarSelRF"
"95",NA,0,0.262,0,"PIMP"
"96",0.84,0.84,0.236,50,"AUCRF"
"97",0.870967741935484,0.54,0.26,31,"Perm"
"98",0.951219512195122,0.78,0.242,41,"EFS"
"99",1,0.36,0.31,18,"RFE"
"100",0.852941176470588,0.58,0.278,34,"Vita"
"101",1,0.14,0.382,7,"binomialRF"
"102",1,0.2,0.376,10,"VSURF"
"103",1,0.22,0.39,11,"Boruta"
"104",0.926829268292683,0.76,0.258,41,"VarSelRF"
"105",NA,0,0.254,0,"PIMP"
"106",0.746031746031746,0.94,0.218,63,"AUCRF"
"107",0.888888888888889,0.64,0.286,36,"Perm"
"108",1,0.8,0.23,40,"EFS"
"109",1,0.38,0.316,19,"RFE"
"110",0.894736842105263,0.68,0.254,38,"Vita"
"111",1,0.14,0.392,7,"binomialRF"
"112",1,0.3,0.328,15,"VSURF"
"113",1,0.22,0.358,11,"Boruta"
"114",0.961538461538462,0.5,0.308,26,"VarSelRF"
"115",NA,0,0.292,0,"PIMP"
"116",0.923076923076923,0.72,0.262,39,"AUCRF"
