"","Precision","Recall","TestError","ModelSize","Model"
"1",1,1,0.13,5,"binomialRF"
"2",1,1,0.118,5,"VSURF"
"3",0.714285714285714,1,0.118,7,"Boruta"
"4",0.833333333333333,1,0.134,6,"VarSelRF"
"5",NA,0,0.27,0,"PIMP"
"6",0.625,1,0.118,8,"AUCRF"
"7",0.0260416666666667,1,0.198,192,"Perm"
"8",1,1,0.122,5,"EFS"
"9",0.0975609756097561,0.8,0.226,41,"RFE"
"10",0.116279069767442,1,0.15,43,"Vita"
"11",1,1,0.136,5,"binomialRF"
"12",1,1,0.142,5,"VSURF"
"13",1,1,0.134,5,"Boruta"
"14",1,1,0.136,5,"VarSelRF"
"15",NA,0,0.416,0,"PIMP"
"16",0.833333333333333,1,0.142,6,"AUCRF"
"17",0.0273224043715847,1,0.272,183,"Perm"
"18",1,1,0.134,5,"EFS"
"19",0.1,0.8,0.206,40,"RFE"
"20",0.128205128205128,1,0.158,39,"Vita"
"21",1,1,0.128,5,"binomialRF"
"22",1,1,0.132,5,"VSURF"
"23",1,1,0.124,5,"Boruta"
"24",1,1,0.128,5,"VarSelRF"
"25",NA,0,0.202,0,"PIMP"
"26",0.161290322580645,1,0.112,31,"AUCRF"
"27",0.027027027027027,1,0.148,185,"Perm"
"28",1,1,0.132,5,"EFS"
"29",0.0975609756097561,0.8,0.182,41,"RFE"
"30",0.25,1,0.13,20,"Vita"
"31",1,1,0.124,5,"binomialRF"
"32",1,1,0.118,5,"VSURF"
"33",0.714285714285714,1,0.118,7,"Boruta"
"34",1,1,0.122,5,"VarSelRF"
"35",NA,0,0.358,0,"PIMP"
"36",0.161290322580645,1,0.142,31,"AUCRF"
"37",0.0271739130434783,1,0.214,184,"Perm"
"38",1,1,0.116,5,"EFS"
"39",0.1,0.8,0.2,40,"RFE"
"40",0.104166666666667,1,0.154,48,"Vita"
"41",1,1,0.104,5,"binomialRF"
"42",0.833333333333333,1,0.09,6,"VSURF"
"43",0.714285714285714,1,0.098,7,"Boruta"
"44",0.454545454545455,1,0.106,11,"VarSelRF"
"45",NA,0,0.234,0,"PIMP"
"46",0.454545454545455,1,0.1,11,"AUCRF"
"47",0.0285714285714286,1,0.154,175,"Perm"
"48",1,1,0.094,5,"EFS"
"49",0.151515151515152,1,0.128,33,"RFE"
"50",0.119047619047619,1,0.118,42,"Vita"
"51",1,1,0.096,5,"binomialRF"
"52",1,1,0.09,5,"VSURF"
"53",0.833333333333333,1,0.104,6,"Boruta"
"54",0.833333333333333,1,0.102,6,"VarSelRF"
"55",NA,0,0.294,0,"PIMP"
"56",0.208333333333333,1,0.112,24,"AUCRF"
"57",0.0264550264550265,1,0.172,189,"Perm"
"58",1,1,0.1,5,"EFS"
"59",0.0851063829787234,0.8,0.264,47,"RFE"
"60",0.125,1,0.126,40,"Vita"
"61",1,1,0.114,5,"binomialRF"
"62",0.833333333333333,1,0.116,6,"VSURF"
"63",0.714285714285714,1,0.128,7,"Boruta"
"64",0.277777777777778,1,0.128,18,"VarSelRF"
"65",NA,0,0.274,0,"PIMP"
"66",0.0980392156862745,1,0.158,51,"AUCRF"
"67",0.028735632183908,1,0.156,174,"Perm"
"68",0.833333333333333,1,0.122,6,"EFS"
"69",0.108695652173913,1,0.128,46,"RFE"
"70",0.1,1,0.138,50,"Vita"
"71",1,1,0.126,5,"binomialRF"
"72",1,1,0.128,5,"VSURF"
"73",1,1,0.126,5,"Boruta"
"74",1,1,0.124,5,"VarSelRF"
"75",NA,0,0.368,0,"PIMP"
"76",0.125,1,0.162,40,"AUCRF"
"77",0.0285714285714286,1,0.22,175,"Perm"
"78",0.714285714285714,1,0.112,7,"EFS"
"79",0.0869565217391304,0.8,0.226,46,"RFE"
"80",0.185185185185185,1,0.126,27,"Vita"
"81",1,1,0.118,5,"binomialRF"
"82",1,1,0.118,5,"VSURF"
"83",0.714285714285714,1,0.136,7,"Boruta"
"84",0.357142857142857,1,0.138,14,"VarSelRF"
"85",0,0,0.248,1,"PIMP"
"86",0.454545454545455,1,0.136,11,"AUCRF"
"87",0.0267379679144385,1,0.198,187,"Perm"
"88",1,1,0.112,5,"EFS"
"89",0.0952380952380952,0.8,0.228,42,"RFE"
"90",0.119047619047619,1,0.162,42,"Vita"
"91",1,1,0.136,5,"binomialRF"
"92",1,1,0.134,5,"VSURF"
"93",1,1,0.13,5,"Boruta"
"94",1,1,0.132,5,"VarSelRF"
"95",NA,0,0.258,0,"PIMP"
"96",0.833333333333333,1,0.134,6,"AUCRF"
"97",0.0268817204301075,1,0.162,186,"Perm"
"98",1,1,0.134,5,"EFS"
"99",0.0816326530612245,0.8,0.2,49,"RFE"
"100",0.0925925925925926,1,0.136,54,"Vita"
"101",1,1,0.094,5,"binomialRF"
"102",1,1,0.082,5,"VSURF"
"103",1,1,0.09,5,"Boruta"
"104",1,1,0.094,5,"VarSelRF"
"105",NA,0,0.358,0,"PIMP"
"106",0.263157894736842,1,0.144,19,"AUCRF"
"107",0.0260416666666667,1,0.22,192,"Perm"
"108",1,1,0.086,5,"EFS"
"109",0.0952380952380952,0.8,0.224,42,"RFE"
"110",0.104166666666667,1,0.15,48,"Vita"
"111",1,1,0.112,5,"binomialRF"
"112",0.833333333333333,1,0.112,6,"VSURF"
"113",1,1,0.104,5,"Boruta"
"114",1,1,0.112,5,"VarSelRF"
"115",NA,0,0.396,0,"PIMP"
"116",0.625,1,0.104,8,"AUCRF"
"117",0.0274725274725275,1,0.216,182,"Perm"
"118",0.833333333333333,1,0.1,6,"EFS"
"119",0.128205128205128,1,0.136,39,"RFE"
"120",0.102040816326531,1,0.146,49,"Vita"
"121",1,1,0.13,5,"binomialRF"
"122",0.833333333333333,1,0.13,6,"VSURF"
"123",1,1,0.14,5,"Boruta"
"124",0.454545454545455,1,0.15,11,"VarSelRF"
"125",NA,0,0.316,0,"PIMP"
"126",0.161290322580645,1,0.158,31,"AUCRF"
"127",0.0294117647058824,1,0.204,170,"Perm"
"128",1,1,0.134,5,"EFS"
"129",0.0952380952380952,0.8,0.212,42,"RFE"
"130",0.0980392156862745,1,0.168,51,"Vita"
"131",1,1,0.11,5,"binomialRF"
"132",0.833333333333333,1,0.118,6,"VSURF"
"133",1,1,0.112,5,"Boruta"
"134",1,1,0.112,5,"VarSelRF"
"135",NA,0,0.306,0,"PIMP"
"136",0.161290322580645,1,0.154,31,"AUCRF"
"137",0.0259067357512953,1,0.192,193,"Perm"
"138",1,1,0.112,5,"EFS"
"139",0.0545454545454545,0.6,0.274,55,"RFE"
"140",0.078125,1,0.166,64,"Vita"
"141",1,1,0.112,5,"binomialRF"
"142",1,1,0.12,5,"VSURF"
"143",1,1,0.122,5,"Boruta"
"144",0.454545454545455,1,0.122,11,"VarSelRF"
"145",NA,0,0.338,0,"PIMP"
"146",0.125,1,0.172,40,"AUCRF"
"147",0.0280898876404494,1,0.202,178,"Perm"
"148",1,1,0.12,5,"EFS"
"149",0.119047619047619,1,0.172,42,"RFE"
"150",0.1,1,0.192,50,"Vita"
"151",1,1,0.11,5,"binomialRF"
"152",1,1,0.112,5,"VSURF"
"153",0.714285714285714,1,0.128,7,"Boruta"
"154",0.833333333333333,1,0.124,6,"VarSelRF"
"155",NA,0,0.368,0,"PIMP"
"156",0.833333333333333,1,0.13,6,"AUCRF"
"157",0.0271739130434783,1,0.24,184,"Perm"
"158",1,1,0.112,5,"EFS"
"159",0.142857142857143,1,0.18,35,"RFE"
"160",0.111111111111111,1,0.174,45,"Vita"
"161",1,1,0.116,5,"binomialRF"
"162",1,1,0.134,5,"VSURF"
"163",0.833333333333333,1,0.116,6,"Boruta"
"164",1,1,0.13,5,"VarSelRF"
"165",NA,0,0.264,0,"PIMP"
"166",0.833333333333333,1,0.122,6,"AUCRF"
"167",0.0265957446808511,1,0.188,188,"Perm"
"168",1,1,0.13,5,"EFS"
"169",0.121951219512195,1,0.152,41,"RFE"
"170",0.128205128205128,1,0.142,39,"Vita"
"171",1,1,0.122,5,"binomialRF"
"172",0.833333333333333,1,0.126,6,"VSURF"
"173",0.833333333333333,1,0.124,6,"Boruta"
"174",1,1,0.116,5,"VarSelRF"
"175",NA,0,0.324,0,"PIMP"
