"","Precision","Recall","TestError","ModelSize","Model"
"1",0.909090909090909,0.4,0.312,11,"binomialRF"
"2",0.714285714285714,0.6,0.284,21,"VSURF"
"3",0.923076923076923,0.48,0.3,13,"Boruta"
"4",0.465116279069767,0.8,0.252,43,"VarSelRF"
"5",NA,0,0.388,0,"PIMP"
"6",0.353846153846154,0.92,0.25,65,"AUCRF"
"7",0.127551020408163,1,0.296,196,"Perm"
"8",0.888888888888889,0.64,0.26,18,"EFS"
"9",0.246153846153846,0.64,0.314,65,"RFE"
"10",0.296875,0.76,0.274,64,"Vita"
"11",1,0.36,0.306,9,"binomialRF"
"12",0.833333333333333,0.4,0.284,12,"VSURF"
"13",1,0.48,0.284,12,"Boruta"
"14",0.465116279069767,0.8,0.248,43,"VarSelRF"
"15",0.5,0.04,0.458,2,"PIMP"
"16",0.193798449612403,1,0.258,129,"AUCRF"
"17",0.123152709359606,1,0.29,203,"Perm"
"18",0.928571428571429,0.52,0.278,14,"EFS"
"19",0.339285714285714,0.76,0.3,56,"RFE"
"20",0.387096774193548,0.96,0.234,62,"Vita"
"21",1,0.52,0.286,13,"binomialRF"
"22",0.833333333333333,0.4,0.344,12,"VSURF"
"23",1,0.52,0.304,13,"Boruta"
"24",0.617647058823529,0.84,0.258,34,"VarSelRF"
"25",0,0,0.342,1,"PIMP"
"26",0.323076923076923,0.84,0.3,65,"AUCRF"
"27",0.121827411167513,0.96,0.3,197,"Perm"
"28",0.708333333333333,0.68,0.284,24,"EFS"
"29",0.333333333333333,0.76,0.28,57,"RFE"
"30",0.322033898305085,0.76,0.274,59,"Vita"
"31",1,0.44,0.294,11,"binomialRF"
"32",0.866666666666667,0.52,0.278,15,"VSURF"
"33",0.875,0.56,0.294,16,"Boruta"
"34",0.588235294117647,0.8,0.222,34,"VarSelRF"
"35",0,0,0.514,2,"PIMP"
"36",0.338461538461538,0.88,0.256,65,"AUCRF"
"37",0.123762376237624,1,0.27,202,"Perm"
"38",0.628571428571429,0.88,0.224,35,"EFS"
"39",0.290322580645161,0.72,0.282,62,"RFE"
"40",0.338461538461538,0.88,0.242,65,"Vita"
"41",0.909090909090909,0.4,0.33,11,"binomialRF"
"42",0.928571428571429,0.52,0.284,14,"VSURF"
"43",0.923076923076923,0.48,0.316,13,"Boruta"
"44",0.617647058823529,0.84,0.214,34,"VarSelRF"
"45",NA,0,0.306,0,"PIMP"
"46",0.575,0.92,0.234,40,"AUCRF"
"47",0.130208333333333,1,0.282,192,"Perm"
"48",0.8,0.8,0.232,25,"EFS"
"49",0.322033898305085,0.76,0.266,59,"RFE"
"50",0.428571428571429,0.96,0.228,56,"Vita"
"51",1,0.4,0.32,10,"binomialRF"
"52",0.785714285714286,0.44,0.312,14,"VSURF"
"53",1,0.48,0.286,12,"Boruta"
"54",0.617647058823529,0.84,0.248,34,"VarSelRF"
"55",NA,0,0.326,0,"PIMP"
"56",0.292682926829268,0.96,0.244,82,"AUCRF"
"57",0.110091743119266,0.96,0.288,218,"Perm"
"58",0.842105263157895,0.64,0.26,19,"EFS"
"59",0.354838709677419,0.88,0.264,62,"RFE"
"60",0.348484848484849,0.92,0.222,66,"Vita"
"61",1,0.4,0.306,10,"binomialRF"
"62",1,0.72,0.248,18,"VSURF"
"63",1,0.44,0.308,11,"Boruta"
"64",0.909090909090909,0.8,0.222,22,"VarSelRF"
"65",NA,0,0.464,0,"PIMP"
"66",0.67741935483871,0.84,0.254,31,"AUCRF"
"67",0.116161616161616,0.92,0.36,198,"Perm"
"68",0.76,0.76,0.23,25,"EFS"
"69",0.381818181818182,0.84,0.304,55,"RFE"
"70",0.468085106382979,0.88,0.28,47,"Vita"
"71",1,0.28,0.38,7,"binomialRF"
"72",0.857142857142857,0.48,0.32,14,"VSURF"
"73",1,0.44,0.322,11,"Boruta"
