"","Precision","Recall","TestError","ModelSize","Model"
"1",0.705882352941177,0.12,0.434,17,"binomialRF"
"2",0.857142857142857,0.12,0.394,14,"VSURF"
"3",0.727272727272727,0.08,0.438,11,"Boruta"
"4",0.685185185185185,0.37,0.346,54,"VarSelRF"
"5",0,0,0.388,1,"PIMP"
"6",0.630769230769231,0.41,0.362,65,"AUCRF"
"7",0.333333333333333,0.7,0.398,210,"Perm"
"8",0.787234042553192,0.37,0.344,47,"EFS"
"9",0.613333333333333,0.46,0.352,75,"RFE"
"10",0.612903225806452,0.38,0.372,62,"Vita"
"11",0.916666666666667,0.11,0.372,12,"binomialRF"
"12",0.833333333333333,0.1,0.4,12,"VSURF"
"13",0.9,0.09,0.406,10,"Boruta"
"14",0.697674418604651,0.3,0.356,43,"VarSelRF"
"15",NA,0,0.354,0,"PIMP"
"16",0.585365853658537,0.48,0.342,82,"AUCRF"
"17",0.351111111111111,0.79,0.318,225,"Perm"
"18",0.8,0.32,0.332,40,"EFS"
"19",0.658227848101266,0.52,0.342,79,"RFE"
"20",0.547169811320755,0.29,0.352,53,"Vita"
"21",0.818181818181818,0.09,0.432,11,"binomialRF"
"22",0.8,0.16,0.368,20,"VSURF"
"23",1,0.07,0.408,7,"Boruta"
"24",0.627906976744186,0.27,0.358,43,"VarSelRF"
"25",NA,0,0.408,0,"PIMP"
"26",0.475609756097561,0.39,0.358,82,"AUCRF"
"27",0.307692307692308,0.64,0.356,208,"Perm"
"28",0.641509433962264,0.34,0.322,53,"EFS"
"29",0.625,0.45,0.33,72,"RFE"
"30",0.543859649122807,0.31,0.348,57,"Vita"
"31",0.692307692307692,0.09,0.452,13,"binomialRF"
"32",0.571428571428571,0.04,0.48,7,"VSURF"
"33",0.714285714285714,0.05,0.466,7,"Boruta"
"34",0.651162790697674,0.28,0.394,43,"VarSelRF"
"35",NA,0,0.382,0,"PIMP"
"36",0.585365853658537,0.48,0.354,82,"AUCRF"
"37",0.330232558139535,0.71,0.354,215,"Perm"
"38",0.851851851851852,0.23,0.43,27,"EFS"
"39",0.613333333333333,0.46,0.348,75,"RFE"
"40",0.53448275862069,0.31,0.39,58,"Vita"
"41",0.866666666666667,0.13,0.44,15,"binomialRF"
"42",0.944444444444444,0.17,0.39,18,"VSURF"
"43",1,0.08,0.446,8,"Boruta"
"44",0.814814814814815,0.22,0.39,27,"VarSelRF"
"45",NA,0,0.452,0,"PIMP"
"46",0.536585365853659,0.44,0.396,82,"AUCRF"
"47",0.342857142857143,0.72,0.394,210,"Perm"
"48",0.837837837837838,0.31,0.396,37,"EFS"
"49",0.623376623376623,0.48,0.384,77,"RFE"
"50",0.568965517241379,0.33,0.412,58,"Vita"
"51",0.846153846153846,0.11,0.43,13,"binomialRF"
