"","Precision","Recall","TestError","ModelSize","Model"
"1","1","0.14","0.412","7","binomialRF"
"2","1","0.22","0.39","11","VSURF"
"3","1","0.34","0.358","17","Boruta"
"4","0.96969696969697","0.64","0.28","33","VarSelRF"
"5","NaN","0","0.244","0","PIMP"
"6","0.84","0.84","0.262","50","AUCRF"
"7","0.9","0.72","0.274","40","Perm"
"8","1","0.86","0.258","43","EFS"
"9","1","0.48","0.302","24","RFE"
"10","0.853658536585366","0.7","0.272","41","Vita"
"11","1","0.12","0.378","6","binomialRF"
"12","1","0.22","0.342","11","VSURF"
"13","0.9","0.18","0.338","10","Boruta"
"14","0.909090909090909","0.6","0.264","33","VarSelRF"
"15","0","0","0.238","1","PIMP"
"16","0.73015873015873","0.92","0.226","63","AUCRF"
"17","0.902439024390244","0.74","0.228","41","Perm"
"18","0.974358974358974","0.76","0.226","39","EFS"
"19","1","0.34","0.292","17","RFE"
"20","0.9375","0.6","0.27","32","Vita"
"21","1","0.1","0.414","5","binomialRF"
"22","1","0.18","0.364","9","VSURF"
"23","1","0.24","0.354","12","Boruta"
"24","0.878048780487805","0.72","0.236","41","VarSelRF"
"25","NaN","0","0.218","0","PIMP"
"26","0.948717948717949","0.74","0.236","39","AUCRF"
"27","0.921052631578947","0.7","0.256","38","Perm"
"28","0.976190476190476","0.82","0.216","42","EFS"
"29","1","0.42","0.286","21","RFE"
"30","0.894736842105263","0.68","0.25","38","Vita"
"31","1","0.14","0.398","7","binomialRF"
"32","1","0.32","0.344","16","VSURF"
"33","1","0.2","0.376","10","Boruta"
"34","0.909090909090909","0.6","0.284","33","VarSelRF"
"35","NaN","0","0.214","0","PIMP"
"36","0.73015873015873","0.92","0.214","63","AUCRF"
"37","0.868421052631579","0.66","0.246","38","Perm"
"38","0.914893617021277","0.86","0.23","47","EFS"
"39","1","0.38","0.312","19","RFE"
"40","0.902439024390244","0.74","0.256","41","Vita"
"41","1","0.14","0.392","7","binomialRF"
"42","1","0.16","0.376","8","VSURF"
"43","1","0.28","0.328","14","Boruta"
"44","0.686274509803922","0.7","0.246","51","VarSelRF"
"45","NaN","0","0.204","0","PIMP"
"46","0.619047619047619","0.78","0.234","63","AUCRF"
"47","0.852941176470588","0.58","0.272","34","Perm"
"48","0.975609756097561","0.8","0.222","41","EFS"
"49","0.952380952380952","0.4","0.282","21","RFE"
"50","0.903225806451613","0.56","0.254","31","Vita"
"51","1","0.14","0.426","7","binomialRF"
"52","1","0.26","0.316","13","VSURF"
"53","1","0.22","0.338","11","Boruta"
"54","0.823529411764706","0.84","0.234","51","VarSelRF"
"55","0.333333333333333","0.02","0.41","3","PIMP"
"56","0.86","0.86","0.228","50","AUCRF"
"57","0.894736842105263","0.68","0.256","38","Perm"
"58","0.976190476190476","0.82","0.248","42","EFS"
"59","1","0.3","0.308","15","RFE"
"60","0.931034482758621","0.54","0.304","29","Vita"
"61","1","0.12","0.408","6","binomialRF"
"62","1","0.14","0.4","7","VSURF"
"63","1","0.26","0.382","13","Boruta"
"64","0.884615384615385","0.46","0.284","26","VarSelRF"
"65","0","0","0.234","1","PIMP"
"66","0.78","0.78","0.264","50","AUCRF"
"67","0.939393939393939","0.62","0.25","33","Perm"
"68","0.931818181818182","0.82","0.246","44","EFS"
"69","1","0.4","0.364","20","RFE"
"70","0.815789473684211","0.62","0.288","38","Vita"
"71","1","0.06","0.462","3","binomialRF"
"72","0.944444444444444","0.34","0.328","18","VSURF"
"73","1","0.22","0.364","11","Boruta"
"74","0.671875","0.86","0.212","64","VarSelRF"
"75","0","0","0.24","1","PIMP"
"76","0.78","0.78","0.21","50","AUCRF"
"77","0.833333333333333","0.8","0.218","48","Perm"
"78","0.952380952380952","0.8","0.208","42","EFS"
"79","1","0.42","0.282","21","RFE"
"80","0.804347826086957","0.74","0.234","46","Vita"
"81","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
","Error in socketConnection(""localhost"", port = port, server = TRUE, blocking = TRUE,  : 
  cannot open the connection
",NA
"82","1","0.1","0.45","5","binomialRF"
"83","1","0.14","0.436","7","VSURF"
"84","1","0.18","0.404","9","Boruta"
"85","0.96969696969697","0.64","0.324","33","VarSelRF"
"86","NaN","0","0.304","0","PIMP"
"87","0.967741935483871","0.6","0.31","31","AUCRF"
"88","0.916666666666667","0.66","0.286","36","Perm"
"89","1","0.88","0.268","44","EFS"
"90","1","0.42","0.326","21","RFE"
"91","0.833333333333333","0.8","0.284","48","Vita"
"92","1","0.12","0.446","6","binomialRF"
"93","1","0.1","0.39","5","VSURF"
"94","1","0.26","0.38","13","Boruta"
"95","0.961538461538462","0.5","0.316","26","VarSelRF"
"96","0","0","0.31","1","PIMP"
"97","0.82","0.82","0.304","50","AUCRF"
"98","0.871794871794872","0.68","0.282","39","Perm"
"99","0.933333333333333","0.84","0.274","45","EFS"
"100","1","0.44","0.336","22","RFE"
"101","0.869565217391304","0.8","0.268","46","Vita"
"102","1","0.18","0.386","9","binomialRF"
"103","1","0.24","0.358","12","VSURF"
"104","1","0.2","0.37","10","Boruta"
"105","1","0.52","0.288","26","VarSelRF"
"106","NaN","0","0.328","0","PIMP"
"107","0.82","0.82","0.262","50","AUCRF"
"108","0.885714285714286","0.62","0.276","35","Perm"
"109","1","0.92","0.242","46","EFS"
"110","1","0.42","0.318","21","RFE"
"111","0.878048780487805","0.72","0.27","41","Vita"
"112","1","0.12","0.424","6","binomialRF"
"113","1","0.36","0.354","18","VSURF"
"114","1","0.24","0.372","12","Boruta"
"115","0.926829268292683","0.76","0.27","41","VarSelRF"
"116","1","0.04","0.488","2","PIMP"
"117","0.82","0.82","0.264","50","AUCRF"
"118","0.864864864864865","0.64","0.304","37","Perm"
"119","1","0.74","0.27","37","EFS"
"120","1","0.4","0.338","20","RFE"
"121","0.971428571428571","0.68","0.282","35","Vita"
"122","1","0.12","0.378","6","binomialRF"
"123","0.944444444444444","0.34","0.328","18","VSURF"
"124","1","0.28","0.33","14","Boruta"
"125","0.853658536585366","0.7","0.274","41","VarSelRF"
"126","NaN","0","0.216","0","PIMP"
"127","0.871794871794872","0.68","0.26","39","AUCRF"
"128","0.853658536585366","0.7","0.264","41","Perm"
"129","0.951219512195122","0.78","0.264","41","EFS"
"130","0.952380952380952","0.4","0.312","21","RFE"
"131","0.896551724137931","0.52","0.296","29","Vita"
"132","1","0.1","0.44","5","binomialRF"
"133","1","0.24","0.334","12","VSURF"
"134","1","0.26","0.362","13","Boruta"
"135","0.909090909090909","0.6","0.272","33","VarSelRF"
"136","NaN","0","0.204","0","PIMP"
"137","0.607594936708861","0.96","0.218","79","AUCRF"
"138","0.911764705882353","0.62","0.258","34","Perm"
"139","1","0.82","0.198","41","EFS"
"140","1","0.34","0.306","17","RFE"
"141","0.870967741935484","0.54","0.28","31","Vita"
"142","1","0.08","0.45","4","binomialRF"
"143","1","0.3","0.346","15","VSURF"
"144","1","0.22","0.35","11","Boruta"
"145","0.784313725490196","0.8","0.25","51","VarSelRF"
"146","1","0.02","0.238","1","PIMP"
"147","0.714285714285714","0.9","0.226","63","AUCRF"
"148","0.878787878787879","0.58","0.268","33","Perm"
"149","1","0.72","0.242","36","EFS"
"150","1","0.38","0.29","19","RFE"
"151","0.935483870967742","0.58","0.254","31","Vita"
"152","1","0.16","0.396","8","binomialRF"
"153","0.8","0.32","0.334","20","VSURF"
"154","0.928571428571429","0.26","0.35","14","Boruta"
"155","0.909090909090909","0.6","0.274","33","VarSelRF"
"156","NaN","0","0.22","0","PIMP"
"157","0.82","0.82","0.222","50","AUCRF"
"158","0.864864864864865","0.64","0.266","37","Perm"
