"","Precision","Recall","TestError","ModelSize","Model"
"1","0.583333333333333","0.07","0.434","12","binomialRF"
"2","0.642857142857143","0.09","0.432","14","VSURF"
"3","0.571428571428571","0.04","0.432","7","Boruta"
"4","0.372093023255814","0.32","0.382","86","VarSelRF"
"5","NaN","0","0.43","0","PIMP"
"6","0.518072289156627","0.43","0.332","83","AUCRF"
"7","0.144957983193277","0.69","0.384","476","Perm"
"8","0.679245283018868","0.36","0.356","53","EFS"
"9","0.35625","0.57","0.346","160","RFE"
"10","0.413333333333333","0.31","0.408","75","Vita"
"11","0.727272727272727","0.08","0.396","11","binomialRF"
"12","0.6875","0.11","0.46","16","VSURF"
"13","0.833333333333333","0.05","0.41","6","Boruta"
"14","0.308411214953271","0.33","0.388","107","VarSelRF"
"15","NaN","0","0.436","0","PIMP"
"16","0.375","0.39","0.378","104","AUCRF"
"17","0.154008438818565","0.73","0.364","474","Perm"
"18","0.71875","0.23","0.39","32","EFS"
"19","0.288235294117647","0.49","0.376","170","RFE"
"20","0.319444444444444","0.23","0.404","72","Vita"
"21","0.6","0.03","0.43","5","binomialRF"
"22","0.666666666666667","0.08","0.406","12","VSURF"
"23","0.8","0.04","0.436","5","Boruta"
"24","0.472727272727273","0.26","0.38","55","VarSelRF"
"25","NaN","0","0.434","0","PIMP"
"26","0.439393939393939","0.29","0.366","66","AUCRF"
"27","0.149590163934426","0.73","0.394","488","Perm"
"28","0.636363636363636","0.21","0.364","33","EFS"
"29","0.259668508287293","0.47","0.398","181","RFE"
"30","0.402985074626866","0.27","0.39","67","Vita"
"31","0.714285714285714","0.1","0.424","14","binomialRF"
"32","0.631578947368421","0.12","0.428","19","VSURF"
"33","0.857142857142857","0.06","0.478","7","Boruta"
"34","0.478260869565217","0.33","0.384","69","VarSelRF"
"35","NaN","0","0.412","0","PIMP"
"36","0.454545454545455","0.3","0.398","66","AUCRF"
"37","0.148619957537155","0.7","0.412","471","Perm"
"38","0.625","0.35","0.378","56","EFS"
"39","0.307692307692308","0.48","0.36","156","RFE"
"40","0.314285714285714","0.22","0.416","70","Vita"
"41","0.727272727272727","0.08","0.424","11","binomialRF"
"42","0.692307692307692","0.09","0.424","13","VSURF"
"43","1","0.07","0.454","7","Boruta"
"44","0.571428571428571","0.2","0.406","35","VarSelRF"
"45","NaN","0","0.45","0","PIMP"
"46","0.365384615384615","0.38","0.396","104","AUCRF"
"47","0.159574468085106","0.75","0.378","470","Perm"
"48","0.862068965517241","0.25","0.384","29","EFS"
"49","0.262857142857143","0.46","0.39","175","RFE"
"50","0.36","0.27","0.374","75","Vita"
"51","0.75","0.06","0.444","8","binomialRF"
"52","0.529411764705882","0.09","0.44","17","VSURF"
"53","1","0.06","0.482","6","Boruta"
"54","0.454545454545455","0.2","0.42","44","VarSelRF"
"55","NaN","0","0.474","0","PIMP"
"56","0.290909090909091","0.48","0.396","165","AUCRF"
"57","0.1440329218107","0.7","0.438","486","Perm"
"58","0.666666666666667","0.34","0.39","51","EFS"
"59","0.317073170731707","0.52","0.398","164","RFE"
"60","0.319327731092437","0.38","0.388","119","Vita"
"61","0.75","0.09","0.44","12","binomialRF"
"62","0.823529411764706","0.14","0.424","17","VSURF"
"63","0.777777777777778","0.07","0.438","9","Boruta"
"64","0.383720930232558","0.33","0.37","86","VarSelRF"
"65","NaN","0","0.44","0","PIMP"
"66","0.351145038167939","0.46","0.374","131","AUCRF"
"67","0.132911392405063","0.63","0.396","474","Perm"
"68","0.763157894736842","0.29","0.386","38","EFS"
"69","0.309210526315789","0.47","0.376","152","RFE"
"70","0.356435643564356","0.36","0.39","101","Vita"
"71","0.666666666666667","0.04","0.444","6","binomialRF"
"72","0.6","0.12","0.41","20","VSURF"
"73","1","0.04","0.452","4","Boruta"
"74","0.405797101449275","0.28","0.408","69","VarSelRF"
"75","NaN","0","0.428","0","PIMP"
"76","0.236363636363636","0.39","0.41","165","AUCRF"
"77","0.146496815286624","0.69","0.39","471","Perm"
"78","0.636363636363636","0.28","0.392","44","EFS"
"79","0.27906976744186","0.48","0.39","172","RFE"
"80","0.289156626506024","0.24","0.432","83","Vita"
"81","0.636363636363636","0.07","0.456","11","binomialRF"
"82","0.714285714285714","0.1","0.396","14","VSURF"
"83","0.666666666666667","0.04","0.45","6","Boruta"
"84","0.613636363636364","0.27","0.398","44","VarSelRF"
"85","NaN","0","0.436","0","PIMP"
"86","0.457831325301205","0.38","0.374","83","AUCRF"
"87","0.145263157894737","0.69","0.388","475","Perm"
"88","0.583333333333333","0.42","0.374","72","EFS"
"89","0.275862068965517","0.48","0.398","174","RFE"
"90","0.389473684210526","0.37","0.38","95","Vita"
"91","0.666666666666667","0.08","0.468","12","binomialRF"
"92","0.619047619047619","0.13","0.378","21","VSURF"
"93","0.6","0.06","0.436","10","Boruta"
"94","0.348837209302326","0.3","0.366","86","VarSelRF"
"95","NaN","0","0.418","0","PIMP"
"96","0.375","0.39","0.354","104","AUCRF"
"97","0.145228215767635","0.7","0.388","482","Perm"
"98","0.583333333333333","0.35","0.374","60","EFS"
"99","0.278481012658228","0.44","0.38","158","RFE"
"100","0.347222222222222","0.25","0.424","72","Vita"
"101","0.75","0.06","0.438","8","binomialRF"
"102","0.636363636363636","0.14","0.404","22","VSURF"
"103","0.833333333333333","0.05","0.462","6","Boruta"
"104","0.545454545454545","0.3","0.38","55","VarSelRF"
"105","0","0","0.42","1","PIMP"
"106","0.296969696969697","0.49","0.406","165","AUCRF"
"107","0.141327623126338","0.66","0.428","467","Perm"
"108","0.716981132075472","0.38","0.368","53","EFS"
"109","0.260869565217391","0.42","0.406","161","RFE"
"110","0.289256198347107","0.35","0.396","121","Vita"
