"","Precision","Recall","TestError","ModelSize","Model"
"1",0.928571428571429,0.52,0.338,14,"binomialRF"
"2",0.916666666666667,0.44,0.324,12,"VSURF"
"3",0.866666666666667,0.52,0.356,15,"Boruta"
"4",0.681818181818182,0.6,0.324,22,"VarSelRF"
"5",NA,0,0.5,0,"PIMP"
"6",0.253012048192771,0.84,0.37,83,"AUCRF"
"7",0.0517241379310345,0.96,0.456,464,"Perm"
"8",0.708333333333333,0.68,0.302,24,"EFS"
"9",0.140845070422535,0.8,0.406,142,"RFE"
"10",0.259259259259259,0.84,0.386,81,"Vita"
"11",0.818181818181818,0.36,0.29,11,"binomialRF"
"12",0.761904761904762,0.64,0.246,21,"VSURF"
"13",0.818181818181818,0.36,0.342,11,"Boruta"
"14",0.431818181818182,0.76,0.266,44,"VarSelRF"
"15",NA,0,0.456,0,"PIMP"
"16",0.221153846153846,0.92,0.308,104,"AUCRF"
"17",0.0498915401301518,0.92,0.366,461,"Perm"
"18",0.621621621621622,0.92,0.232,37,"EFS"
"19",0.12751677852349,0.76,0.35,149,"RFE"
"20",0.22680412371134,0.88,0.312,97,"Vita"
"21",0.875,0.28,0.364,8,"binomialRF"
"22",0.9375,0.6,0.284,16,"VSURF"
"23",0.857142857142857,0.48,0.302,14,"Boruta"
"24",0.345454545454545,0.76,0.294,55,"VarSelRF"
"25",NA,0,0.388,0,"PIMP"
"26",0.27710843373494,0.92,0.296,83,"AUCRF"
"27",0.0554323725055432,1,0.342,451,"Perm"
"28",0.612903225806452,0.76,0.274,31,"EFS"
"29",0.149253731343284,0.8,0.338,134,"RFE"
"30",0.213483146067416,0.76,0.322,89,"Vita"
"31",1,0.44,0.298,11,"binomialRF"
"32",0.866666666666667,0.52,0.29,15,"VSURF"
"33",1,0.48,0.282,12,"Boruta"
"34",0.289855072463768,0.8,0.282,69,"VarSelRF"
"35",NA,0,0.374,0,"PIMP"
"36",0.240963855421687,0.8,0.29,83,"AUCRF"
"37",0.0496760259179266,0.92,0.35,463,"Perm"
"38",0.826086956521739,0.76,0.218,23,"EFS"
"39",0.122699386503067,0.8,0.312,163,"RFE"
"40",0.172839506172839,0.56,0.3,81,"Vita"
"41",0.909090909090909,0.4,0.282,11,"binomialRF"
"42",0.75,0.6,0.268,20,"VSURF"
"43",0.785714285714286,0.44,0.304,14,"Boruta"
"44",0.318840579710145,0.88,0.27,69,"VarSelRF"
"45",NA,0,0.428,0,"PIMP"
"46",0.27710843373494,0.92,0.286,83,"AUCRF"
"47",0.0535331905781585,1,0.322,467,"Perm"
"48",0.730769230769231,0.76,0.224,26,"EFS"
"49",0.136690647482014,0.76,0.316,139,"RFE"
"50",0.228260869565217,0.84,0.286,92,"Vita"
"51",0.866666666666667,0.52,0.31,15,"binomialRF"
"52",0.785714285714286,0.44,0.342,14,"VSURF"
"53",0.833333333333333,0.6,0.29,18,"Boruta"
"54",0.5,0.88,0.294,44,"VarSelRF"
"55",NA,0,0.484,0,"PIMP"
"56",0.65625,0.84,0.288,32,"AUCRF"
"57",0.0535714285714286,0.96,0.398,448,"Perm"
"58",0.638888888888889,0.92,0.29,36,"EFS"
"59",0.156028368794326,0.88,0.344,141,"RFE"
"60",0.226190476190476,0.76,0.338,84,"Vita"
"61",0.923076923076923,0.48,0.29,13,"binomialRF"
"62",0.842105263157895,0.64,0.272,19,"VSURF"
"63",0.928571428571429,0.52,0.288,14,"Boruta"
"64",0.514285714285714,0.72,0.264,35,"VarSelRF"
"65",0,0,0.472,1,"PIMP"
"66",0.51219512195122,0.84,0.26,41,"AUCRF"
"67",0.0509554140127389,0.96,0.384,471,"Perm"
"68",0.740740740740741,0.8,0.254,27,"EFS"
"69",0.133802816901408,0.76,0.306,142,"RFE"
"70",0.256756756756757,0.76,0.268,74,"Vita"
"71",1,0.4,0.278,10,"binomialRF"
"72",0.833333333333333,0.6,0.246,18,"VSURF"
