"","Precision","Recall","TestError","ModelSize","Model"
"1",1,1,0.082,5,"binomialRF"
"2",1,1,0.08,5,"VSURF"
"3",1,1,0.078,5,"Boruta"
"4",0.833333333333333,1,0.102,6,"VarSelRF"
"5",NA,0,0.298,0,"PIMP"
"6",0.161290322580645,1,0.138,31,"AUCRF"
"7",0.0268817204301075,1,0.184,186,"Perm"
"8",1,1,0.09,5,"EFS"
"9",0.0869565217391304,0.8,0.208,46,"RFE"
"10",0.15625,1,0.146,32,"Vita"
"11",1,1,0.106,5,"binomialRF"
"12",0.833333333333333,1,0.126,6,"VSURF"
"13",0.714285714285714,1,0.118,7,"Boruta"
"14",0.555555555555556,1,0.132,9,"VarSelRF"
"15",0,0,0.45,1,"PIMP"
"16",0.208333333333333,1,0.156,24,"AUCRF"
"17",0.0289017341040462,1,0.28,173,"Perm"
"18",1,1,0.096,5,"EFS"
"19",0.0869565217391304,0.8,0.262,46,"RFE"
"20",0.102040816326531,1,0.144,49,"Vita"
"21",1,1,0.124,5,"binomialRF"
"22",1,1,0.116,5,"VSURF"
"23",0.714285714285714,1,0.126,7,"Boruta"
"24",1,1,0.12,5,"VarSelRF"
"25",NA,0,0.342,0,"PIMP"
"26",0.625,1,0.126,8,"AUCRF"
"27",0.0268817204301075,1,0.214,186,"Perm"
"28",1,1,0.118,5,"EFS"
"29",0.0833333333333333,0.8,0.216,48,"RFE"
"30",0.0833333333333333,1,0.19,60,"Vita"
"31",1,1,0.106,5,"binomialRF"
"32",1,1,0.104,5,"VSURF"
"33",0.833333333333333,1,0.108,6,"Boruta"
"34",1,1,0.11,5,"VarSelRF"
"35",NA,0,0.246,0,"PIMP"
"36",0.625,1,0.114,8,"AUCRF"
"37",0.028735632183908,1,0.158,174,"Perm"
"38",1,1,0.104,5,"EFS"
"39",0.0333333333333333,0.4,0.314,60,"RFE"
"40",0.125,1,0.126,40,"Vita"
"41",1,1,0.116,5,"binomialRF"
"42",1,1,0.12,5,"VSURF"
"43",0.833333333333333,1,0.112,6,"Boruta"
"44",0.357142857142857,1,0.132,14,"VarSelRF"
"45",NA,0,0.242,0,"PIMP"
"46",0.833333333333333,1,0.124,6,"AUCRF"
"47",0.03125,1,0.182,160,"Perm"
"48",1,1,0.116,5,"EFS"
"49",0.15625,1,0.16,32,"RFE"
"50",0.138888888888889,1,0.146,36,"Vita"
"51",1,1,0.098,5,"binomialRF"
"52",1,1,0.102,5,"VSURF"
"53",0.714285714285714,1,0.11,7,"Boruta"
"54",0.714285714285714,1,0.104,7,"VarSelRF"
"55",NA,0,0.388,0,"PIMP"
"56",0.833333333333333,1,0.11,6,"AUCRF"
"57",0.0273224043715847,1,0.206,183,"Perm"
"58",1,1,0.098,5,"EFS"
"59",0.147058823529412,1,0.158,34,"RFE"
"60",0.106382978723404,1,0.152,47,"Vita"
"61",1,1,0.124,5,"binomialRF"
"62",0.833333333333333,1,0.128,6,"VSURF"
"63",0.833333333333333,1,0.138,6,"Boruta"
"64",0.357142857142857,1,0.142,14,"VarSelRF"
"65",NA,0,0.34,0,"PIMP"
