"","Precision","Recall","TestError","ModelSize","Model"
"1",1,1,0.112,5,"binomialRF"
"2",0.714285714285714,1,0.114,7,"VSURF"
"3",0.833333333333333,1,0.104,6,"Boruta"
"4",0.357142857142857,1,0.148,14,"VarSelRF"
"5",0,0,0.364,1,"PIMP"
"6",0.0757575757575758,1,0.194,66,"AUCRF"
"7",0.0124069478908189,1,0.266,403,"Perm"
"8",0.833333333333333,1,0.108,6,"EFS"
"9",0.0531914893617021,1,0.206,94,"RFE"
"10",0.0641025641025641,1,0.168,78,"Vita"
"11",0.833333333333333,1,0.11,6,"binomialRF"
"12",1,1,0.118,5,"VSURF"
"13",0.833333333333333,1,0.106,6,"Boruta"
"14",0.357142857142857,1,0.116,14,"VarSelRF"
"15",0,0,0.21,1,"PIMP"
"16",0.333333333333333,1,0.128,15,"AUCRF"
"17",0.0125,1,0.194,400,"Perm"
"18",1,1,0.108,5,"EFS"
"19",0.0505050505050505,1,0.152,99,"RFE"
"20",0.0847457627118644,1,0.148,59,"Vita"
"21",1,1,0.098,5,"binomialRF"
"22",1,1,0.106,5,"VSURF"
"23",1,1,0.106,5,"Boruta"
"24",0.714285714285714,1,0.104,7,"VarSelRF"
"25",NA,0,0.392,0,"PIMP"
"26",0.2,1,0.11,25,"AUCRF"
"27",0.0121359223300971,1,0.236,412,"Perm"
"28",0.833333333333333,1,0.102,6,"EFS"
"29",0.0495049504950495,1,0.164,101,"RFE"
"30",0.0595238095238095,1,0.154,84,"Vita"
"31",1,1,0.124,5,"binomialRF"
"32",0.833333333333333,1,0.124,6,"VSURF"
"33",0.833333333333333,1,0.124,6,"Boruta"
"34",1,1,0.134,5,"VarSelRF"
"35",0,0,0.52,2,"PIMP"
"36",0.0757575757575758,1,0.176,66,"AUCRF"
"37",0.0126903553299492,1,0.208,394,"Perm"
"38",0.833333333333333,1,0.13,6,"EFS"
"39",0.0520833333333333,1,0.186,96,"RFE"
"40",0.0632911392405063,1,0.162,79,"Vita"
"41",1,1,0.132,5,"binomialRF"
"42",0.714285714285714,1,0.138,7,"VSURF"
"43",0.833333333333333,1,0.136,6,"Boruta"
"44",0.555555555555556,1,0.144,9,"VarSelRF"
"45",0,0,0.52,4,"PIMP"
"46",0.121951219512195,1,0.194,41,"AUCRF"
"47",0.0124378109452736,1,0.286,402,"Perm"
"48",1,1,0.122,5,"EFS"
"49",0.0505050505050505,1,0.224,99,"RFE"
"50",0.0641025641025641,1,0.212,78,"Vita"
"51",1,1,0.118,5,"binomialRF"
"52",1,1,0.114,5,"VSURF"
"53",1,1,0.124,5,"Boruta"
"54",0.714285714285714,1,0.126,7,"VarSelRF"
"55",NA,0,0.246,0,"PIMP"
"56",0.0757575757575758,1,0.188,66,"AUCRF"
"57",0.0125,1,0.17,400,"Perm"
"58",1,1,0.122,5,"EFS"
"59",0.0520833333333333,1,0.188,96,"RFE"
"60",0.0675675675675676,1,0.178,74,"Vita"
"61",1,1,0.11,5,"binomialRF"
"62",1,1,0.106,5,"VSURF"
"63",0.625,1,0.118,8,"Boruta"
"64",1,1,0.11,5,"VarSelRF"
"65",0,0,0.412,1,"PIMP"
"66",0.333333333333333,1,0.12,15,"AUCRF"
"67",0.0123762376237624,1,0.25,404,"Perm"
"68",1,1,0.116,5,"EFS"
"69",0.0555555555555556,1,0.186,90,"RFE"
"70",0.0694444444444444,1,0.17,72,"Vita"
"71",1,1,0.112,5,"binomialRF"
"72",1,1,0.114,5,"VSURF"
"73",1,1,0.112,5,"Boruta"
"74",0.714285714285714,1,0.12,7,"VarSelRF"
"75",NA,0,0.418,0,"PIMP"
"76",0.0961538461538462,1,0.188,52,"AUCRF"
"77",0.0120772946859903,1,0.264,414,"Perm"
"78",1,1,0.114,5,"EFS"
"79",0.0471698113207547,1,0.202,106,"RFE"
"80",0.0684931506849315,1,0.202,73,"Vita"
"81",1,1,0.12,5,"binomialRF"
"82",1,1,0.124,5,"VSURF"
"83",0.714285714285714,1,0.126,7,"Boruta"
"84",1,1,0.128,5,"VarSelRF"
"85",NA,0,0.486,0,"PIMP"
"86",0.0757575757575758,1,0.186,66,"AUCRF"
"87",0.0119047619047619,1,0.338,420,"Perm"
"88",0.833333333333333,1,0.12,6,"EFS"
"89",0.037037037037037,0.8,0.308,108,"RFE"
"90",0.0684931506849315,1,0.21,73,"Vita"
"91",1,1,0.15,5,"binomialRF"
"92",1,1,0.146,5,"VSURF"
"93",0.833333333333333,1,0.146,6,"Boruta"
"94",1,1,0.15,5,"VarSelRF"
"95",NA,0,0.37,0,"PIMP"
"96",0.0961538461538462,1,0.164,52,"AUCRF"
"97",0.0125628140703518,1,0.238,398,"Perm"
"98",1,1,0.146,5,"EFS"
"99",0.0515463917525773,1,0.192,97,"RFE"
"100",0.0649350649350649,1,0.172,77,"Vita"
"101",1,1,0.124,5,"binomialRF"
"102",0.714285714285714,1,0.138,7,"VSURF"
"103",1,1,0.124,5,"Boruta"
"104",0.714285714285714,1,0.138,7,"VarSelRF"
"105",NA,0,0.354,0,"PIMP"
"106",0.625,1,0.126,8,"AUCRF"
"107",0.011441647597254,1,0.234,437,"Perm"
"108",1,1,0.122,5,"EFS"
"109",0.0217391304347826,0.6,0.312,138,"RFE"
"110",0.0595238095238095,1,0.166,84,"Vita"
"111",1,1,0.082,5,"binomialRF"
"112",1,1,0.084,5,"VSURF"
"113",0.714285714285714,1,0.1,7,"Boruta"
"114",1,1,0.092,5,"VarSelRF"
"115",NA,0,0.434,0,"PIMP"
"116",0.263157894736842,1,0.114,19,"AUCRF"
"117",0.0125628140703518,1,0.254,398,"Perm"
"118",1,1,0.084,5,"EFS"
"119",0.031496062992126,0.8,0.272,127,"RFE"
"120",0.0561797752808989,1,0.176,89,"Vita"
"121",1,1,0.112,5,"binomialRF"
"122",0.833333333333333,1,0.116,6,"VSURF"
"123",0.714285714285714,1,0.112,7,"Boruta"
"124",1,1,0.132,5,"VarSelRF"
"125",NA,0,0.338,0,"PIMP"
"126",0.0961538461538462,1,0.146,52,"AUCRF"
"127",0.0124378109452736,1,0.19,402,"Perm"
"128",1,1,0.114,5,"EFS"
"129",0.0510204081632653,1,0.158,98,"RFE"
"130",0.0649350649350649,1,0.144,77,"Vita"
"131",1,1,0.118,5,"binomialRF"
"132",1,1,0.116,5,"VSURF"
"133",0.833333333333333,1,0.138,6,"Boruta"
"134",0.357142857142857,1,0.122,14,"VarSelRF"
"135",NA,0,0.252,0,"PIMP"
"136",0.0480769230769231,1,0.154,104,"AUCRF"
"137",0.0121951219512195,1,0.186,410,"Perm"
"138",1,1,0.12,5,"EFS"
"139",0.0480769230769231,1,0.158,104,"RFE"
"140",0.0617283950617284,1,0.146,81,"Vita"
"141",1,1,0.116,5,"binomialRF"
"142",1,1,0.116,5,"VSURF"
"143",1,1,0.112,5,"Boruta"
"144",0.833333333333333,1,0.114,6,"VarSelRF"
"145",0,0,0.518,3,"PIMP"
"146",0.2,1,0.172,25,"AUCRF"
"147",0.0119617224880383,1,0.252,418,"Perm"
"148",1,1,0.116,5,"EFS"
"149",0.03125,0.8,0.268,128,"RFE"
"150",0.0602409638554217,1,0.192,83,"Vita"
"151",1,1,0.09,5,"binomialRF"
"152",1,1,0.094,5,"VSURF"
"153",0.833333333333333,1,0.09,6,"Boruta"
"154",0.833333333333333,1,0.084,6,"VarSelRF"
"155",0,0,0.474,1,"PIMP"
"156",0.333333333333333,1,0.126,15,"AUCRF"
"157",0.0116009280742459,1,0.316,431,"Perm"
"158",1,1,0.094,5,"EFS"
"159",0.0458715596330275,1,0.202,109,"RFE"
"160",0.072463768115942,1,0.2,69,"Vita"
"161",1,1,0.12,5,"binomialRF"
"162",1,1,0.116,5,"VSURF"
"163",0.833333333333333,1,0.126,6,"Boruta"
"164",0.833333333333333,1,0.134,6,"VarSelRF"
"165",0,0,0.362,1,"PIMP"
"166",0.833333333333333,1,0.13,6,"AUCRF"
"167",0.0117096018735363,1,0.222,427,"Perm"
"168",0.833333333333333,1,0.108,6,"EFS"
"169",0.0341880341880342,0.8,0.23,117,"RFE"
"170",0.0625,1,0.184,80,"Vita"
"171",1,1,0.108,5,"binomialRF"
"172",1,1,0.13,5,"VSURF"
"173",1,1,0.12,5,"Boruta"
"174",1,1,0.116,5,"VarSelRF"
"175",NA,0,0.472,0,"PIMP"
"176",0.0961538461538462,1,0.18,52,"AUCRF"
"177",0.0113636363636364,1,0.352,440,"Perm"
"178",1,1,0.118,5,"EFS"
"179",0.0220588235294118,0.6,0.358,136,"RFE"
"180",0.0609756097560976,1,0.2,82,"Vita"
"181",1,1,0.122,5,"binomialRF"
"182",0.833333333333333,1,0.12,6,"VSURF"
"183",0.625,1,0.13,8,"Boruta"
"184",1,1,0.11,5,"VarSelRF"
"185",NA,0,0.228,0,"PIMP"
"186",0.2,1,0.152,25,"AUCRF"
"187",0.0118764845605701,1,0.214,421,"Perm"
"188",1,1,0.122,5,"EFS"
"189",0.05,1,0.16,100,"RFE"
"190",0.0549450549450549,1,0.162,91,"Vita"
"191",1,1,0.08,5,"binomialRF"
"192",0.625,1,0.096,8,"VSURF"
"193",0.714285714285714,1,0.086,7,"Boruta"
"194",0.227272727272727,1,0.104,22,"VarSelRF"
"195",NA,0,0.254,0,"PIMP"
"196",0.263157894736842,1,0.11,19,"AUCRF"
"197",0.0114678899082569,1,0.198,436,"Perm"
"198",1,1,0.082,5,"EFS"
"199",0.0350877192982456,0.8,0.23,114,"RFE"
"200",0.0714285714285714,1,0.114,70,"Vita"
"201",1,1,0.128,5,"binomialRF"
"202",1,1,0.124,5,"VSURF"
"203",1,1,0.128,5,"Boruta"
"204",1,1,0.128,5,"VarSelRF"
"205",NA,0,0.444,0,"PIMP"
"206",0.2,1,0.168,25,"AUCRF"
"207",0.0116279069767442,1,0.31,430,"Perm"
"208",0.833333333333333,1,0.112,6,"EFS"
"209",0.0232558139534884,0.6,0.338,129,"RFE"
"210",0.0531914893617021,1,0.218,94,"Vita"
"211",1,1,0.122,5,"binomialRF"
"212",1,1,0.126,5,"VSURF"
"213",1,1,0.124,5,"Boruta"
"214",1,1,0.124,5,"VarSelRF"
"215",0,0,0.426,1,"PIMP"
"216",0.333333333333333,1,0.156,15,"AUCRF"
"217",0.0123152709359606,1,0.284,406,"Perm"
"218",1,1,0.13,5,"EFS"
"219",0.0526315789473684,1,0.194,95,"RFE"
"220",0.0714285714285714,1,0.192,70,"Vita"
"221",1,1,0.124,5,"binomialRF"
"222",0.416666666666667,1,0.152,12,"VSURF"
"223",0.833333333333333,1,0.126,6,"Boruta"
"224",0.227272727272727,1,0.14,22,"VarSelRF"
"225",NA,0,0.344,0,"PIMP"
"226",0.15625,1,0.14,32,"AUCRF"
"227",0.0119617224880383,1,0.226,418,"Perm"
"228",1,1,0.13,5,"EFS"
"229",0.0254237288135593,0.6,0.3,118,"RFE"
"230",0.0714285714285714,1,0.18,70,"Vita"
"231",0.833333333333333,1,0.098,6,"binomialRF"
"232",0.625,1,0.116,8,"VSURF"
"233",0.714285714285714,1,0.114,7,"Boruta"
"234",0.227272727272727,1,0.146,22,"VarSelRF"
"235",NA,0,0.266,0,"PIMP"
"236",0.121951219512195,1,0.14,41,"AUCRF"
"237",0.0123456790123457,1,0.192,405,"Perm"
"238",1,1,0.102,5,"EFS"
"239",0.0256410256410256,0.6,0.266,117,"RFE"
"240",0.0735294117647059,1,0.156,68,"Vita"
"241",1,1,0.096,5,"binomialRF"
"242",1,1,0.098,5,"VSURF"
"243",0.833333333333333,1,0.114,6,"Boruta"
"244",0.454545454545455,1,0.104,11,"VarSelRF"
"245",0,0,0.512,3,"PIMP"
"246",0.2,1,0.14,25,"AUCRF"
"247",0.0119047619047619,1,0.248,420,"Perm"
"248",1,1,0.104,5,"EFS"
"249",0.0347826086956522,0.8,0.214,115,"RFE"
"250",0.0675675675675676,1,0.184,74,"Vita"
"251",1,1,0.09,5,"binomialRF"
"252",1,1,0.09,5,"VSURF"
"253",0.833333333333333,1,0.092,6,"Boruta"
"254",0.227272727272727,1,0.132,22,"VarSelRF"
"255",0,0,0.464,2,"PIMP"
"256",0.833333333333333,1,0.094,6,"AUCRF"
"257",0.0120481927710843,1,0.176,415,"Perm"
"258",1,1,0.088,5,"EFS"
"259",0.0344827586206897,0.8,0.234,116,"RFE"
"260",0.0666666666666667,1,0.146,75,"Vita"
"261",1,1,0.156,5,"binomialRF"
"262",0.833333333333333,1,0.146,6,"VSURF"
"263",1,1,0.156,5,"Boruta"
