"","Precision","Recall","TestError","ModelSize","Model"
"1",0.8125,0.26,0.37,16,"binomialRF"
"2",0.642857142857143,0.18,0.402,14,"VSURF"
"3",0.875,0.14,0.416,8,"Boruta"
"4",0.545454545454545,0.48,0.324,44,"VarSelRF"
"5",NA,0,0.426,0,"PIMP"
"6",0.36144578313253,0.6,0.342,83,"AUCRF"
"7",0.0866807610993657,0.82,0.356,473,"Perm"
"8",0.88,0.44,0.324,25,"EFS"
"9",0.186440677966102,0.66,0.366,177,"RFE"
"10",0.297619047619048,0.5,0.338,84,"Vita"
"11",1,0.22,0.368,11,"binomialRF"
"12",0.857142857142857,0.36,0.32,21,"VSURF"
"13",1,0.14,0.408,7,"Boruta"
"14",0.628571428571429,0.44,0.292,35,"VarSelRF"
"15",NA,0,0.44,0,"PIMP"
"16",0.634146341463415,0.52,0.31,41,"AUCRF"
"17",0.092511013215859,0.84,0.372,454,"Perm"
"18",0.68,0.68,0.278,50,"EFS"
"19",0.214285714285714,0.66,0.37,154,"RFE"
"20",0.296703296703297,0.54,0.31,91,"Vita"
"21",0.8,0.16,0.402,10,"binomialRF"
"22",0.6875,0.22,0.376,16,"VSURF"
"23",0.818181818181818,0.18,0.356,11,"Boruta"
"24",0.472727272727273,0.52,0.358,55,"VarSelRF"
"25",NA,0,0.402,0,"PIMP"
"26",0.274809160305344,0.72,0.328,131,"AUCRF"
"27",0.0850622406639004,0.82,0.396,482,"Perm"
"28",0.613636363636364,0.54,0.338,44,"EFS"
"29",0.197368421052632,0.6,0.326,152,"RFE"
"30",0.308641975308642,0.5,0.36,81,"Vita"
"31",1,0.22,0.362,11,"binomialRF"
"32",0.857142857142857,0.24,0.388,14,"VSURF"
"33",1,0.22,0.356,11,"Boruta"
"34",0.280373831775701,0.6,0.306,107,"VarSelRF"
"35",NA,0,0.422,0,"PIMP"
"36",0.409638554216867,0.68,0.3,83,"AUCRF"
"37",0.0949367088607595,0.9,0.35,474,"Perm"
"38",0.685714285714286,0.48,0.322,35,"EFS"
"39",0.245033112582781,0.74,0.33,151,"RFE"
"40",0.333333333333333,0.54,0.332,81,"Vita"
"41",0.888888888888889,0.16,0.422,9,"binomialRF"
"42",0.888888888888889,0.16,0.394,9,"VSURF"
"43",0.857142857142857,0.12,0.44,7,"Boruta"
"44",0.454545454545455,0.5,0.344,55,"VarSelRF"
"45",NA,0,0.464,0,"PIMP"
"46",0.439393939393939,0.58,0.362,66,"AUCRF"
"47",0.0890269151138716,0.86,0.41,483,"Perm"
"48",0.814814814814815,0.44,0.352,27,"EFS"
"49",0.144578313253012,0.48,0.43,166,"RFE"
"50",0.278481012658228,0.44,0.392,79,"Vita"
"51",0.846153846153846,0.22,0.376,13,"binomialRF"
"52",0.9,0.18,0.388,10,"VSURF"
"53",0.75,0.12,0.386,8,"Boruta"
"54",0.678571428571429,0.38,0.338,28,"VarSelRF"
"55",NA,0,0.404,0,"PIMP"
"56",0.373493975903614,0.62,0.31,83,"AUCRF"
"57",0.0915032679738562,0.84,0.374,459,"Perm"
"58",0.692307692307692,0.54,0.292,39,"EFS"
"59",0.2,0.64,0.354,160,"RFE"
"60",0.307692307692308,0.56,0.338,91,"Vita"
