"","Precision","Recall","TestError","ModelSize","Model"
"1","0.642857142857143","0.036","0.46","14","binomialRF"
"2","0.8","0.048","0.41","15","VSURF"
"3","0.4","0.008","0.502","5","Boruta"
"4","0.467289719626168","0.2","0.418","107","VarSelRF"
"5","0.5","0.004","0.516","2","PIMP"
"6","0.4","0.264","0.4","165","AUCRF"
"7","0.278350515463918","0.54","0.426","485","Perm"
"8","0.61038961038961","0.188","0.398","77","EFS"
"9","0.48314606741573","0.344","0.41","178","RFE"
"10","0.548780487804878","0.18","0.368","82","Vita"
"11","0.777777777777778","0.056","0.452","18","binomialRF"
"12","0.684210526315789","0.052","0.432","19","VSURF"
"13","0.666666666666667","0.016","0.474","6","Boruta"
"14","0.490909090909091","0.108","0.406","55","VarSelRF"
"15","NaN","0","0.462","0","PIMP"
"16","0.435114503816794","0.228","0.398","131","AUCRF"
"17","0.285412262156448","0.54","0.414","473","Perm"
"18","0.724137931034483","0.168","0.406","58","EFS"
"19","0.469512195121951","0.308","0.404","164","RFE"
"20","0.425742574257426","0.172","0.41","101","Vita"
"21","0.733333333333333","0.044","0.45","15","binomialRF"
"22","0.692307692307692","0.036","0.47","13","VSURF"
"23","0.75","0.012","0.494","4","Boruta"
"24","0.546511627906977","0.188","0.432","86","VarSelRF"
"25","1","0.008","0.54","2","PIMP"
"26","0.55421686746988","0.184","0.432","83","AUCRF"
"27","0.303030303030303","0.56","0.422","462","Perm"
"28","0.740740740740741","0.16","0.388","54","EFS"
"29","0.448484848484848","0.296","0.418","165","RFE"
"30","0.528735632183908","0.184","0.434","87","Vita"
"31","0.533333333333333","0.032","0.45","15","binomialRF"
"32","0.8","0.048","0.478","15","VSURF"
"33","0.6","0.012","0.486","5","Boruta"
"34","0.509090909090909","0.112","0.452","55","VarSelRF"
"35","1","0.004","0.466","1","PIMP"
"36","0.542168674698795","0.18","0.414","83","AUCRF"
"37","0.309917355371901","0.6","0.434","484","Perm"
"38","0.675675675675676","0.2","0.416","74","EFS"
"39","0.478260869565217","0.308","0.434","161","RFE"
