"","Precision","Recall","TestError","ModelSize","Model"
"1",1,1,0.114,5,"binomialRF"
"2",1,1,0.11,5,"VSURF"
"3",0.833333333333333,1,0.126,6,"Boruta"
"4",0.357142857142857,1,0.14,14,"VarSelRF"
"5",NA,0,0.19,0,"PIMP"
"6",0.454545454545455,1,0.118,11,"AUCRF"
"7",0.5,1,0.114,10,"Perm"
"8",1,1,0.112,5,"EFS"
"9",0.8,0.8,0.18,5,"RFE"
"10",0.454545454545455,1,0.132,11,"Vita"
"11",1,1,0.11,5,"binomialRF"
"12",1,1,0.114,5,"VSURF"
"13",0.833333333333333,1,0.108,6,"Boruta"
"14",0.833333333333333,1,0.112,6,"VarSelRF"
"15",0,0,0.188,1,"PIMP"
"16",0.625,1,0.122,8,"AUCRF"
"17",0.357142857142857,1,0.142,14,"Perm"
"18",1,1,0.1,5,"EFS"
"19",1,0.8,0.176,4,"RFE"
"20",0.333333333333333,1,0.132,15,"Vita"
"21",1,1,0.102,5,"binomialRF"
"22",0.833333333333333,1,0.124,6,"VSURF"
"23",0.833333333333333,1,0.114,6,"Boruta"
"24",0.833333333333333,1,0.11,6,"VarSelRF"
"25",NA,0,0.158,0,"PIMP"
"26",0.454545454545455,1,0.136,11,"AUCRF"
"27",0.454545454545455,1,0.118,11,"Perm"
"28",1,1,0.116,5,"EFS"
"29",1,1,0.114,5,"RFE"
"30",0.263157894736842,1,0.148,19,"Vita"
"31",1,1,0.11,5,"binomialRF"
"32",1,1,0.104,5,"VSURF"
"33",0.833333333333333,1,0.096,6,"Boruta"
"34",0.357142857142857,1,0.106,14,"VarSelRF"
"35",NA,0,0.17,0,"PIMP"
"36",0.625,1,0.124,8,"AUCRF"
"37",0.416666666666667,1,0.116,12,"Perm"
"38",1,1,0.106,5,"EFS"
"39",1,1,0.106,5,"RFE"
"40",0.714285714285714,1,0.108,7,"Vita"
"41",1,1,0.12,5,"binomialRF"
"42",1,1,0.13,5,"VSURF"
"43",1,1,0.14,5,"Boruta"
"44",1,1,0.13,5,"VarSelRF"
"45",1,0.2,0.166,1,"PIMP"
"46",0.333333333333333,1,0.146,15,"AUCRF"
"47",0.333333333333333,1,0.134,15,"Perm"
"48",1,1,0.128,5,"EFS"
"49",1,1,0.124,5,"RFE"
"50",0.555555555555556,1,0.128,9,"Vita"
"51",1,1,0.092,5,"binomialRF"
"52",1,1,0.096,5,"VSURF"
"53",1,1,0.096,5,"Boruta"
"54",0.833333333333333,1,0.1,6,"VarSelRF"
"55",0,0,0.164,1,"PIMP"
"56",0.333333333333333,1,0.114,15,"AUCRF"
"57",0.416666666666667,1,0.126,12,"Perm"
"58",1,1,0.094,5,"EFS"
"59",1,1,0.094,5,"RFE"
"60",0.454545454545455,1,0.11,11,"Vita"
"61",1,1,0.15,5,"binomialRF"
"62",1,1,0.146,5,"VSURF"
"63",1,1,0.148,5,"Boruta"
"64",0.833333333333333,1,0.148,6,"VarSelRF"
"65",NA,0,0.226,0,"PIMP"
"66",0.833333333333333,1,0.136,6,"AUCRF"
"67",0.357142857142857,1,0.156,14,"Perm"
"68",1,1,0.136,5,"EFS"
"69",1,1,0.146,5,"RFE"
"70",0.454545454545455,1,0.162,11,"Vita"
"71",1,1,0.102,5,"binomialRF"
"72",1,1,0.106,5,"VSURF"
"73",1,1,0.102,5,"Boruta"
"74",1,1,0.098,5,"VarSelRF"
"75",NA,0,0.182,0,"PIMP"
"76",0.263157894736842,1,0.114,19,"AUCRF"
"77",0.416666666666667,1,0.114,12,"Perm"
"78",1,1,0.106,5,"EFS"
"79",0.4,0.4,0.306,5,"RFE"
"80",0.5,1,0.114,10,"Vita"
"81",1,1,0.122,5,"binomialRF"
"82",1,1,0.124,5,"VSURF"
"83",1,1,0.128,5,"Boruta"
"84",0.833333333333333,1,0.12,6,"VarSelRF"
"85",NA,0,0.218,0,"PIMP"
"86",0.625,1,0.132,8,"AUCRF"
"87",0.416666666666667,1,0.154,12,"Perm"
"88",1,1,0.12,5,"EFS"
"89",1,1,0.12,5,"RFE"
"90",0.555555555555556,1,0.134,9,"Vita"
"91",1,1,0.138,5,"binomialRF"
"92",1,1,0.132,5,"VSURF"
"93",1,1,0.136,5,"Boruta"
"94",0.833333333333333,1,0.124,6,"VarSelRF"
"95",NA,0,0.18,0,"PIMP"
"96",0.625,1,0.14,8,"AUCRF"
"97",0.555555555555556,1,0.138,9,"Perm"
"98",1,1,0.136,5,"EFS"
"99",1,1,0.136,5,"RFE"
"100",0.454545454545455,1,0.146,11,"Vita"
"101",1,1,0.104,5,"binomialRF"
"102",0.714285714285714,1,0.12,7,"VSURF"
"103",1,1,0.098,5,"Boruta"
"104",1,1,0.108,5,"VarSelRF"
"105",NA,0,0.222,0,"PIMP"
"106",0.833333333333333,1,0.11,6,"AUCRF"
"107",0.416666666666667,1,0.128,12,"Perm"
"108",1,1,0.108,5,"EFS"
"109",1,1,0.112,5,"RFE"
"110",0.333333333333333,1,0.122,15,"Vita"
"111",1,1,0.14,5,"binomialRF"
"112",1,1,0.144,5,"VSURF"
"113",1,1,0.148,5,"Boruta"
"114",0.833333333333333,1,0.14,6,"VarSelRF"
"115",NA,0,0.252,0,"PIMP"
"116",0.833333333333333,1,0.156,6,"AUCRF"
"117",0.357142857142857,1,0.172,14,"Perm"
"118",1,1,0.144,5,"EFS"
"119",1,1,0.148,5,"RFE"
"120",0.625,1,0.148,8,"Vita"
"121",1,1,0.126,5,"binomialRF"
"122",1,1,0.122,5,"VSURF"
"123",1,1,0.118,5,"Boruta"
"124",1,1,0.124,5,"VarSelRF"
"125",NA,0,0.194,0,"PIMP"
"126",0.833333333333333,1,0.122,6,"AUCRF"
"127",0.384615384615385,1,0.13,13,"Perm"
"128",1,1,0.12,5,"EFS"
"129",1,0.8,0.19,4,"RFE"
"130",0.384615384615385,1,0.13,13,"Vita"
"131",1,1,0.122,5,"binomialRF"
"132",1,1,0.128,5,"VSURF"
"133",1,1,0.122,5,"Boruta"
"134",1,1,0.124,5,"VarSelRF"
"135",NA,0,0.184,0,"PIMP"
"136",0.454545454545455,1,0.15,11,"AUCRF"
"137",0.416666666666667,1,0.156,12,"Perm"
"138",1,1,0.118,5,"EFS"
"139",1,1,0.122,5,"RFE"
"140",0.5,1,0.15,10,"Vita"
"141",1,1,0.126,5,"binomialRF"
"142",0.833333333333333,1,0.122,6,"VSURF"
"143",0.833333333333333,1,0.128,6,"Boruta"
"144",0.833333333333333,1,0.128,6,"VarSelRF"
"145",NA,0,0.162,0,"PIMP"
"146",0.833333333333333,1,0.128,6,"AUCRF"
"147",0.416666666666667,1,0.126,12,"Perm"
"148",1,1,0.114,5,"EFS"
"149",0.833333333333333,1,0.118,6,"RFE"
"150",0.454545454545455,1,0.136,11,"Vita"
"151",1,1,0.118,5,"binomialRF"
"152",1,1,0.116,5,"VSURF"
"153",1,1,0.116,5,"Boruta"
"154",1,1,0.122,5,"VarSelRF"
"155",1,0.2,0.182,1,"PIMP"
"156",0.625,1,0.132,8,"AUCRF"
"157",0.555555555555556,1,0.134,9,"Perm"
"158",1,1,0.118,5,"EFS"
"159",1,0.8,0.184,4,"RFE"
"160",0.5,1,0.13,10,"Vita"
"161",1,1,0.106,5,"binomialRF"
"162",1,1,0.112,5,"VSURF"
"163",1,1,0.106,5,"Boruta"
"164",1,1,0.11,5,"VarSelRF"
"165",NA,0,0.13,0,"PIMP"
"166",0.625,1,0.122,8,"AUCRF"
"167",0.454545454545455,1,0.122,11,"Perm"
"168",1,1,0.114,5,"EFS"
"169",1,0.8,0.162,4,"RFE"
"170",0.277777777777778,1,0.114,18,"Vita"
"171",1,0.8,0.194,4,"binomialRF"
"172",0.833333333333333,1,0.1,6,"VSURF"
"173",1,1,0.11,5,"Boruta"
"174",1,1,0.118,5,"VarSelRF"
"175",NA,0,0.168,0,"PIMP"
"176",0.625,1,0.106,8,"AUCRF"
"177",0.333333333333333,1,0.116,15,"Perm"
"178",1,1,0.12,5,"EFS"
"179",0.75,0.6,0.276,4,"RFE"
"180",0.5,1,0.126,10,"Vita"
"181",1,1,0.116,5,"binomialRF"
"182",0.833333333333333,1,0.116,6,"VSURF"
"183",1,1,0.116,5,"Boruta"
"184",1,1,0.116,5,"VarSelRF"
"185",NA,0,0.284,0,"PIMP"
"186",0.625,1,0.11,8,"AUCRF"
"187",0.25,1,0.138,20,"Perm"
