"","Precision","Recall","TestError","ModelSize","Model"
"1",1,0.36,0.326,9,"binomialRF"
"2",0.823529411764706,0.56,0.304,17,"VSURF"
"3",0.916666666666667,0.44,0.336,12,"Boruta"
"4",0.642857142857143,0.72,0.26,28,"VarSelRF"
"5",0,0,0.498,2,"PIMP"
"6",0.27710843373494,0.92,0.294,83,"AUCRF"
"7",0.0559284116331096,1,0.352,447,"Perm"
"8",1,0.28,0.372,7,"EFS"
"9",0.140845070422535,0.8,0.35,142,"RFE"
"10",0.212765957446809,0.8,0.318,94,"Vita"
"11",0.857142857142857,0.48,0.32,14,"binomialRF"
"12",0.846153846153846,0.44,0.33,13,"VSURF"
"13",0.866666666666667,0.52,0.288,15,"Boruta"
"14",0.6,0.84,0.244,35,"VarSelRF"
"15",0,0,0.418,1,"PIMP"
"16",0.289156626506024,0.96,0.258,83,"AUCRF"
"17",0.0544662309368192,1,0.348,459,"Perm"
"18",0.8,0.8,0.246,25,"EFS"
"19",0.131386861313869,0.72,0.32,137,"RFE"
"20",0.224489795918367,0.88,0.264,98,"Vita"
"21",0.9,0.36,0.35,10,"binomialRF"
"22",0.9375,0.6,0.282,16,"VSURF"
"23",0.833333333333333,0.4,0.336,12,"Boruta"
"24",0.232558139534884,0.8,0.296,86,"VarSelRF"
"25",NA,0,0.356,0,"PIMP"
"26",0.72,0.72,0.276,25,"AUCRF"
"27",0.0517647058823529,0.88,0.372,425,"Perm"
"28",0.933333333333333,0.56,0.28,15,"EFS"
"29",0.170542635658915,0.88,0.346,129,"RFE"
"30",0.192307692307692,0.8,0.322,104,"Vita"
"31",1,0.44,0.318,11,"binomialRF"
"32",0.882352941176471,0.6,0.268,17,"VSURF"
"33",0.888888888888889,0.32,0.348,9,"Boruta"
"34",0.542857142857143,0.76,0.264,35,"VarSelRF"
"35",0,0,0.448,1,"PIMP"
"36",0.625,0.8,0.254,32,"AUCRF"
"37",0.0547945205479452,0.96,0.396,438,"Perm"
"38",0.9,0.72,0.26,20,"EFS"
"39",0.15625,0.8,0.33,128,"RFE"
"40",0.2,0.84,0.292,105,"Vita"
"41",0.916666666666667,0.44,0.3,12,"binomialRF"
"42",0.8,0.48,0.304,15,"VSURF"
"43",0.9,0.36,0.31,10,"Boruta"
"44",0.318840579710145,0.88,0.24,69,"VarSelRF"
"45",NA,0,0.366,0,"PIMP"
"46",0.348484848484849,0.92,0.242,66,"AUCRF"
"47",0.0538116591928251,0.96,0.334,446,"Perm"
"48",0.909090909090909,0.8,0.21,22,"EFS"
"49",0.160583941605839,0.88,0.304,137,"RFE"
"50",0.22680412371134,0.88,0.262,97,"Vita"
"51",1,0.4,0.334,10,"binomialRF"
"52",0.916666666666667,0.44,0.312,12,"VSURF"
"53",0.923076923076923,0.48,0.322,13,"Boruta"
"54",0.267441860465116,0.92,0.266,86,"VarSelRF"
"55",0,0,0.35,1,"PIMP"
"56",0.16793893129771,0.88,0.314,131,"AUCRF"
"57",0.0558252427184466,0.92,0.328,412,"Perm"
"58",0.818181818181818,0.72,0.254,22,"EFS"
"59",0.189189189189189,0.84,0.312,111,"RFE"
"60",0.259259259259259,0.84,0.27,81,"Vita"
"61",0.733333333333333,0.44,0.306,15,"binomialRF"
"62",0.777777777777778,0.56,0.312,18,"VSURF"
"63",1,0.44,0.292,11,"Boruta"
"64",0.318840579710145,0.88,0.292,69,"VarSelRF"
"65",NA,0,0.478,0,"PIMP"
"66",0.27710843373494,0.92,0.296,83,"AUCRF"
"67",0.0549450549450549,1,0.358,455,"Perm"
"68",0.633333333333333,0.76,0.26,30,"EFS"
"69",0.142857142857143,0.8,0.352,140,"RFE"
"70",0.240963855421687,0.8,0.288,83,"Vita"
"71",1,0.4,0.312,10,"binomialRF"
"72",1,0.48,0.312,12,"VSURF"
"73",1,0.48,0.282,12,"Boruta"
"74",0.6,0.84,0.228,35,"VarSelRF"
"75",NA,0,0.39,0,"PIMP"
"76",0.333333333333333,0.88,0.252,66,"AUCRF"
"77",0.054421768707483,0.96,0.314,441,"Perm"
"78",0.833333333333333,0.8,0.208,24,"EFS"
"79",0.172131147540984,0.84,0.278,122,"RFE"
"80",0.230769230769231,0.84,0.27,91,"Vita"
"81",1,0.4,0.31,10,"binomialRF"
"82",0.818181818181818,0.36,0.332,11,"VSURF"
"83",1,0.44,0.26,11,"Boruta"
"84",0.214953271028037,0.92,0.252,107,"VarSelRF"
"85",0,0,0.382,1,"PIMP"
"86",0.230769230769231,0.96,0.246,104,"AUCRF"
"87",0.051948051948052,0.96,0.316,462,"Perm"
"88",0.842105263157895,0.64,0.24,19,"EFS"
"89",0.17741935483871,0.88,0.276,124,"RFE"
"90",0.22680412371134,0.88,0.26,97,"Vita"
"91",0.909090909090909,0.4,0.266,11,"binomialRF"
"92",0.857142857142857,0.48,0.29,14,"VSURF"
"93",1,0.4,0.322,10,"Boruta"
"94",0.514285714285714,0.72,0.258,35,"VarSelRF"
"95",0,0,0.502,2,"PIMP"
"96",0.560975609756098,0.92,0.228,41,"AUCRF"
"97",0.0501089324618736,0.92,0.348,459,"Perm"
"98",0.75,0.84,0.234,28,"EFS"
"99",0.127659574468085,0.72,0.322,141,"RFE"
"100",0.25,0.84,0.288,84,"Vita"
"101",0.909090909090909,0.4,0.308,11,"binomialRF"
"102",0.823529411764706,0.56,0.294,17,"VSURF"
"103",0.846153846153846,0.44,0.328,13,"Boruta"
"104",0.431818181818182,0.76,0.264,44,"VarSelRF"
"105",NA,0,0.336,0,"PIMP"
"106",0.333333333333333,0.88,0.234,66,"AUCRF"
"107",0.054421768707483,0.96,0.308,441,"Perm"
"108",0.826086956521739,0.76,0.204,23,"EFS"
"109",0.148760330578512,0.72,0.274,121,"RFE"
"110",0.247058823529412,0.84,0.248,85,"Vita"
"111",1,0.4,0.33,10,"binomialRF"
"112",0.647058823529412,0.44,0.316,17,"VSURF"
"113",1,0.44,0.29,11,"Boruta"
"114",0.363636363636364,0.8,0.268,55,"VarSelRF"
"115",NA,0,0.39,0,"PIMP"
"116",0.27710843373494,0.92,0.272,83,"AUCRF"
"117",0.0556844547563805,0.96,0.314,431,"Perm"
"118",0.933333333333333,0.56,0.276,15,"EFS"
"119",0.143884892086331,0.8,0.3,139,"RFE"
"120",0.213483146067416,0.76,0.3,89,"Vita"
"121",1,0.4,0.262,10,"binomialRF"
"122",0.933333333333333,0.56,0.252,15,"VSURF"
"123",1,0.52,0.252,13,"Boruta"
"124",0.542857142857143,0.76,0.214,35,"VarSelRF"
"125",NA,0,0.334,0,"PIMP"
"126",0.403846153846154,0.84,0.192,52,"AUCRF"
"127",0.0570071258907363,0.96,0.272,421,"Perm"
"128",0.9,0.72,0.21,20,"EFS"
"129",0.163793103448276,0.76,0.242,116,"RFE"
"130",0.240963855421687,0.8,0.234,83,"Vita"
"131",0.9375,0.6,0.274,16,"binomialRF"
"132",0.833333333333333,0.6,0.3,18,"VSURF"
"133",0.923076923076923,0.48,0.298,13,"Boruta"
"134",0.714285714285714,0.8,0.228,28,"VarSelRF"
"135",0,0,0.51,2,"PIMP"
"136",0.585365853658537,0.96,0.218,41,"AUCRF"
"137",0.0524017467248908,0.96,0.328,458,"Perm"
"138",0.774193548387097,0.96,0.218,31,"EFS"
"139",0.155038759689922,0.8,0.322,129,"RFE"
"140",0.223404255319149,0.84,0.296,94,"Vita"
"141",1,0.4,0.306,10,"binomialRF"
"142",0.923076923076923,0.48,0.296,13,"VSURF"
"143",0.833333333333333,0.4,0.31,12,"Boruta"
"144",0.818181818181818,0.72,0.232,22,"VarSelRF"
"145",NA,0,0.356,0,"PIMP"
"146",0.59375,0.76,0.244,32,"AUCRF"
"147",0.0518018018018018,0.92,0.312,444,"Perm"
"148",1,0.6,0.258,15,"EFS"
"149",0.138686131386861,0.76,0.342,137,"RFE"
"150",0.204819277108434,0.68,0.29,83,"Vita"
"151",0.9,0.36,0.336,10,"binomialRF"
"152",0.571428571428571,0.32,0.336,14,"VSURF"
"153",0.818181818181818,0.36,0.348,11,"Boruta"
"154",0.542857142857143,0.76,0.274,35,"VarSelRF"
"155",NA,0,0.418,0,"PIMP"
"156",0.175572519083969,0.92,0.288,131,"AUCRF"
"157",0.0539325842696629,0.96,0.362,445,"Perm"
"158",0.740740740740741,0.8,0.234,27,"EFS"
"159",0.140740740740741,0.76,0.32,135,"RFE"
"160",0.184466019417476,0.76,0.314,103,"Vita"
"161",0.846153846153846,0.44,0.284,13,"binomialRF"
"162",0.80952380952381,0.68,0.246,21,"VSURF"
"163",1,0.48,0.272,12,"Boruta"
"164",0.514285714285714,0.72,0.232,35,"VarSelRF"
"165",0,0,0.516,2,"PIMP"
"166",0.318181818181818,0.84,0.25,66,"AUCRF"
"167",0.0533333333333333,0.96,0.296,450,"Perm"
"168",0.703703703703704,0.76,0.234,27,"EFS"
"169",0.123188405797101,0.68,0.294,138,"RFE"
"170",0.244186046511628,0.84,0.282,86,"Vita"
"171",0.857142857142857,0.48,0.302,14,"binomialRF"
"172",0.72,0.72,0.25,25,"VSURF"
"173",0.923076923076923,0.48,0.312,13,"Boruta"
"174",0.4,0.88,0.268,55,"VarSelRF"
"175",NA,0,0.394,0,"PIMP"
"176",0.442307692307692,0.92,0.236,52,"AUCRF"
"177",0.0539325842696629,0.96,0.322,445,"Perm"
"178",0.595238095238095,1,0.224,42,"EFS"
"179",0.1796875,0.92,0.294,128,"RFE"
"180",0.211009174311927,0.92,0.296,109,"Vita"
"181",1,0.52,0.268,13,"binomialRF"
"182",0.772727272727273,0.68,0.236,22,"VSURF"
"183",1,0.56,0.264,14,"Boruta"
"184",0.255813953488372,0.88,0.266,86,"VarSelRF"
"185",NA,0,0.43,0,"PIMP"
"186",0.175572519083969,0.92,0.262,131,"AUCRF"
"187",0.0547945205479452,0.96,0.33,438,"Perm"
"188",0.714285714285714,0.8,0.23,28,"EFS"
"189",0.140625,0.72,0.346,128,"RFE"
"190",0.20952380952381,0.88,0.29,105,"Vita"
"191",0.923076923076923,0.48,0.292,13,"binomialRF"
"192",0.8,0.8,0.242,25,"VSURF"
"193",1,0.4,0.3,10,"Boruta"
"194",0.267441860465116,0.92,0.254,86,"VarSelRF"
"195",0,0,0.382,1,"PIMP"
"196",0.442307692307692,0.92,0.24,52,"AUCRF"
"197",0.0570776255707763,1,0.264,438,"Perm"
"198",0.8,0.8,0.252,25,"EFS"
"199",0.148148148148148,0.8,0.308,135,"RFE"
"200",0.235955056179775,0.84,0.254,89,"Vita"
"201",1,0.52,0.312,13,"binomialRF"
"202",0.823529411764706,0.56,0.33,17,"VSURF"
"203",0.928571428571429,0.52,0.312,14,"Boruta"
"204",0.477272727272727,0.84,0.248,44,"VarSelRF"
"205",0,0,0.518,2,"PIMP"
"206",0.192307692307692,0.8,0.31,104,"AUCRF"
"207",0.0518358531317495,0.96,0.324,463,"Perm"
"208",0.645161290322581,0.8,0.246,31,"EFS"
"209",0.165354330708661,0.84,0.256,127,"RFE"
"210",0.222222222222222,0.8,0.258,90,"Vita"
"211",1,0.6,0.238,15,"binomialRF"
"212",0.823529411764706,0.56,0.268,17,"VSURF"
"213",1,0.44,0.288,11,"Boruta"
"214",0.454545454545455,0.8,0.226,44,"VarSelRF"
"215",NA,0,0.362,0,"PIMP"
"216",0.265060240963855,0.88,0.25,83,"AUCRF"
"217",0.0529953917050691,0.92,0.282,434,"Perm"
"218",0.7,0.84,0.208,30,"EFS"
"219",0.17741935483871,0.88,0.262,124,"RFE"
"220",0.276315789473684,0.84,0.224,76,"Vita"
"221",0.733333333333333,0.44,0.326,15,"binomialRF"
"222",0.75,0.6,0.294,20,"VSURF"
"223",0.9,0.36,0.334,10,"Boruta"
"224",0.4,0.88,0.27,55,"VarSelRF"
"225",NA,0,0.382,0,"PIMP"
"226",0.348484848484849,0.92,0.262,66,"AUCRF"
"227",0.0560538116591928,1,0.31,446,"Perm"
"228",0.67741935483871,0.84,0.232,31,"EFS"
"229",0.129251700680272,0.76,0.332,147,"RFE"
"230",0.265822784810127,0.84,0.29,79,"Vita"
"231",0.909090909090909,0.4,0.316,11,"binomialRF"
"232",0.833333333333333,0.6,0.266,18,"VSURF"
"233",0.928571428571429,0.52,0.28,14,"Boruta"
"234",0.6,0.84,0.248,35,"VarSelRF"
"235",NA,0,0.504,0,"PIMP"
"236",0.27710843373494,0.92,0.29,83,"AUCRF"
"237",0.0518018018018018,0.92,0.418,444,"Perm"
"238",0.807692307692308,0.84,0.214,26,"EFS"
"239",0.152777777777778,0.88,0.364,144,"RFE"
"240",0.21,0.84,0.32,100,"Vita"
"241",0.9,0.36,0.33,10,"binomialRF"
"242",0.75,0.48,0.294,16,"VSURF"
"243",1,0.32,0.318,8,"Boruta"
"244",0.681818181818182,0.6,0.266,22,"VarSelRF"
"245",0,0,0.458,1,"PIMP"
"246",0.48780487804878,0.8,0.25,41,"AUCRF"
"247",0.0559284116331096,1,0.364,447,"Perm"
"248",0.772727272727273,0.68,0.256,22,"EFS"
"249",0.152173913043478,0.84,0.306,138,"RFE"
"250",0.211111111111111,0.76,0.264,90,"Vita"
"251",0.866666666666667,0.52,0.272,15,"binomialRF"
"252",0.944444444444444,0.68,0.242,18,"VSURF"
"253",0.866666666666667,0.52,0.266,15,"Boruta"
"254",0.542857142857143,0.76,0.24,35,"VarSelRF"
"255",NA,0,0.412,0,"PIMP"
"256",0.303030303030303,0.8,0.256,66,"AUCRF"
"257",0.0553097345132743,1,0.324,452,"Perm"
"258",0.944444444444444,0.68,0.226,18,"EFS"
"259",0.152777777777778,0.88,0.304,144,"RFE"
"260",0.217821782178218,0.88,0.278,101,"Vita"
"261",1,0.44,0.314,11,"binomialRF"
"262",0.894736842105263,0.68,0.266,19,"VSURF"
"263",1,0.44,0.334,11,"Boruta"
"264",0.542857142857143,0.76,0.288,35,"VarSelRF"
"265",NA,0,0.426,0,"PIMP"
"266",0.265060240963855,0.88,0.292,83,"AUCRF"
"267",0.054421768707483,0.96,0.362,441,"Perm"
"268",0.857142857142857,0.72,0.262,21,"EFS"
"269",0.164285714285714,0.92,0.316,140,"RFE"
"270",0.210526315789474,0.8,0.318,95,"Vita"
"271",0.923076923076923,0.48,0.27,13,"binomialRF"
"272",0.904761904761905,0.76,0.208,21,"VSURF"
"273",1,0.44,0.312,11,"Boruta"
"274",0.628571428571429,0.88,0.204,35,"VarSelRF"
"275",NA,0,0.374,0,"PIMP"
"276",0.27710843373494,0.92,0.236,83,"AUCRF"
"277",0.0549199084668192,0.96,0.314,437,"Perm"
"278",0.8,0.8,0.206,25,"EFS"
"279",0.191666666666667,0.92,0.246,120,"RFE"
"280",0.216494845360825,0.84,0.262,97,"Vita"
"281",0.928571428571429,0.52,0.3,14,"binomialRF"
"282",0.916666666666667,0.44,0.316,12,"VSURF"
"283",1,0.4,0.32,10,"Boruta"
"284",0.5,0.88,0.26,44,"VarSelRF"
"285",NA,0,0.482,0,"PIMP"
"286",0.240384615384615,1,0.306,104,"AUCRF"
"287",0.0549450549450549,1,0.368,455,"Perm"
"288",0.76,0.76,0.25,25,"EFS"
"289",0.136363636363636,0.72,0.336,132,"RFE"
"290",0.24390243902439,0.8,0.31,82,"Vita"
"291",0.733333333333333,0.44,0.306,15,"binomialRF"
"292",0.875,0.56,0.28,16,"VSURF"
"293",0.733333333333333,0.44,0.29,15,"Boruta"
"294",0.607142857142857,0.68,0.276,28,"VarSelRF"
"295",0,0,0.518,3,"PIMP"
"296",0.423076923076923,0.88,0.228,52,"AUCRF"
"297",0.0562060889929742,0.96,0.344,427,"Perm"
"298",0.947368421052632,0.72,0.224,19,"EFS"
"299",0.150793650793651,0.76,0.284,126,"RFE"
"300",0.26027397260274,0.76,0.31,73,"Vita"
"301",0.888888888888889,0.32,0.322,9,"binomialRF"
"302",1,0.52,0.304,13,"VSURF"
"303",0.875,0.28,0.344,8,"Boruta"
"304",0.833333333333333,0.6,0.274,18,"VarSelRF"
"305",0,0,0.488,2,"PIMP"
"306",0.363636363636364,0.96,0.312,66,"AUCRF"
"307",0.0580046403712297,1,0.42,431,"Perm"
"308",0.826086956521739,0.76,0.266,23,"EFS"
"309",0.160583941605839,0.88,0.386,137,"RFE"
"310",0.241379310344828,0.84,0.322,87,"Vita"
"311",1,0.44,0.292,11,"binomialRF"
"312",0.882352941176471,0.6,0.276,17,"VSURF"
"313",0.916666666666667,0.44,0.302,12,"Boruta"
"314",0.418181818181818,0.92,0.258,55,"VarSelRF"
"315",NA,0,0.412,0,"PIMP"
"316",0.463414634146341,0.76,0.256,41,"AUCRF"
"317",0.051948051948052,0.96,0.314,462,"Perm"
"318",0.944444444444444,0.68,0.26,18,"EFS"
"319",0.152671755725191,0.8,0.336,131,"RFE"
"320",0.25974025974026,0.8,0.276,77,"Vita"
"321",0.923076923076923,0.48,0.286,13,"binomialRF"
"322",0.714285714285714,0.6,0.266,21,"VSURF"
"323",0.928571428571429,0.52,0.28,14,"Boruta"
"324",0.628571428571429,0.88,0.21,35,"VarSelRF"
"325",NA,0,0.354,0,"PIMP"
"326",0.363636363636364,0.96,0.242,66,"AUCRF"
"327",0.0555555555555556,1,0.274,450,"Perm"
"328",0.647058823529412,0.88,0.212,34,"EFS"
"329",0.137404580152672,0.72,0.306,131,"RFE"
"330",0.290697674418605,1,0.244,86,"Vita"
"331",0.923076923076923,0.48,0.32,13,"binomialRF"
"332",0.730769230769231,0.76,0.222,26,"VSURF"
"333",0.916666666666667,0.44,0.296,12,"Boruta"
"334",0.431818181818182,0.76,0.26,44,"VarSelRF"
"335",NA,0,0.466,0,"PIMP"
"336",0.51219512195122,0.84,0.236,41,"AUCRF"
"337",0.0511111111111111,0.92,0.346,450,"Perm"
"338",0.76,0.76,0.224,25,"EFS"
"339",0.116438356164384,0.68,0.342,146,"RFE"
"340",0.272727272727273,0.84,0.26,77,"Vita"
"341",0.875,0.56,0.296,16,"binomialRF"
"342",0.9375,0.6,0.272,16,"VSURF"
"343",0.846153846153846,0.44,0.33,13,"Boruta"
"344",0.6,0.84,0.252,35,"VarSelRF"
"345",NA,0,0.462,0,"PIMP"
"346",0.71875,0.92,0.244,32,"AUCRF"
"347",0.0551724137931034,0.96,0.366,435,"Perm"
"348",0.76,0.76,0.268,25,"EFS"
"349",0.209090909090909,0.92,0.324,110,"RFE"
"350",0.231578947368421,0.88,0.286,95,"Vita"
"351",1,0.52,0.286,13,"binomialRF"
"352",0.947368421052632,0.72,0.246,19,"VSURF"
"353",0.923076923076923,0.48,0.304,13,"Boruta"
"354",0.628571428571429,0.88,0.22,35,"VarSelRF"
"355",0,0,0.504,2,"PIMP"
"356",0.51219512195122,0.84,0.242,41,"AUCRF"
"357",0.0530973451327434,0.96,0.352,452,"Perm"
"358",0.869565217391304,0.8,0.22,23,"EFS"
"359",0.175,0.84,0.284,120,"RFE"
"360",0.252631578947368,0.96,0.254,95,"Vita"
"361",1,0.4,0.29,10,"binomialRF"
"362",0.823529411764706,0.56,0.276,17,"VSURF"
"363",1,0.32,0.32,8,"Boruta"
"364",0.244186046511628,0.84,0.238,86,"VarSelRF"
"365",0,0,0.318,1,"PIMP"
"366",0.230769230769231,0.96,0.262,104,"AUCRF"
"367",0.0526315789473684,0.96,0.308,456,"Perm"
"368",0.95,0.76,0.222,20,"EFS"
"369",0.101910828025478,0.64,0.312,157,"RFE"
"370",0.235294117647059,0.8,0.25,85,"Vita"
"371",1,0.48,0.284,12,"binomialRF"
"372",1,0.52,0.288,13,"VSURF"
"373",0.866666666666667,0.52,0.284,15,"Boruta"
"374",0.628571428571429,0.88,0.252,35,"VarSelRF"
"375",0,0,0.438,1,"PIMP"
"376",0.221153846153846,0.92,0.276,104,"AUCRF"
"377",0.0528735632183908,0.92,0.344,435,"Perm"
"378",0.807692307692308,0.84,0.196,26,"EFS"
"379",0.169354838709677,0.84,0.278,124,"RFE"
"380",0.275862068965517,0.96,0.27,87,"Vita"
"381",0.8,0.32,0.348,10,"binomialRF"
"382",0.777777777777778,0.56,0.306,18,"VSURF"
"383",0.8,0.32,0.338,10,"Boruta"
"384",0.485714285714286,0.68,0.304,35,"VarSelRF"
"385",0,0,0.45,1,"PIMP"
"386",0.346153846153846,0.72,0.314,52,"AUCRF"
"387",0.0529801324503311,0.96,0.376,453,"Perm"
"388",0.894736842105263,0.68,0.242,19,"EFS"
"389",0.143835616438356,0.84,0.362,146,"RFE"
"390",0.175824175824176,0.64,0.348,91,"Vita"
"391",0.923076923076923,0.48,0.302,13,"binomialRF"
"392",0.875,0.56,0.27,16,"VSURF"
"393",0.916666666666667,0.44,0.298,12,"Boruta"
"394",0.678571428571429,0.76,0.24,28,"VarSelRF"
"395",NA,0,0.438,0,"PIMP"
"396",0.289156626506024,0.96,0.244,83,"AUCRF"
"397",0.0569476082004556,1,0.336,439,"Perm"
"398",0.8,0.8,0.24,25,"EFS"
"399",0.142857142857143,0.8,0.3,140,"RFE"
"400",0.289156626506024,0.96,0.248,83,"Vita"
"401",0.923076923076923,0.48,0.328,13,"binomialRF"
"402",0.823529411764706,0.56,0.328,17,"VSURF"
"403",1,0.56,0.318,14,"Boruta"
"404",0.454545454545455,0.8,0.294,44,"VarSelRF"
"405",NA,0,0.442,0,"PIMP"
"406",0.71875,0.92,0.246,32,"AUCRF"
"407",0.0555555555555556,1,0.38,450,"Perm"
"408",0.842105263157895,0.64,0.286,19,"EFS"
"409",0.156716417910448,0.84,0.282,134,"RFE"
"410",0.258823529411765,0.88,0.312,85,"Vita"
"411",1,0.36,0.332,9,"binomialRF"
"412",0.9,0.36,0.332,10,"VSURF"
"413",1,0.48,0.302,12,"Boruta"
"414",0.381818181818182,0.84,0.278,55,"VarSelRF"
"415",NA,0,0.37,0,"PIMP"
"416",0.348484848484849,0.92,0.278,66,"AUCRF"
"417",0.0561797752808989,1,0.316,445,"Perm"
"418",0.833333333333333,0.6,0.278,18,"EFS"
"419",0.18018018018018,0.8,0.28,111,"RFE"
"420",0.255555555555556,0.92,0.282,90,"Vita"
"421",0.928571428571429,0.52,0.27,14,"binomialRF"
"422",0.8125,0.52,0.27,16,"VSURF"
"423",1,0.44,0.286,11,"Boruta"
"424",0.381818181818182,0.84,0.27,55,"VarSelRF"
"425",NA,0,0.438,0,"PIMP"
"426",0.289156626506024,0.96,0.232,83,"AUCRF"
"427",0.0538116591928251,0.96,0.326,446,"Perm"
"428",0.769230769230769,0.8,0.212,26,"EFS"
"429",0.169354838709677,0.84,0.296,124,"RFE"
"430",0.217391304347826,0.8,0.302,92,"Vita"
"431",1,0.4,0.332,10,"binomialRF"
"432",0.80952380952381,0.68,0.228,21,"VSURF"
"433",1,0.44,0.314,11,"Boruta"
"434",0.5,0.88,0.206,44,"VarSelRF"
"435",NA,0,0.362,0,"PIMP"
"436",0.333333333333333,0.88,0.266,66,"AUCRF"
"437",0.0553097345132743,1,0.308,452,"Perm"
"438",0.954545454545455,0.84,0.196,22,"EFS"
"439",0.164179104477612,0.88,0.276,134,"RFE"
"440",0.278481012658228,0.88,0.234,79,"Vita"
"441",0.923076923076923,0.48,0.31,13,"binomialRF"
"442",0.727272727272727,0.64,0.322,22,"VSURF"
"443",0.909090909090909,0.4,0.312,11,"Boruta"
"444",0.514285714285714,0.72,0.282,35,"VarSelRF"
"445",0,0,0.41,1,"PIMP"
"446",0.211538461538462,0.88,0.318,104,"AUCRF"
"447",0.0566037735849057,0.96,0.352,424,"Perm"
"448",0.709677419354839,0.88,0.238,31,"EFS"
"449",0.155038759689922,0.8,0.322,129,"RFE"
"450",0.2,0.88,0.31,110,"Vita"
"451",0.916666666666667,0.44,0.288,12,"binomialRF"
"452",0.863636363636364,0.76,0.21,22,"VSURF"
"453",0.928571428571429,0.52,0.282,14,"Boruta"
"454",0.6,0.84,0.206,35,"VarSelRF"
"455",0,0,0.518,3,"PIMP"
"456",0.333333333333333,0.88,0.22,66,"AUCRF"
"457",0.0585480093676815,1,0.302,427,"Perm"
"458",0.869565217391304,0.8,0.186,23,"EFS"
"459",0.172131147540984,0.84,0.262,122,"RFE"
"460",0.255555555555556,0.92,0.22,90,"Vita"
"461",0.818181818181818,0.36,0.342,11,"binomialRF"
"462",0.733333333333333,0.44,0.334,15,"VSURF"
"463",0.909090909090909,0.4,0.342,11,"Boruta"
"464",0.289855072463768,0.8,0.312,69,"VarSelRF"
"465",NA,0,0.484,0,"PIMP"
"466",0.211538461538462,0.88,0.336,104,"AUCRF"
"467",0.0507726269315673,0.92,0.396,453,"Perm"
