"","user.self","sys.self","elapsed","user.child","sys.child","Model"
"binom.rf.time","0.0779999999999998","0.00700000000000001","0.170999999999999","0","0","BinomialRF"
"boruta.time","2.764","0.114","3.35","0","0","Boruta"
"vsurf.time","1.129","0.338","51.443","0.01","0.014","VSURF"
"varselrf.time","2.263","0.022","4.36199999999999","0","0","VarSelRF"
"pimp.time","0.0120000000000005","0.021","10.017","7.6","0.41","PIMP"
"aucrf.time","0.41","0.027","0.790999999999997","0","0","AUCRF"
"efs.time","6.308","0.16","8.804","0","0","EFS"
"rfe.time","0.115000000000002","0.00800000000000001","0.168000000000006","0","0","RFE"
"vita.time","0.294","0.0239999999999999","0.527000000000001","0","0","Vita"
"perm.time","0.0850000000000009","0.002","0.134","0","0","Perm"
"binom.rf.time1","0.0800000000000001","0.00700000000000001","0.218","0","0","BinomialRF"
"boruta.time1","1.179","0.047","0.725999999999999","0","0","Boruta"
"vsurf.time1","1.107","0.339","49.555","0.011","0.015","VSURF"
"varselrf.time1","2.144","0.023","4.081","0","0","VarSelRF"
"pimp.time1","0.0129999999999999","0.0229999999999999","13.688","7.672","0.45","PIMP"
"aucrf.time1","0.419","0.029","0.725000000000009","0","0","AUCRF"
"efs.time1","5.973","0.158","8.538","0","0","EFS"
"rfe.time1","0.113000000000003","0.00600000000000001","0.158000000000001","0","0","RFE"
"vita.time1","0.274","0.02","0.919000000000011","0","0","Vita"
"perm.time1","0.0899999999999999","0.005","0.176000000000002","0","0","Perm"
"binom.rf.time2","0.0780000000000003","0.00600000000000001","0.222","0","0","BinomialRF"
"boruta.time2","6.858","0.339","7.229","0","0","Boruta"
"vsurf.time2","1.108","0.338","50.399","0.011","0.016","VSURF"
"varselrf.time2","2.246","0.024","4.523","0","0","VarSelRF"
"pimp.time2","0.011000000000001","0.0209999999999999","8.75700000000001","7.627","0.404","PIMP"
"aucrf.time2","0.390000000000001","0.02","0.72999999999999","0","0","AUCRF"
"efs.time2","6.082","0.162","8.29100000000001","0","0","EFS"
"rfe.time2","0.109000000000002","0.00600000000000023","0.152999999999992","0","0","RFE"
"vita.time2","0.279","0.0189999999999999","0.316000000000003","0","0","Vita"
"perm.time2","0.0869999999999997","0.002","0.138000000000005","0","0","Perm"
"binom.rf.time3","0.077","0.005","0.16","0","0","BinomialRF"
"boruta.time3","1.158","0.048","1.094","0","0","Boruta"
"vsurf.time3","1.119","0.34","50.612","0.01","0.013","VSURF"
"varselrf.time3","2.205","0.021","4.18900000000001","0","0","VarSelRF"
"pimp.time3","0.0140000000000002","0.024","12.648","7.568","0.44","PIMP"
"aucrf.time3","0.443","0.033","0.777000000000001","0","0","AUCRF"
"efs.time3","6.182","0.16","8.72500000000001","0","0","EFS"
"rfe.time3","0.113","0.00700000000000001","0.150000000000006","0","0","RFE"
"vita.time3","0.286","0.022","0.819000000000003","0","0","Vita"
"perm.time3","0.0849999999999991","0.003","0.143000000000001","0","0","Perm"
"binom.rf.time4","0.0309999999999988","0.00100000000000011","0.0490000000000066","0","0","BinomialRF"
"boruta.time4","6.7","0.375","3.87299999999999","0","0","Boruta"
"vsurf.time4","5.175","0.371","52.06","0.00999999999999979","0.012","VSURF"
"varselrf.time4","2.06","0.0089999999999999","2.791","0","0","VarSelRF"
"pimp.time4","0.0109999999999992","0.0179999999999998","6.69299999999998","7.682","0.496","PIMP"
"aucrf.time4","0.227000000000004","0.0169999999999999","0.372000000000014","0","0","AUCRF"
"efs.time4","5.891","0.158","11.57","0","0","EFS"
"rfe.time4","0.107999999999997","0.00499999999999989","0.304000000000002","0","0","RFE"
"vita.time4","0.273","0.0209999999999999","0.769000000000005","0","0","Vita"
"perm.time4","0.0870000000000033","0.00299999999999989","0.111999999999995","0","0","Perm"
"binom.rf.time5","0.0350000000000001","0.001","0.0660000000000025","0","0","BinomialRF"
"boruta.time5","1.637","0.0630000000000002","0.733000000000004","0","0","Boruta"
"vsurf.time5","4.43","0.306","48.952","0.00999999999999979","0.014","VSURF"
"varselrf.time5","2.188","0.0229999999999999","5.44399999999999","0","0","VarSelRF"
"pimp.time5","0.00900000000000034","0.0110000000000001","7.64400000000001","5.735","0.35","PIMP"
"aucrf.time5","0.233000000000001","0.0169999999999999","0.324000000000012","0","0","AUCRF"
"efs.time5","6.04","0.156","10.694","0","0","EFS"
"rfe.time5","0.115000000000002","0.00500000000000012","0.313000000000017","0","0","RFE"
"vita.time5","0.291","0.028","1.15000000000001","0","0","Vita"
"perm.time5","0.0850000000000009","0.00300000000000011","0.10499999999999","0","0","Perm"
"binom.rf.time6","0.0330000000000013","0.00099999999999989","0.0599999999999881","0","0","BinomialRF"
"boruta.time6","3.059","0.126","1.774","0","0","Boruta"
"vsurf.time6","0.989000000000001","0.03","38.528","0.0110000000000001","0.014","VSURF"
"varselrf.time6","2.226","0.0219999999999998","8.52100000000002","0","0","VarSelRF"
"pimp.time6","0.00900000000000034","0.00800000000000001","6.148","5.715","0.315","PIMP"
"aucrf.time6","0.253","0.0209999999999999","0.989000000000004","0","0","AUCRF"
"efs.time6","6.152","0.165","10.329","0","0","EFS"
"rfe.time6","0.115000000000002","0.00600000000000001","0.169999999999987","0","0","RFE"
"vita.time6","0.308","0.0269999999999999","0.525999999999982","0","0","Vita"
"perm.time6","0.0889999999999986","0.004","0.254999999999995","0","0","Perm"
"binom.rf.time7","0.032","0.00100000000000011","0.102000000000004","0","0","BinomialRF"
"boruta.time7","0.864000000000001","0.0389999999999999","0.418000000000006","0","0","Boruta"
"vsurf.time7","0.968","0.03","37.178","0.00999999999999979","0.013","VSURF"
"varselrf.time7","2.171","0.0220000000000002","6.708","0","0","VarSelRF"
"pimp.time7","0.00799999999999912","0.00700000000000012","7.334","5.709","0.323","PIMP"
"aucrf.time7","0.238000000000003","0.02","0.944999999999993","0","0","AUCRF"
"efs.time7","5.878","0.17","11.517","0","0","EFS"
"rfe.time7","0.106999999999999","0.004","0.139999999999986","0","0","RFE"
"vita.time7","0.292999999999999","0.026","0.725999999999999","0","0","Vita"
"perm.time7","0.0899999999999999","0.004","0.353000000000009","0","0","Perm"
"binom.rf.time8","0.0310000000000024","0.00100000000000011","0.0409999999999968","0","0","BinomialRF"
"boruta.time8","7.264","0.31","3.267","0","0","Boruta"
"vsurf.time8","5.34","0.35","46.881","0.0109999999999992","0.013","VSURF"
"varselrf.time8","2.189","0.00700000000000012","3.14099999999999","0","0","VarSelRF"
"pimp.time8","0.00799999999999557","0.00700000000000012","5.40700000000001","3.812","0.239","PIMP"
"aucrf.time8","0.247","0.0169999999999999","0.293000000000006","0","0","AUCRF"
"efs.time8","6.256","0.154","9.25","0","0","EFS"
"rfe.time8","0.114000000000004","0.00499999999999989","0.300000000000011","0","0","RFE"
"vita.time8","0.298999999999999","0.024","0.707999999999998","0","0","Vita"
"perm.time8","0.088000000000001","0.00300000000000011","0.105000000000018","0","0","Perm"
"binom.rf.time9","0.0330000000000013","0.00100000000000011","0.346000000000004","0","0","BinomialRF"
"boruta.time9","1.442","0.036","0.643000000000001","0","0","Boruta"
"vsurf.time9","0.983999999999995","0.0289999999999999","33.982","0.00999999999999979","0.014","VSURF"
"varselrf.time9","2.164","0.0149999999999999","6.12299999999999","0","0","VarSelRF"
"pimp.time9","0.00900000000000034","0.0180000000000002","5.75800000000001","7.582","0.405","PIMP"
"aucrf.time9","0.247999999999998","0.0169999999999999","0.780000000000001","0","0","AUCRF"
"efs.time9","6.492","0.142","10.873","0","0","EFS"
"rfe.time9","0.116","0.00599999999999978","0.22999999999999","0","0","RFE"
"vita.time9","0.300000000000004","0.0249999999999999","0.695999999999998","0","0","Vita"
"perm.time9","0.0890000000000057","0.00299999999999989","0.228999999999985","0","0","Perm"
"binom.rf.time10","0.0309999999999988","0","0.0760000000000218","0","0","BinomialRF"
"boruta.time10","2.461","0.0920000000000001","1.10900000000001","0","0","Boruta"
"vsurf.time10","4.388","0.288","44.569","0.00999999999999979","0.014","VSURF"
"varselrf.time10","2.145","0.00699999999999967","2.36000000000001","0","0","VarSelRF"
"pimp.time10","0.00900000000000034","0.00700000000000012","4.40099999999998","3.806","0.194","PIMP"
"aucrf.time10","0.238","0.016","0.259999999999991","0","0","AUCRF"
"efs.time10","6.243","0.161","10.95","0","0","EFS"
"rfe.time10","0.113","0.00499999999999989","0.295999999999992","0","0","RFE"
"vita.time10","0.297000000000004","0.0249999999999999","0.336999999999989","0","0","Vita"
"perm.time10","0.0899999999999963","0.00299999999999967","0.106999999999999","0","0","Perm"
"binom.rf.time11","0.0300000000000011","0","0.054000000000002","0","0","BinomialRF"
"boruta.time11","2.032","0.0949999999999998","0.889999999999986","0","0","Boruta"
"vsurf.time11","0.958999999999996","0.028","33.999","0.00999999999999979","0.012","VSURF"
"varselrf.time11","2.15","0.00500000000000034","4.798","0","0","VarSelRF"
"pimp.time11","0.00800000000000267","0.016","6.08800000000002","7.596","0.387","PIMP"
"aucrf.time11","0.247","0.0169999999999999","0.313999999999993","0","0","AUCRF"
"efs.time11","6.239","0.15","8.35399999999998","0","0","EFS"
"rfe.time11","0.116999999999997","0.00699999999999967","0.198000000000008","0","0","RFE"
"vita.time11","0.301000000000002","0.0249999999999999","0.841999999999985","0","0","Vita"
"perm.time11","0.0899999999999963","0.00300000000000011","0.102000000000004","0","0","Perm"
"binom.rf.time12","0.029999999999994","0","0.046999999999997","0","0","BinomialRF"
"boruta.time12","7.265","0.329","4.22899999999998","0","0","Boruta"
"vsurf.time12","2.907","0.192","32.077","0.00999999999999801","0.012","VSURF"
"varselrf.time12","2.221","0.012","2.899","0","0","VarSelRF"
"pimp.time12","0.00900000000000034","0.0209999999999999","7.76999999999998","7.563","0.415","PIMP"
"aucrf.time12","0.245000000000005","0.0169999999999999","0.322999999999979","0","0","AUCRF"
"efs.time12","6.395","0.181","15.481","0","0","EFS"
"rfe.time12","0.117000000000004","0.00499999999999989","0.161000000000001","0","0","RFE"
"vita.time12","0.302","0.024","0.558999999999969","0","0","Vita"
"perm.time12","0.0889999999999986","0.00199999999999978","0.101999999999975","0","0","Perm"
"binom.rf.time13","0.0300000000000011","0.00099999999999989","0.125","0","0","BinomialRF"
"boruta.time13","1.642","0.052","1.10700000000003","0","0","Boruta"
"vsurf.time13","0.953000000000003","0.0230000000000001","27.119","0.0100000000000016","0.012","VSURF"
"varselrf.time13","2.145","0.0089999999999999","2.89400000000001","0","0","VarSelRF"
"pimp.time13","0.00900000000000034","0.0179999999999998","7.96899999999999","7.487","0.419","PIMP"
"aucrf.time13","0.243000000000002","0.0169999999999999","0.379999999999995","0","0","AUCRF"
"efs.time13","6.248","0.174","15.203","0","0","EFS"
"rfe.time13","0.116","0.00700000000000012","0.163999999999987","0","0","RFE"
"vita.time13","0.300000000000004","0.0289999999999999","1.12799999999999","0","0","Vita"
"perm.time13","0.0889999999999986","0.004","0.117999999999995","0","0","Perm"
"binom.rf.time14","0.0310000000000059","0.00100000000000033","0.0759999999999934","0","0","BinomialRF"
"boruta.time14","2.72799999999999","0.115","1.214","0","0","Boruta"
"vsurf.time14","4.697","0.298","42.034","0.00999999999999801","0.0130000000000001","VSURF"
"varselrf.time14","2.162","0.0139999999999998","4.41699999999997","0","0","VarSelRF"
"pimp.time14","0.00800000000000267","0.0139999999999998","5.85000000000002","7.518","0.437","PIMP"
"aucrf.time14","0.245999999999995","0.02","0.341000000000008","0","0","AUCRF"
"efs.time14","6.246","0.169","14.625","0","0","EFS"
"rfe.time14","0.114999999999995","0.00500000000000034","0.322000000000003","0","0","RFE"
"vita.time14","0.292999999999999","0.0259999999999998","0.954000000000008","0","0","Vita"
"perm.time14","0.0870000000000033","0.00299999999999967","0.114000000000033","0","0","Perm"
"binom.rf.time15","0.0309999999999988","0","0.179999999999978","0","0","BinomialRF"
"boruta.time15","2.857","0.13","1.77999999999997","0","0","Boruta"
"vsurf.time15","5.421","0.359","44.043","0.0110000000000028","0.0130000000000001","VSURF"
"varselrf.time15","2.21","0.02","3.10599999999999","0","0","VarSelRF"
"pimp.time15","0.00900000000000034","0.0170000000000003","4.714","7.57","0.416","PIMP"
"aucrf.time15","0.246000000000002","0.0209999999999999","0.759999999999991","0","0","AUCRF"
"efs.time15","6.28899999999999","0.171","16.54","0","0","EFS"
"rfe.time15","0.117000000000004","0.00600000000000023","0.373999999999967","0","0","RFE"
"vita.time15","0.295999999999999","0.0270000000000001","0.517999999999972","0","0","Vita"
"perm.time15","0.0859999999999985","0.00299999999999967","0.170999999999992","0","0","Perm"
"binom.rf.time16","0.0330000000000013","0.00099999999999989","0.0910000000000082","0","0","BinomialRF"
"boruta.time16","7.00399999999999","0.351","4.065","0","0","Boruta"
"vsurf.time16","2.991","0.194","36.95","0.0109999999999992","0.014","VSURF"
"varselrf.time16","2.247","0.016","4.95400000000001","0","0","VarSelRF"
"pimp.time16","0.00900000000000034","0.0150000000000001","9.44099999999997","7.686","0.522","PIMP"
"aucrf.time16","0.248999999999995","0.0190000000000001","0.612000000000023","0","0","AUCRF"
"efs.time16","6.357","0.181","20.97","0","0","EFS"
"rfe.time16","0.114000000000004","0.00599999999999978","0.198999999999955","0","0","RFE"
"vita.time16","0.295999999999992","0.024","1.00600000000003","0","0","Vita"
"perm.time16","0.0880000000000081","0.00300000000000011","0.189000000000021","0","0","Perm"
"binom.rf.time17","0.0330000000000013","0.00100000000000033","0.115000000000009","0","0","BinomialRF"
"boruta.time17","6.61999999999999","0.326","4.21899999999999","0","0","Boruta"
"vsurf.time17","3.071","0.208","38.571","0.0109999999999992","0.0129999999999999","VSURF"
"varselrf.time17","2.21899999999999","0.0190000000000001","4.90300000000002","0","0","VarSelRF"
"pimp.time17","0.00900000000000034","0.0180000000000002","8.16300000000001","7.566","0.42","PIMP"
"aucrf.time17","0.239999999999995","0.0169999999999999","0.310000000000002","0","0","AUCRF"
"efs.time17","6.15700000000001","0.179","20.77","0","0","EFS"
"rfe.time17","0.115000000000009","0.00599999999999978","0.202999999999975","0","0","RFE"
"vita.time17","0.295000000000002","0.0249999999999999","0.653999999999996","0","0","Vita"
"perm.time17","0.0870000000000033","0.004","0.0999999999999659","0","0","Perm"
"binom.rf.time18","0.0319999999999965","0.00099999999999989","0.156000000000006","0","0","BinomialRF"
"boruta.time18","7.28","0.363","4.11500000000001","0","0","Boruta"
"vsurf.time18","5.60899999999999","0.376","49.732","0.0100000000000016","0.0129999999999999","VSURF"
"varselrf.time18","2.31399999999999","0.0209999999999999","5.24599999999998","0","0","VarSelRF"
"pimp.time18","0.00799999999999557","0.00700000000000012","8.47900000000004","5.787","0.321","PIMP"
"aucrf.time18","0.247","0.0200000000000005","0.72199999999998","0","0","AUCRF"
"efs.time18","6.22000000000001","0.178","18.253","0","0","EFS"
"rfe.time18","0.116000000000014","0.00800000000000001","0.388000000000034","0","0","RFE"
"vita.time18","0.295999999999992","0.0280000000000005","0.639999999999986","0","0","Vita"
"perm.time18","0.0870000000000033","0.00300000000000011","0.249000000000024","0","0","Perm"
"binom.rf.time19","0.0309999999999917","0.00099999999999989","0.488","0","0","BinomialRF"
"boruta.time19","6.694","0.363","2.99099999999999","0","0","Boruta"
"vsurf.time19","2.965","0.2","39.461","0.0100000000000016","0.014","VSURF"
"varselrf.time19","2.232","0.0169999999999999","5.95100000000002","0","0","VarSelRF"
"pimp.time19","0.00900000000000034","0.0179999999999998","8.47399999999999","7.645","0.445","PIMP"
"aucrf.time19","0.277000000000001","0.0230000000000001","0.613999999999976","0","0","AUCRF"
"efs.time19","6.25700000000001","0.178","18.526","0","0","EFS"
"rfe.time19","0.114999999999995","0.00499999999999989","0.29000000000002","0","0","RFE"
"vita.time19","0.298999999999992","0.024","1.351","0","0","Vita"
"perm.time19","0.0880000000000081","0.004","0.172000000000025","0","0","Perm"
"binom.rf.time20","0.0390000000000015","0.00199999999999978","0.266999999999996","0","0","BinomialRF"
"boruta.time20","7.63600000000001","0.356999999999999","4.00199999999995","0","0","Boruta"
"vsurf.time20","4.495","0.319","41.87","0.00999999999999801","0.0139999999999998","VSURF"
"varselrf.time20","2.078","0.016","7.43599999999998","0","0","VarSelRF"
"pimp.time20","0.00900000000000034","0.0190000000000001","7.06100000000004","7.56","0.45","PIMP"
"aucrf.time20","0.230999999999995","0.0179999999999998","0.560999999999979","0","0","AUCRF"
"efs.time20","5.64500000000001","0.152","11.893","0","0","EFS"
"rfe.time20","0.105999999999995","0.00400000000000045","0.130999999999972","0","0","RFE"
