"","user.self","sys.self","elapsed","user.child","sys.child","Model"
"efs.time20",270.788,4.60599999999999,372.550999999999,0,0,"EFS"
"rfe.time20",4.10300000000007,0.0139999999999958,5.44500000000062,0,0,"RFE"
"vita.time20",15.6959999999999,0.344000000000001,40.2620000000006,0,0,"Vita"
"perm.time20",3.25500000000011,0.0219999999999985,7.53800000000047,0,0,"Perm"
"binom.rf.time21",1.00600000000031,0.00300000000000011,1.65399999999954,0,0,"BinomialRF"
"boruta.time21",66.7760000000003,0.481999999999999,51.8739999999998,0,0,"Boruta"
"vsurf.time21",16.6880000000001,0.655000000000001,493.019,0.0109999999999673,0.0120000000000005,"VSURF"
"varselrf.time21",47.0630000000001,0.0769999999999982,64.9790000000003,0,0,"VarSelRF"
"pimp.time21",0.427999999999884,0.0640000000000001,148.526000000001,169.958,1.172,"PIMP"
"aucrf.time21",11.2400000000002,0.122999999999998,22.9290000000001,0,0,"AUCRF"
"efs.time21",266.674,4.6,362.428,0,0,"EFS"
"rfe.time21",4.04600000000028,0.0140000000000029,5.02599999999984,0,0,"RFE"
"vita.time21",15.627,0.331000000000003,31.9549999999999,0,0,"Vita"
"perm.time21",3.29899999999998,0.0100000000000051,6.28699999999935,0,0,"Perm"
"binom.rf.time22",1.05299999999988,0.00300000000000011,2.1869999999999,0,0,"BinomialRF"
"boruta.time22",68.268,0.450999999999993,29.2269999999999,0,0,"Boruta"
"vsurf.time22",46.7190000000001,2.44,673.111,0.00999999999999091,0.0119999999999996,"VSURF"
"varselrf.time22",48.098,0.070999999999998,53.7080000000005,0,0,"VarSelRF"
"pimp.time22",0.432999999999993,0.0690000000000026,113.029,173.937,1.19,"PIMP"
"aucrf.time22",11.8620000000001,0.115000000000002,12.6409999999996,0,0,"AUCRF"
"efs.time22",277.506,4.671,416.516999999999,0,0,"EFS"
"rfe.time22",4.21000000000004,0.0140000000000029,8.78700000000026,0,0,"RFE"
"vita.time22",16.0829999999996,0.343999999999994,30.2039999999997,0,0,"Vita"
"perm.time22",3.37300000000005,0.00900000000000034,3.51500000000033,0,0,"Perm"
"binom.rf.time23",1.04300000000012,0.00199999999999534,2.73800000000028,0,0,"BinomialRF"
"boruta.time23",67.1849999999999,0.442,38.3959999999997,0,0,"Boruta"
"vsurf.time23",49.3719999999998,2.377,691.566,0.0109999999999673,0.0119999999999996,"VSURF"
"varselrf.time23",48.2599999999998,0.0690000000000026,50.6480000000001,0,0,"VarSelRF"
"pimp.time23",0.428000000000338,0.0630000000000024,99.1319999999996,174.592,1.329,"PIMP"
"aucrf.time23",11.4679999999998,0.119,12.1559999999999,0,0,"AUCRF"
"efs.time23",275.252,5.64100000000001,436.896,0,0,"EFS"
"rfe.time23",4.12899999999991,0.017000000000003,9.11899999999878,0,0,"RFE"
"vita.time23",15.6280000000002,0.317,16.7079999999996,0,0,"Vita"
"perm.time23",3.32099999999991,0.00800000000000267,3.47400000000016,0,0,"Perm"
"binom.rf.time24",1.04300000000012,0.00300000000000011,1.10599999999977,0,0,"BinomialRF"
"boruta.time24",65.3310000000001,0.453000000000003,41.4440000000013,0,0,"Boruta"
"vsurf.time24",46.7730000000001,2.009,514.696000000001,0.0110000000001946,0.0120000000000005,"VSURF"
"varselrf.time24",48.8680000000004,0.0730000000000004,86.9630000000016,0,0,"VarSelRF"
"pimp.time24",0.440000000000055,0.0629999999999953,162.895999999999,175.902,1.206,"PIMP"
"aucrf.time24",11.6309999999999,0.119999999999997,35.2350000000006,0,0,"AUCRF"
"efs.time24",273.976,4.634,351.263999999999,0,0,"EFS"
"rfe.time24",4.20000000000027,0.0139999999999958,4.45299999999952,0,0,"RFE"
"vita.time24",16.0459999999998,0.336000000000006,44.0340000000015,0,0,"Vita"
"perm.time24",3.41499999999996,0.0109999999999957,9.12300000000141,0,0,"Perm"
"binom.rf.time25",1.01600000000008,0.00200000000000244,1.1239999999998,0,0,"BinomialRF"
"boruta.time25",66.5439999999999,0.481999999999999,52.6849999999995,0,0,"Boruta"
"vsurf.time25",49.2870000000003,2.34,557.993,0.0109999999999673,0.0129999999999999,"VSURF"
"varselrf.time25",48.2530000000002,0.0850000000000009,100.466,0,0,"VarSelRF"
"pimp.time25",0.440999999999804,0.0600000000000023,145.453000000001,174.727,1.194,"PIMP"
"aucrf.time25",11.8510000000001,0.119,31.4519999999993,0,0,"AUCRF"
"efs.time25",272.337,4.588,326.321,0,0,"EFS"
"rfe.time25",4.15900000000011,0.0169999999999959,4.84199999999873,0,0,"RFE"
"vita.time25",15.7659999999996,0.316000000000003,31.0400000000009,0,0,"Vita"
"perm.time25",3.42800000000034,0.0120000000000005,9.21000000000095,0,0,"Perm"
"binom.rf.time26",1.05200000000013,0.00300000000000011,2.16799999999967,0,0,"BinomialRF"
"boruta.time26",64.768,0.405000000000001,34.7950000000001,0,0,"Boruta"
"vsurf.time26",35.915,1.614,566.704,0.00999999999999091,0.0119999999999996,"VSURF"
"varselrf.time26",48.1399999999999,0.0739999999999981,50.6509999999998,0,0,"VarSelRF"
"pimp.time26",0.449000000000069,0.0640000000000001,119.409,175.717,1.193,"PIMP"
"aucrf.time26",11.5999999999999,0.112000000000002,12.2270000000008,0,0,"AUCRF"
"efs.time26",279.253,4.744,400.836000000001,0,0,"EFS"
"rfe.time26",4.22400000000016,0.0159999999999982,9.04300000000148,0,0,"RFE"
"vita.time26",15.779,0.354999999999997,20.5540000000001,0,0,"Vita"
"perm.time26",3.39800000000014,0.00799999999999557,3.58100000000013,0,0,"Perm"
"binom.rf.time27",1.03699999999981,0.00300000000000011,2.8080000000009,0,0,"BinomialRF"
"boruta.time27",66.2130000000002,0.427999999999997,40.4679999999989,0,0,"Boruta"
"vsurf.time27",14.8380000000002,0.481000000000002,534.541999999999,0.00999999999999091,0.0120000000000005,"VSURF"
"varselrf.time27",47.7599999999998,0.070999999999998,50.2349999999988,0,0,"VarSelRF"
"pimp.time27",0.413000000000011,0.0620000000000047,111.678,174.441,1.286,"PIMP"
"aucrf.time27",11.6900000000001,0.120000000000005,12.3690000000006,0,0,"AUCRF"
"efs.time27",276.456,5.648,401.441999999999,0,0,"EFS"
"rfe.time27",4.18900000000031,0.0129999999999981,8.6929999999993,0,0,"RFE"
"vita.time27",15.4010000000003,0.314,16.4449999999997,0,0,"Vita"
"perm.time27",3.28999999999996,0.00900000000000034,3.44999999999891,0,0,"Perm"
"binom.rf.time28",1.05600000000004,0.00200000000000244,1.09699999999975,0,0,"BinomialRF"
"boruta.time28",66.1640000000002,0.469000000000001,52.0030000000006,0,0,"Boruta"
"vsurf.time28",65.7150000000001,3.432,639.775000000001,0.00999999999999091,0.0120000000000005,"VSURF"
"varselrf.time28",48.8339999999998,0.109000000000002,116.105,0,0,"VarSelRF"
"pimp.time28",0.44399999999996,0.0640000000000001,128.752,174.857,1.193,"PIMP"
"aucrf.time28",11.9209999999998,0.123999999999995,31.6029999999992,0,0,"AUCRF"
"efs.time28",273.893,4.613,315.072,0,0,"EFS"
"rfe.time28",4.22900000000027,0.0120000000000005,6.57899999999972,0,0,"RFE"
"vita.time28",15.8400000000001,0.326999999999998,17.232,0,0,"Vita"
"perm.time28",3.43499999999995,0.0129999999999981,9.07000000000153,0,0,"Perm"
