"","user.self","sys.self","elapsed","user.child","sys.child","Model"
"binom.rf.time",0.169,0.00800000000000001,0.292999999999999,0,0,"BinomialRF"
"boruta.time",13.544,0.414,9.09299999999999,0,0,"Boruta"
"vsurf.time",8.275,0.535,145.624,0.01,0.013,"VSURF"
"varselrf.time",8.895,0.04,11.315,0,0,"VarSelRF"
"pimp.time",0.0470000000000006,0.0310000000000001,22.171,24.778,0.547,"PIMP"
"aucrf.time",1.626,0.056,2.76900000000001,0,0,"AUCRF"
"efs.time",23.709,0.32,34.61,0,0,"EFS"
"rfe.time",0.506999999999991,0.0100000000000002,1.81700000000001,0,0,"RFE"
"vita.time",1.718,0.0610000000000002,2.184,0,0,"Vita"
"perm.time",0.408000000000001,0.00299999999999989,0.472999999999985,0,0,"Perm"
"binom.rf.time1",0.218,0.00800000000000001,0.202,0,0,"BinomialRF"
"boruta.time1",10.127,0.258,7.38800000000001,0,0,"Boruta"
"vsurf.time1",7.968,0.485,128.667,0.011,0.013,"VSURF"
"varselrf.time1",9.064,0.03,11.978,0,0,"VarSelRF"
"pimp.time1",0.0429999999999993,0.0289999999999999,33.994,24.911,0.633,"PIMP"
"aucrf.time1",1.628,0.0549999999999999,2.24200000000002,0,0,"AUCRF"
"efs.time1",24.282,0.317,34.141,0,0,"EFS"
"rfe.time1",0.527000000000001,0.0089999999999999,0.664999999999992,0,0,"RFE"
"vita.time1",1.74,0.0549999999999999,3.71700000000001,0,0,"Vita"
"perm.time1",0.414000000000001,0.00599999999999978,0.576999999999998,0,0,"Perm"
"binom.rf.time2",0.18,0.012,0.272,0,0,"BinomialRF"
"boruta.time2",12.641,0.356,7.15700000000001,0,0,"Boruta"
"vsurf.time2",7.284,0.472,123.583,0.01,0.012,"VSURF"
"varselrf.time2",8.9,0.028,12.633,0,0,"VarSelRF"
"pimp.time2",0.0429999999999993,0.026,36.204,24.885,0.631,"PIMP"
"aucrf.time2",1.622,0.0469999999999999,1.874,0,0,"AUCRF"
"efs.time2",23.945,0.314,33.715,0,0,"EFS"
"rfe.time2",0.518999999999998,0.0069999999999999,0.681999999999988,0,0,"RFE"
"vita.time2",1.723,0.0569999999999999,4.733,0,0,"Vita"
"perm.time2",0.405000000000001,0.00700000000000012,0.60899999999998,0,0,"Perm"
"binom.rf.time3",0.165,0.00899999999999995,0.216,0,0,"BinomialRF"
"boruta.time3",11.905,0.279,8.83099999999999,0,0,"Boruta"
"vsurf.time3",4.943,0.284,126.481,0.011,0.014,"VSURF"
"varselrf.time3",8.766,0.0289999999999999,11.945,0,0,"VarSelRF"
"pimp.time3",0.0430000000000028,0.031,34.382,24.911,0.634,"PIMP"
"aucrf.time3",1.575,0.0489999999999999,1.97800000000001,0,0,"AUCRF"
"efs.time3",23.328,0.308,33.077,0,0,"EFS"
"rfe.time3",0.509999999999998,0.00800000000000001,0.64100000000002,0,0,"RFE"
"vita.time3",1.684,0.0469999999999999,3.58600000000001,0,0,"Vita"
"perm.time3",0.394999999999996,0.00499999999999989,0.549000000000007,0,0,"Perm"
"binom.rf.time4",0.111000000000004,0.00100000000000011,0.175000000000011,0,0,"BinomialRF"
"boruta.time4",13.958,0.385,6.55900000000003,0,0,"Boruta"
"vsurf.time4",19.398,1.264,182.168,0.0100000000000016,0.012,"VSURF"
"varselrf.time4",8.614,0.0389999999999997,11.182,0,0,"VarSelRF"
"pimp.time4",0.0409999999999968,0.0289999999999999,15.353,24.756,0.588,"PIMP"
