"","Precision","Recall","TestError","ModelSize","Model","Ntree"
"1",1,0.8,0.173,4,"binomialRF",100
"2",1,1,0.116,5,"binomialRF",100
"3",1,0.8,0.178,4,"binomialRF",100
"4",1,0.8,0.198,4,"binomialRF",100
"5",1,0.6,0.249,3,"binomialRF",100
"6",1,1,0.096,5,"binomialRF",100
"7",1,0.8,0.185,4,"binomialRF",100
"8",1,0.6,0.231,3,"binomialRF",100
"9",1,0.8,0.18,4,"binomialRF",100
"10",1,0.8,0.177,4,"binomialRF",100
"11",1,0.8,0.177,4,"binomialRF",100
"12",1,1,0.106,5,"binomialRF",100
"13",1,1,0.11,5,"binomialRF",100
"14",1,0.8,0.182,4,"binomialRF",100
"15",1,1,0.098,5,"binomialRF",100
"16",1,1,0.123,5,"binomialRF",100
"17",1,1,0.094,5,"binomialRF",100
"18",1,0.8,0.157,4,"binomialRF",100
"19",1,1,0.079,5,"binomialRF",100
"20",1,0.8,0.201,4,"binomialRF",100
"21",1,0.8,0.178,4,"binomialRF",100
"22",1,1,0.092,5,"binomialRF",100
"23",1,0.8,0.187,4,"binomialRF",100
"24",1,1,0.099,5,"binomialRF",100
"25",1,1,0.136,5,"binomialRF",100
"26",1,0.8,0.162,4,"binomialRF",100
"27",1,0.6,0.256,3,"binomialRF",100
"28",1,1,0.099,5,"binomialRF",100
"29",1,1,0.091,5,"binomialRF",100
"30",1,1,0.102,5,"binomialRF",100
"31",1,0.8,0.2,4,"binomialRF",100
"32",1,0.8,0.187,4,"binomialRF",100
"33",1,0.8,0.19,4,"binomialRF",100
"34",1,0.8,0.193,4,"binomialRF",100
"35",1,1,0.112,5,"binomialRF",100
"36",1,0.8,0.168,4,"binomialRF",100
"37",1,0.8,0.175,4,"binomialRF",100
"38",1,0.8,0.184,4,"binomialRF",100
"39",1,1,0.104,5,"binomialRF",100
"40",1,1,0.093,5,"binomialRF",100
"41",1,1,0.101,5,"binomialRF",100
"42",1,0.8,0.202,4,"binomialRF",100
"43",1,0.8,0.186,4,"binomialRF",100
"44",1,0.6,0.252,3,"binomialRF",100
"45",1,0.8,0.176,4,"binomialRF",100
"46",1,0.8,0.176,4,"binomialRF",100
"47",1,1,0.1,5,"binomialRF",100
"48",1,1,0.101,5,"binomialRF",100
"49",1,0.8,0.164,4,"binomialRF",100
"50",1,1,0.105,5,"binomialRF",100
