"","Precision","Recall","TestError","ModelSize","Model","Ntree"
"1",1,1,0.111,5,"binomialRF",1000
"2",1,1,0.116,5,"binomialRF",1000
"3",1,1,0.096,5,"binomialRF",1000
"4",1,1,0.108,5,"binomialRF",1000
"5",1,1,0.097,5,"binomialRF",1000
"6",1,1,0.104,5,"binomialRF",1000
"7",1,1,0.094,5,"binomialRF",1000
"8",1,1,0.112,5,"binomialRF",1000
"9",1,1,0.113,5,"binomialRF",1000
"10",1,1,0.123,5,"binomialRF",1000
"11",1,1,0.111,5,"binomialRF",1000
"12",1,1,0.125,5,"binomialRF",1000
"13",1,1,0.129,5,"binomialRF",1000
"14",1,1,0.078,5,"binomialRF",1000
"15",1,1,0.105,5,"binomialRF",1000
"16",1,1,0.094,5,"binomialRF",1000
"17",1,1,0.108,5,"binomialRF",1000
"18",1,1,0.104,5,"binomialRF",1000
"19",1,1,0.119,5,"binomialRF",1000
"20",1,0.8,0.2,4,"binomialRF",1000
"21",1,1,0.11,5,"binomialRF",1000
"22",1,1,0.103,5,"binomialRF",1000
"23",1,1,0.113,5,"binomialRF",1000
"24",1,1,0.107,5,"binomialRF",1000
"25",1,1,0.096,5,"binomialRF",1000
"26",1,1,0.098,5,"binomialRF",1000
"27",1,1,0.1,5,"binomialRF",1000
"28",1,1,0.13,5,"binomialRF",1000
"29",1,1,0.106,5,"binomialRF",1000
"30",1,1,0.105,5,"binomialRF",1000
"31",1,1,0.093,5,"binomialRF",1000
"32",1,1,0.104,5,"binomialRF",1000
"33",1,1,0.114,5,"binomialRF",1000
"34",1,1,0.106,5,"binomialRF",1000
"35",1,1,0.092,5,"binomialRF",1000
"36",1,1,0.09,5,"binomialRF",1000
"37",1,1,0.092,5,"binomialRF",1000
"38",1,1,0.085,5,"binomialRF",1000
"39",1,1,0.111,5,"binomialRF",1000
"40",1,1,0.093,5,"binomialRF",1000
"41",1,1,0.094,5,"binomialRF",1000
"42",1,1,0.103,5,"binomialRF",1000
"43",1,1,0.08,5,"binomialRF",1000
"44",1,1,0.095,5,"binomialRF",1000
"45",1,1,0.089,5,"binomialRF",1000
"46",1,1,0.101,5,"binomialRF",1000
"47",1,1,0.118,5,"binomialRF",1000
"48",1,1,0.118,5,"binomialRF",1000
"49",1,1,0.099,5,"binomialRF",1000
"50",1,1,0.095,5,"binomialRF",1000
