"","x"
"1",0.551683699933901
"2",0.32822825628507
"3",0.0975432611554491
"4",0.0193060030691486
"5",0.00286294728157101
"6",0.000339303623943216
"7",3.34769698854535e-05
"8",2.82826630233736e-06
"9",2.08864857349279e-07
"10",1.36968389579665e-08
"11",8.07569330435981e-10
"12",4.32422356997417e-11
"13",2.12035704870963e-12
"14",9.58756681829028e-14
"15",4.02145611535839e-15
"16",1.5727322875147e-16
"17",5.76045599985653e-18
"18",1.98375874309954e-19
"19",6.44548615217145e-21
"20",1.98198051054698e-22
"21",5.78394566408164e-24
"22",1.60589371530293e-25
"23",4.25170009259297e-27
"24",1.07562145028607e-28
"25",2.60512513761198e-30
"26",6.05095901924256e-32
"27",1.35002338838566e-33
"28",2.89749235184767e-35
"29",5.99049790070255e-37
"30",1.19458484398391e-38
"31",2.30038638602512e-40
"32",4.28249280770195e-42
"33",7.71536104744537e-44
"34",1.34649109208424e-45
"35",2.27843610889758e-47
"36",3.74137939335381e-49
"37",5.96681229016659e-51
"38",9.24918568884313e-53
"39",1.39454329570405e-54
"40",2.04657790079825e-56
"41",2.92534767963247e-58
"42",4.07521643513701e-60
"43",5.5361239993432e-62
"44",7.33818532444241e-64
"45",9.49584790639771e-66
"46",1.20023128156405e-67
"47",1.48250543626619e-69
"48",1.79032808464761e-71
"49",2.11480389108255e-73
"50",2.44453794123538e-75
"51",2.76626070735084e-77
"52",3.06571903389226e-79
"53",3.32874887095054e-81
"54",3.54241397878345e-83
"55",3.69607985105982e-85
"56",3.78229679972138e-87
"57",3.79738997792067e-89
"58",3.7416930012442e-91
"59",3.61940901580363e-93
"60",3.43813058771602e-95
"61",3.20809007939431e-97
"62",2.9412394740008e-99
"63",2.65026988565613e-101
"64",2.34767623569584e-103
"65",2.04495442652844e-105
"66",1.75199127504128e-107
"67",1.4766767174349e-109
"68",1.22473834171746e-111
"69",9.99774045776303e-114
"70",8.03441930042344e-116
"71",6.35758165766161e-118
"72",4.9545288308889e-120
"73",3.80339464437465e-122
"74",2.87661883563662e-124
"75",2.14395737811398e-126
"76",1.57489528838141e-128
"77",1.14042213271037e-130
"78",8.14202996593753e-133
"79",5.73225639996574e-135
"80",3.98029490534741e-137
"81",2.7262815658238e-139
"82",1.84229565822652e-141
"83",1.22841977961299e-143
"84",8.0834583065089e-146
"85",5.25016636460869e-148
"86",3.36616520398096e-150
"87",2.13080585912011e-152
"88",1.33185405869964e-154
"89",8.2211118516237e-157
"90",5.01211701640176e-159
"91",3.01844232810558e-161
"92",1.79584436185054e-163
"93",1.05567579626235e-165
"94",6.13224189042752e-168
"95",3.52033930101765e-170
"96",1.99744545915407e-172
"97",1.12030968097055e-174
"98",6.21184482332654e-177
"99",3.40539964093358e-179
"100",1.84597256384755e-181
"101",9.89545677395897e-184
"102",5.24617525665628e-186
"103",2.75098440131186e-188
"104",1.42696411897302e-190
"105",7.32247621643335e-193
"106",3.71759857884253e-195
"107",1.86752092477981e-197
"108",9.28335654776887e-200
"109",4.56686892852009e-202
"110",2.22352858433131e-204
"111",1.07155273429184e-206
"112",5.11171214849521e-209
"113",2.41399263741692e-211
"114",1.12864217931983e-213
"115",5.22469398090937e-216
"116",2.39487335876108e-218
"117",1.08706033003674e-220
"118",4.88658957056209e-223
"119",2.17555653281391e-225
"120",9.59351612696605e-228
"121",4.19042705841459e-230
"122",1.81318200547687e-232
"123",7.77241995019758e-235
"124",3.30089321825101e-237
"125",1.38897745536541e-239
"126",5.79128720120855e-242
"127",2.3927560553952e-244
"128",9.79697384827281e-247
"129",3.97541100763595e-249
"130",1.59880178200918e-251
"131",6.37316613031217e-254
"132",2.51819298349791e-256
"133",9.86326423288169e-259
