"","x"
"1",0.0086412268021872
"2",0.0412519757979667
"3",0.0982685731493412
"4",0.155747858588411
"5",0.184764200671697
"6",0.174996291634198
"7",0.137842182268738
"8",0.092877473916489
"9",0.0546470437932579
"10",0.028522567227512
"11",0.0133711712336884
"12",0.00568685547523195
"13",0.00221258085556452
"14",0.000793003247716643
"15",0.000263375417730086
"16",8.14741040958399e-05
"17",2.35798313989669e-05
"18",6.40968197095989e-06
"19",1.64214103337564e-06
"20",3.97743633194886e-07
"21",9.13308843982794e-08
"22",1.99314526264844e-08
"23",4.1433453192155e-09
"24",8.22149007385902e-10
"25",1.5601164641579e-10
"26",2.83611155990552e-11
"27",4.94701147375305e-12
"28",8.29195317772539e-13
"29",1.33739377196999e-13
"30",2.07827322786887e-14
"31",3.11531267053832e-15
"32",4.50959096285401e-16
"33",6.31043593197453e-17
"34",8.54457804592552e-18
"35",1.12054146097581e-18
"36",1.4244432406066e-19
"37",1.75668926260798e-20
"38",2.10334517318154e-21
"39",2.44684967920245e-22
"40",2.76747689668586e-23
"41",3.04525934094568e-24
"42",3.26210251375566e-25
"43",3.40377109562775e-26
"44",3.46143925342285e-27
"45",3.43257143346983e-28
"46",3.32101822342975e-29
"47",3.13634745760661e-30
"48",2.8925542338273e-31
"49",2.60638051993817e-32
"50",2.29551175878852e-33
"51",1.97690320395614e-34
"52",1.66543270501986e-35
"53",1.37299650646966e-36
"54",1.10807950570591e-37
"55",8.75757835689737e-39
"56",6.78040361793808e-40
"57",5.14430698226411e-41
"58",3.82590636773955e-42
"59",2.79003348680679e-43
"60",1.99562538414574e-44
"61",1.40044386221635e-45
"62",9.64468153504239e-47
"63",6.52018725613617e-48
"64",4.32805703839998e-49
"65",2.82158920116314e-50
"66",1.80703374636588e-51
"67",1.13713212900062e-52
"68",7.0327503852978e-54
"69",4.27566364187563e-55
"70",2.55586278724027e-56
"71",1.50250563993889e-57
"72",8.68811505750912e-59
"73",4.94253445344116e-60
"74",2.76675026497148e-61
"75",1.52428249241662e-62
"76",8.26633769622967e-64
"77",4.4135477219678e-65
"78",2.320397047345e-66
"79",1.2014547390288e-67
"80",6.12762416798447e-69
"81",3.0788148681958e-70
"82",1.52421837410882e-71
"83",7.43612547238745e-73
"84",3.57556143543614e-74
"85",1.69472938336864e-75
"86",7.91906869287926e-77
"87",3.64857351798216e-78
"88",1.65769083384663e-79
"89",7.42797206027903e-81
"90",3.28304485850802e-82
"91",1.43144766749377e-83
"92",6.15768240538718e-85
"93",2.61367817958365e-86
"94",1.09478458218958e-87
"95",4.52579183089268e-89
"96",1.84669999674023e-90
"97",7.43839924121612e-92
"98",2.95793387678541e-93
"99",1.16135976972999e-94
"100",4.50253380450635e-96
"101",1.72385487231721e-97
"102",6.51836483154045e-99
"103",2.43450535432144e-100
"104",8.98164586451478e-102
"105",3.27350071984684e-103
"106",1.17873905599311e-104
"107",4.19380516142031e-106
"108",1.47441601644494e-107
"109",5.12257329098066e-109
"110",1.75892408513464e-110
"111",5.969397700647e-112
"112",2.00249522025863e-113
"113",6.64052494931902e-115
"114",2.17698301568303e-116
"115",7.0560313290436e-118
"116",2.26125380508535e-119
"117",7.16558078952395e-121
"118",2.24541234209962e-122
"119",6.95844530697366e-124
"120",2.1326911438559e-125
"121",6.4650373922797e-127
"122",1.93851253362901e-128
"123",5.74972850798406e-130
"124",1.68707104947247e-131
"125",4.89725122877114e-133
"126",1.40646704853761e-134
"127",3.99659030283382e-136
"128",1.12371675779596e-137
"129",3.12647575775369e-139
"130",8.60810669072806e-141
"131",2.3455113796547e-142
"132",6.32509887252023e-144
"133",1.68818135563059e-145
"134",4.459792196001e-147
"135",1.16620590218492e-148
"136",3.01871350648939e-150
"137",7.73526505840502e-152
"138",1.96225462942059e-153
"139",4.92813103598748e-155
"140",1.22539290981462e-156
"141",3.01685109790229e-158
"142",7.35421986138227e-160
"143",1.77517862340765e-161
"144",4.24315009577784e-163
"145",1.00436938135575e-164
"146",2.35437049347976e-166
"147",5.46574856552402e-168
"148",1.25670957112731e-169
"149",2.8618525802493e-171
"150",6.45510037226539e-173
"151",1.44217579748007e-174
"152",3.19160139316995e-176
"153",6.99664487038386e-178
"154",1.51941703078325e-179
"155",3.2687754676348e-181
"156",6.96672770527501e-183
"157",1.47103389305044e-184
"158",3.07737779098483e-186
"159",6.37847994314758e-188
"160",1.30992225876116e-189
"161",2.66550354342727e-191
"162",5.37442060010621e-193
"163",1.07378091511841e-194
"164",2.12590631772418e-196
"165",4.17089753990856e-198
"166",8.10931555766359e-200
"167",1.56250086117398e-201
"168",2.98366188898718e-203
"169",5.64655944632083e-205
"170",1.05909429766683e-206
"171",1.96885189540902e-208
"172",3.62769046483563e-210
"173",6.62516990621402e-212
"174",1.19928970885462e-213
"175",2.15189936459781e-215
"176",3.82737357991135e-217
"177",6.74793504945163e-219
"178",1.17934802348264e-220
"179",2.0432610181059e-222
"180",3.50934476406381e-224
"181",5.97527516208099e-226
"182",1.0086225156968e-227
"183",1.68790227988426e-229
"184",2.80041681044276e-231
"185",4.60641923622545e-233
"186",7.51239061199272e-235
"187",1.21471702043725e-236
"188",1.9474329069936e-238
"189",3.09562495134738e-240
"190",4.87910848168182e-242
"191",7.62511869261019e-244
"192",1.1816103348171e-245
"193",1.81564474697293e-247
"194",2.76645513172668e-249
"195",4.17983965989908e-251
"196",6.26247180318684e-253
"197",9.30441124289426e-255
"198",1.37086787979308e-256
"199",2.00296050103678e-258
"200",2.90218837022576e-260
"201",4.17024378045448e-262
"202",5.94272982819214e-264
"203",8.39856623048102e-266
"204",1.177130800482e-267
"205",1.63625260625887e-269
"206",2.25573224271612e-271
"207",3.08419400605881e-273
"208",4.1823273282208e-275
"209",5.62498865724026e-277
"210",7.50339072844577e-279
"211",9.92728756902109e-281
"212",1.30270323324055e-282
"213",1.69553523307717e-284
"214",2.18886536357017e-286
"215",2.80276392137955e-288
"216",3.55970031939824e-290
"217",4.48439533741672e-292
"218",5.60353184632467e-294
"219",6.94530196151892e-296
"220",8.5387730708898e-298
"221",1.04130620616719e-299
"222",1.25963163847982e-301
"223",1.51145121881982e-303
"224",1.79900932284323e-305
"225",2.12404889875115e-307
"226",2.48765654874771e-309
"227",2.89010766060958e-311
"228",3.33071960002557e-313
"229",3.80772187269006e-315
"230",4.31815251914704e-317
"231",4.85780164960489e-319
"232",5.41990013487847e-321
"233",5.92878775009496e-323
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
