"","x"
"1",0.0596272804682942
"2",0.168602541345493
"3",0.237894157602471
"4",0.223326867562977
"5",0.156922956503176
"6",0.0880333571535077
"7",0.0410724228531537
"8",0.0163918639734263
"9",0.00571260747383899
"10",0.00176606257357818
"11",0.000490384448692868
"12",0.000123534765179249
"13",2.84685873311367e-05
"14",6.04354133468469e-06
"15",1.18888961183809e-06
"16",2.17839008953377e-07
"17",3.73427690296631e-08
"18",6.01245818151459e-09
"19",9.12380100234028e-10
"20",1.3089358170081e-10
"21",1.78025634525439e-11
"22",2.30119591817896e-12
"23",2.83344989729428e-13
"24",3.33015699554555e-14
"25",3.7430097252001e-15
"26",4.03029661280969e-16
"27",4.1639583919743e-17
"28",4.1339961584305e-18
"29",3.94931966843122e-19
"30",3.63509193313653e-20
"31",3.22748447028444e-21
"32",2.76725662176464e-22
"33",2.29361969790992e-23
"34",1.83951118524189e-24
"35",1.42885943355766e-25
"36",1.07586180305749e-26
"37",7.85879664186481e-28
"38",5.57341545276491e-29
"39",3.84032448953384e-30
"40",2.57273112291506e-31
"41",1.67681227430813e-32
"42",1.06391646329898e-33
"43",6.5753675562733e-35
"44",3.9606472740073e-36
"45",2.32637006287975e-37
"46",1.33315375217366e-38
"47",7.4573223158809e-40
"48",4.0737091566982e-41
"49",2.17418299099535e-42
"50",1.13419455664274e-43
"51",5.78553074974298e-45
"52",2.88691936597863e-46
"53",1.4097001995332e-47
"54",6.73872937497987e-49
"55",3.15457523024819e-50
"56",1.44664565884901e-51
"57",6.50104634536114e-53
"58",2.86378550468497e-54
"59",1.23698755174974e-55
"60",5.24064445933081e-57
"61",2.17831732685467e-58
"62",8.88572968742406e-60
"63",3.55807450782951e-61
"64",1.39893555820127e-62
"65",5.40192166696822e-64
"66",2.0491347807687e-65
"67",7.63774151211156e-67
"68",2.79787941514732e-68
"69",1.00752791259463e-69
"70",3.56731001235367e-71
"71",1.2421361260602e-72
"72",4.25430291938723e-74
"73",1.433515243732e-75
"74",4.75304946915083e-77
"75",1.55102072043927e-78
"76",4.98212988404424e-80
"77",1.5755764947626e-81
"78",4.90640884474422e-83
"79",1.50473010261015e-84
"80",4.5456194946418e-86
"81",1.35280219035214e-87
"82",3.96686736048439e-89
"83",1.14629648280554e-90
"84",3.26470736708607e-92
"85",9.16537287701152e-94
"86",2.53672654245683e-95
"87",6.92265053750629e-97
"88",1.86295604009238e-98
"89",4.94446260347571e-100
"90",1.29442060010287e-101
"91",3.34290348775045e-103
"92",8.51756414226785e-105
"93",2.14141087265634e-106
"94",5.31283499559994e-108
"95",1.30089424838221e-109
"96",3.14407959359384e-111
"97",7.50112550662005e-113
"98",1.76679097781447e-114
"99",4.10878345527867e-116
"100",9.43524586980021e-118
"101",2.13966954108604e-119
"102",4.79219445098434e-121
"103",1.06012302188562e-122
"104",2.31660091327312e-124
"105",5.00100744036251e-126
"106",1.06662681471221e-127
"107",2.24777500648695e-129
"108",4.68073864074575e-131
"109",9.63235093668125e-133
"110",1.959029500573e-134
"111",3.93798591277434e-136
"112",7.8246495672615e-138
"113",1.53689990978985e-139
"114",2.98433778232343e-141
"115",5.72932160009547e-143
"116",1.08753132519745e-144
"117",2.04123791000355e-146
"118",3.78868150670339e-148
"119",6.95430885626691e-150
"120",1.26246540549989e-151
"121",2.26679541689281e-153
"122",4.02586921468026e-155
"123",7.07274746111807e-157
"124",1.22920395763625e-158
"125",2.11345363600519e-160
"126",3.5951719513398e-162
"127",6.051032693758e-164
"128",1.00773534391967e-165
