"","x"
"1",7.46708006468384e-05
"2",0.000712935357817135
"3",0.00340004756345759
"4",0.0107992507425496
"5",0.0256997049808139
"6",0.0488783816290816
"7",0.0773905608872889
"8",0.104924204335101
"9",0.124346707969742
"10",0.13085875999137
"11",0.12381572387756
"12",0.106394127258894
"13",0.08372054521319
"14",0.0607498186965821
"15",0.0408915383456296
"16",0.0256636516048408
"17",0.0150846085535425
"18",0.00833641963220793
"19",0.00434670259433932
"20",0.00214494993153748
"21",0.00100451289637549
"22",0.000447570695643617
"23",0.000190160802108652
"24",7.72025002245747e-05
"25",3.00064095990645e-05
"26",1.11846703421986e-05
"27",4.00455074979485e-06
"28",1.37926698415367e-06
"29",4.57617364275335e-07
"30",1.4644350282626e-07
"31",4.525508964134e-08
"32",1.35200038679875e-08
"33",3.90885860074707e-09
"34",1.09473933733802e-09
"35",2.97274479158863e-10
"36",7.83368411104992e-11
"37",2.00488844761338e-11
"38",4.98729283586381e-12
"39",1.20672109724945e-12
"40",2.84195185647038e-13
"41",6.51897715117859e-14
"42",1.45735777112877e-14
"43",3.17712896426007e-15
"44",6.75820316306847e-16
"45",1.4034270743106e-16
"46",2.84665328835545e-17
"47",5.6426025498167e-18
"48",1.09352652895693e-18
"49",2.07290945609989e-19
"50",3.84521428442678e-20
"51",6.98281289955857e-21
"52",1.24189014470854e-21
"53",2.16394089966524e-22
"54",3.69553405784264e-23
"55",6.18775021868794e-24
"56",1.01615642395818e-24
"57",1.63720738317425e-25
"58",2.58881000909072e-26
"59",4.01867813683599e-27
"60",6.12606303528749e-28
"61",9.17316446966636e-29
"62",1.34963566038421e-29
"63",1.95159543451134e-30
"64",2.77428726515286e-31
"65",3.8780230954545e-32
"66",5.33178009783288e-33
"67",7.21172654077234e-34
"68",9.59866135741682e-35
"69",1.25742690001366e-35
"70",1.62161933711281e-36
"71",2.05920650455427e-37
"72",2.5752763953257e-38
"73",3.17253491718792e-39
"74",3.8506218664037e-40
"75",4.60551533873907e-41
"76",5.42909326429678e-42
"77",6.30891663424529e-43
"78",7.2282868791196e-44
"79",8.1666101653968e-45
"80",9.10007560775938e-46
"81",1.00026250567715e-46
"82",1.08471624474404e-47
"83",1.16069242241105e-48
"84",1.22569124482341e-49
"85",1.27752815291444e-50
"86",1.314456969184e-51
"87",1.33526775699789e-52
"88",1.33935175527186e-53
"89",1.32672863443843e-54
"90",1.29803463315454e-55
"91",1.25447350596292e-56
"92",1.19773527282201e-57
"93",1.12989019873176e-58
"94",1.053267023731e-59
"95",9.70325102178737e-61
"96",8.83529805835377e-62
"97",7.95239414888394e-63
"98",7.07609963312792e-64
"99",6.22522366598164e-65
"100",5.41533900080082e-66
"101",4.65853953610827e-67
"102",3.9634215573382e-68
"103",3.33525568512857e-69
"104",2.77630765800232e-70
"105",2.28626222487809e-71
"106",1.86270507252657e-72
"107",1.50162196818642e-73
"108",1.19788106566302e-74
"109",9.45672477386949e-76
"110",7.38887725392881e-77
"111",5.71429710227291e-78
"112",4.37450775342304e-79
"113",3.31521939782204e-80
"114",2.48740293874818e-81
"115",1.84783954696319e-82
"116",1.359250448579e-83
"117",9.90111517332437e-85
"118",7.14249362812039e-86
"119",5.10302744236977e-87
"120",3.61117781351576e-88
"121",2.53129570251947e-89
"122",1.75767886074864e-90
"123",1.2091158657586e-91
"124",8.24055894650028e-93
"125",5.56459965484206e-94
"126",3.72329428373191e-95
"127",2.46867669624211e-96
"128",1.62207628555142e-97
"129",1.05626987797605e-98
"130",6.81712120506326e-100
"131",4.36089032306315e-101
"132",2.76517401558822e-102
"133",1.73807158022358e-103
"134",1.08301653799311e-104
"135",6.69034838902895e-106
"136",4.09762492635457e-107
"137",2.48833442592307e-108
"138",1.49830858966582e-109
"139",8.94607066928896e-111
"140",5.2969288093198e-112
"141",3.1102736264031e-113
"142",1.81124534493353e-114
"143",1.04611986163957e-115
"144",5.99283118501716e-117
"145",3.40525563116349e-118
"146",1.91935287766299e-119
"147",1.07316730504268e-120
"148",5.95260842823548e-122
"149",3.27562348847434e-123
"150",1.78832582808053e-124
"151",9.68688838949221e-126
"152",5.20625721088438e-127
"153",2.77644496017945e-128
"154",1.46924031259906e-129
"155",7.71533648226106e-131
"156",4.0206186434305e-132
"157",2.07933440084156e-133
"158",1.0672507749376e-134
"159",5.43671180953405e-136
"160",2.74884736542515e-137
"161",1.37951359454459e-138
"162",6.8719302158083e-140
"163",3.39801297482662e-141
"164",1.66794141746722e-142
"165",8.12758928082233e-144
"166",3.93172766209245e-145
"167",1.88825725249386e-146
"168",9.00347342148437e-148
"169",4.2623111727239e-149
"170",2.00346204883258e-150
"171",9.3504512099729e-152
"172",4.33325150339512e-153
"173",1.9940650696153e-154
"174",9.11219291271828e-156
"175",4.13502855286829e-157
"176",1.86345906659925e-158
"177",8.33989310150639e-160
"178",3.706924794994e-161
"179",1.63641312494065e-162
"180",7.17482126459199e-164
"181",3.12450399705127e-165
"182",1.35149893571212e-166
"183",5.80667564882991e-168
"184",2.47815877249933e-169
"185",1.05058865601475e-170
"186",4.42436026595076e-172
"187",1.8509491757287e-173
"188",7.69266177507741e-175
"189",3.17620613597519e-176
"190",1.30287350193642e-177
"191",5.3096861434912e-179
"192",2.1499078635265e-180
"193",8.6490117484279e-182
"194",3.45716322598689e-183
"195",1.37306480566445e-184
"196",5.41864640379432e-186
"197",2.12485826655388e-187
"198",8.27978644255508e-189
"199",3.20603926019623e-190
"200",1.23364292988602e-191
"201",4.7172765824827e-193
"202",1.79260505175213e-194
"203",6.76985507680117e-196
"204",2.54088828661988e-197
"205",9.47792070773624e-199
"206",3.5137561900308e-200
"207",1.29470515717152e-201
"208",4.74155050488351e-203
"209",1.72595544014505e-204
"210",6.24464595206151e-206
"211",2.24576523853615e-207
"212",8.02801799282979e-209
"213",2.85265220267392e-210
"214",1.00761537431257e-211
"215",3.53797769294117e-213
"216",1.23491914170881e-214
"217",4.28502908362105e-216
"218",1.47811916741283e-217
"219",5.06890396397781e-219
"220",1.72812855849964e-220
"221",5.85738467038042e-222
"222",1.97381034669009e-223
"223",6.61285881174431e-225
"224",2.20274046634103e-226
"225",7.29517436588906e-228
"226",2.4022280056044e-229
"227",7.86514683744523e-231
"228",2.56047939027051e-232
"229",8.28829647122622e-234
"230",2.66775806350911e-235
"231",8.53831807207501e-237
"232",2.71738028660027e-238
"233",8.59979544675181e-240
"234",2.70640486995653e-241
"235",8.4697700329034e-243
"236",2.63591785582448e-244
"237",8.15794269211461e-246
"238",2.51087451487512e-247
"239",7.68549661296362e-249
"240",2.33952856316942e-250
"241",7.08273695424335e-252
"242",2.13253912848536e-253
"243",6.38590957110371e-255
"244",1.90188845570261e-256
"245",5.63365751336944e-258
"246",1.65976078174234e-259
"247",4.86358699999558e-261
"248",1.41752402241528e-262
"249",4.10934939836579e-264
"250",1.18492512488087e-265
"251",3.39852275825221e-267
"252",9.69565314163269e-269
"253",2.75142508988215e-270
"254",7.76672835676585e-272
"255",2.18084272570409e-273
"256",6.09147323011153e-275
"257",1.69253630599755e-276
"258",4.67818240840559e-278
"259",1.28630987949331e-279
"260",3.51843143660783e-281
"261",9.57399724849465e-283
"262",2.59169479589597e-284
"263",6.97953275402295e-286
"264",1.86993413230509e-287
"265",4.98412832988196e-289
"266",1.32166230049083e-290
"267",3.48678806384354e-292
"268",9.15186689507866e-294
"269",2.38989170382199e-295
"270",6.2092102917556e-297
"271",1.60505281411164e-298
"272",4.12802427566115e-300
"273",1.05633145641419e-301
"274",2.68947982639683e-303
"275",6.81320544764067e-305
"276",1.71733395879942e-306
"277",4.30708089056587e-308
"278",1.07483344413488e-309
"279",2.66891055139201e-311
"280",6.59426443777537e-313
"281",1.62122367877882e-314
"282",3.96614383922476e-316
"283",9.65489745330526e-318
"284",2.33875854771871e-319
"285",5.63728901904862e-321
"286",1.33397724377137e-322
"287",4.94065645841247e-324
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
