"","x"
"1",0.991262539863645
"2",0.00171300827620511
"3",0.000852877281181558
"4",0.000565682985412726
"5",0.000421972570094522
"6",0.000335705853695416
"7",0.00027817774631514
"8",0.000237078894387786
"9",0.000206251919915888
"10",0.000182274853322235
"11",0.00016309393405759
"12",0.000147401929526698
"13",0.000134327107137733
"14",0.000123265664930882
"15",0.000113786179508653
"16",0.000105572610084567
"17",9.83885374385899e-05
"18",9.20531712675524e-05
"19",8.64246173862474e-05
"20",8.13890139077275e-05
"21",7.68548409292812e-05
"22",7.27504055900781e-05
"23",6.90212803077801e-05
"24",6.56253030079179e-05
"25",6.25255513578049e-05
"26",5.96843736771693e-05
"27",5.70619003161289e-05
"28",5.46200773372497e-05
"29",5.23298216194218e-05
"30",5.01767581947985e-05
"31",4.81615496063617e-05
"32",4.62936815812837e-05
"33",4.45810344725931e-05
"34",4.30197828978926e-05
"35",4.15891172519801e-05
"36",4.02531841790443e-05
"37",3.896962348649e-05
"38",3.77015009023029e-05
"39",3.64282761684523e-05
"40",3.51519725501148e-05
"41",3.38965249509111e-05
"42",3.27005913866247e-05
"43",3.16060979681287e-05
"44",3.06458807140898e-05
"45",2.98337949158244e-05
"46",2.9159744565403e-05
"47",2.85906304147031e-05
"48",2.80766859671105e-05
"49",2.75614585301034e-05
"50",2.69930364153135e-05
"51",2.63340845196469e-05
"52",2.55687372279392e-05
"53",2.47052205098269e-05
"54",2.37740105922003e-05
"55",2.28221817441257e-05
"56",2.19052051683232e-05
"57",2.1077762805813e-05
"58",2.03851327179034e-05
"59",1.98564402267271e-05
"60",1.95006376852164e-05
"61",1.93055726400771e-05
"62",1.92400183214921e-05
"63",1.92581406142448e-05
"64",1.93056045577635e-05
"65",1.93263971501039e-05
"66",1.92694551183718e-05
"67",1.90943126817653e-05
"68",1.87751910700536e-05
"69",1.83032004726381e-05
"70",1.76865793251658e-05
"71",1.69491240846724e-05
"72",1.61271419613806e-05
"73",1.52653762746619e-05
"74",1.44124057269943e-05
"75",1.36160099849097e-05
"76",1.2918935894477e-05
"77",1.23554064725152e-05
"78",1.19486044759669e-05
"79",1.17092484547851e-05
"80",1.16352733503863e-05
"81",1.17125377940067e-05
"82",1.19164104936627e-05
"83",1.22140396559325e-05
"84",1.25670813758843e-05
"85",1.29346533323238e-05
"86",1.32762865474737e-05
"87",1.35546680245815e-05
"88",1.37379984625728e-05
"89",1.3801829593588e-05
"90",1.37302923304198e-05
"91",1.35166767290197e-05
"92",1.3163374218293e-05
"93",1.26812378734123e-05
"94",1.2088454148392e-05
"95",1.14090465377685e-05
"96",1.06711462963379e-05
"97",9.90516717735295e-06
"98",9.1420111674756e-06
"99",8.41141269616062e-06
"100",7.7405029839884e-06
"101",7.15264768434884e-06
"102",6.66658325312458e-06
"103",6.29585343228237e-06
"104",6.04852878800596e-06
"105",5.92718022786523e-06
"106",5.92907158698885e-06
"107",6.04653560004203e-06
"108",6.26750018720806e-06
"109",6.57613611174078e-06
"110",6.95360100879275e-06
"111",7.37885727596534e-06
"112",7.8295417026154e-06
"113",8.28286300144178e-06
"114",8.71650017981202e-06
"115",9.10947095321062e-06
"116",9.44293635380103e-06
"117",9.70090646925052e-06
"118",9.87081374276046e-06
"119",9.94392493568401e-06
"120",9.91557065998201e-06
"121",9.78518179525703e-06
"122",9.55613416925343e-06
"123",9.23541538835563e-06
"124",8.83313935107284e-06
"125",8.36194354825898e-06
"126",7.83631078427227e-06
"127",7.27185984503473e-06
"128",6.68464871966288e-06
"129",6.09052950534136e-06
"130",5.50458671420737e-06
"131",4.9406812529302e-06
"132",4.41111190728565e-06
"133",3.92639580292786e-06
"134",3.49515999913024e-06
"135",3.12412888075346e-06
"136",2.81818686576925e-06
"137",2.58049337941261e-06
"138",2.41262702348324e-06
"139",2.31473811076394e-06
"140",2.28569277260537e-06
"141",2.32319709251485e-06
"142",2.4238955254409e-06
"143",2.58344359587306e-06
"144",2.7965599564888e-06
"145",3.05706686868697e-06
"146",3.35793070983798e-06
"147",3.69131504595675e-06
"148",4.04865811668204e-06
"149",4.42078439536819e-06
"150",4.79805647541351e-06
"151",5.17056926327047e-06
"152",5.52838376705112e-06
"153",5.86179312558316e-06
"154",6.16160938308937e-06
"155",6.41945628417173e-06
"156",6.62805135892888e-06
"157",6.78145998841277e-06
"158",6.87530505122489e-06
"159",6.90691807829608e-06
"160",6.87542137929872e-06
"161",6.78173503585684e-06
"162",6.62850759183145e-06
"163",6.41997428007718e-06
"164",6.16175128385655e-06
"165",5.86057846108577e-06
"166",5.52402586277717e-06
"167",5.1601810608065e-06
"168",4.77733468996881e-06
"169",4.38368074872708e-06
"170",3.98704624143607e-06
"171",3.59466191509937e-06
"172",3.21298243352309e-06
"173",2.84756065141836e-06
"174",2.50297700245869e-06
"175",2.18282166487795e-06
"176",1.88972432634046e-06
"177",1.62542417880651e-06
"178",1.39087130433986e-06
"179",1.18634986685037e-06
"180",1.0116134478581e-06
"181",8.66023359057829e-07
"182",7.4868170732215e-07
"183",6.58552245882044e-07
"184",5.94563490781308e-07
"185",5.55690102305913e-07
"186",5.41010037806331e-07
"187",5.49736411524018e-07
"188",5.81224309325019e-07
"189",6.3495398223165e-07
"190",7.10492876665852e-07
"191",8.07439852470631e-07
"192",9.25355693335694e-07
"193",1.06368462449471e-06
"194",1.22167200768307e-06
"195",1.39828366288561e-06
"196",1.59213234317621e-06
"197",1.80141673317655e-06
"198",2.02387792668372e-06
"199",2.25677764777438e-06
"200",2.49690151097173e-06
"201",2.74058938958402e-06
"202",2.98379352080215e-06
"203",3.22216338967239e-06
"204",3.45115479150215e-06
"205",3.66615887966685e-06
"206",3.86264557727459e-06
"207",4.03631457893238e-06
"208",4.18324639255249e-06
"209",4.30004554742014e-06
"210",4.38396826864939e-06
"211",4.43302759703686e-06
"212",4.44607008429005e-06
"213",4.42281974486128e-06
"214",4.36388679168452e-06
"215",4.27074069349444e-06
"216",4.14564912181015e-06
"217",3.99158626062728e-06
"218",3.81211559746474e-06
"219",3.61125358977801e-06
"220",3.3933214271119e-06
"221",3.162792445891e-06
"222",2.92414259957235e-06
"223",2.68171077935463e-06
"224",2.43957479004701e-06
"225",2.20144750731929e-06
"226",1.97059628685564e-06
"227",1.74978717814598e-06
"228",1.54125402571417e-06
"229",1.34669121446899e-06
"230",1.16726770897563e-06
"231",1.00365919954587e-06
"232",8.56094625837393e-07
"233",7.24413100851724e-07
"234",6.08127282698454e-07
"235",5.06489498951896e-07
"236",4.18557367923197e-07
"237",3.43256225866185e-07
"238",2.79436301675117e-07
"239",2.25923227719433e-07
"240",1.81561091316692e-07
"241",1.45247779937088e-07
"242",1.15962829277287e-07
"243",9.2788332230422e-08
"244",7.4923703657208e-08
"245",6.16952241212361e-08
"246",5.25613152167865e-08
"247",4.71144441865109e-08
"248",4.50804334377846e-08
"249",4.63157799459327e-08
"250",5.08033892715298e-08
"251",5.86469173882512e-08
"252",7.00637080608594e-08
"253",8.53761301321163e-08
"254",1.05000972206674e-07
"255",1.29436454482109e-07
"256",1.59246379342768e-07
"257",1.95040971631538e-07
"258",2.37454060800608e-07
"259",2.87116430944783e-07
"260",3.44625406787773e-07
"261",4.10511044340757e-07
"262",4.85199638686716e-07
"263",5.68975626883941e-07
"264",6.61943324847166e-07
"265",7.63990262791695e-07
"266",8.74754141847844e-07
"267",9.93595592575086e-07
"268",1.11957894542783e-06
"269",1.25146310127207e-06
"270",1.38770430380013e-06
"271",1.52647216413881e-06
"272",1.66567968387774e-06
"273",1.80302729336787e-06
"274",1.93606010836966e-06
"275",2.06223676243441e-06
"276",2.17900735524822e-06
"277",2.28389733231922e-06
"278",2.37459354042259e-06
"279",2.44902833978675e-06
"280",2.50545753842494e-06
"281",2.54252806878746e-06
"282",2.55933175369204e-06
"283",2.55544218694873e-06
"284",2.53093264282676e-06
"285",2.48637396803072e-06
"286",2.42281252741311e-06
"287",2.34172939042414e-06
"288",2.24498297932163e-06
"289",2.13473827930998e-06
"290",2.01338637507566e-06
"291",1.88345848580849e-06
"292",1.74753880124551e-06
"293",1.60818027647816e-06
"294",1.46782714654119e-06
"295",1.32874731486906e-06
"296",1.19297700811834e-06
"297",1.06227923744063e-06
"298",9.38116729168124e-07
"299",8.21639148701044e-07
"300",7.13683694381037e-07
"301",6.14787525303629e-07
"302",5.25210035857295e-07
"303",4.44962712502355e-07
"304",3.73844202592191e-07
"305",3.11478275955225e-07
"306",2.57352542789757e-07
"307",2.10856075038482e-07
"308",1.71314428700153e-07
"309",1.38020947653742e-07
"310",1.10263614637412e-07
"311",8.73470761560211e-08
"312",6.86097856439216e-08
"313",5.34364702694969e-08
"314",4.12663249560162e-08
"315",3.1597471943079e-08
"316",2.39882996752653e-08
"317",1.80563185641468e-08
"318",1.3475152925924e-08
"319",9.97023874272032e-09
"320",7.31372628657359e-09
"321",5.31900461251885e-09
"322",3.83517955216017e-09
"323",2.74175447734658e-09
"324",1.94368832382317e-09
"325",1.3669410558398e-09
"326",9.54564345577679e-10
"327",6.63354995760176e-10
"328",4.61059946166003e-10
"329",3.24103400426008e-10
"330",2.35797196768648e-10
"331",1.84993415742732e-10
"332",1.6514178067678e-10
"333",1.73722173396942e-10
"334",2.12033192620297e-10
"335",2.85329861807859e-10
"336",4.03316130976995e-10
"337",5.81009469857137e-10
"338",8.4000426834895e-10
"339",1.21016642160869e-09
"340",1.73179164799952e-09
"341",2.45825283738408e-09
"342",3.45914500553759e-09
"343",4.82390823431367e-09
"344",6.66586760644941e-09
"345",9.1265735539175e-09
"346",1.23802562733636e-08
"347",1.66381255354097e-08
"348",2.21521559875529e-08
"349",2.92179040280653e-08
"350",3.81758142824208e-08
"351",4.941040302704e-08
"352",6.33466661354423e-08
"353",8.04430651060255e-08
"354",1.01180511190259e-07
"355",1.26046907317141e-07
"356",1.55517028944184e-07
"357",1.90027830119652e-07
"358",2.29949643070759e-07
"359",2.75554181170697e-07
"360",3.26980727491398e-07
"361",3.8420235478934e-07
"362",4.46994429388292e-07
"363",5.14907947662306e-07
"364",5.87250386588497e-07
"365",6.6307667276812e-07
"366",7.41192554765096e-07
"367",8.20172089289073e-07
"368",8.98390135951438e-07
"369",9.74069739795135e-07
"370",1.04534313538988e-06
"371",1.11032392488708e-06
"372",1.16718687521823e-06
"373",1.21425086212218e-06
"374",1.25005986877994e-06
"375",1.27345671124374e-06
"376",1.28364436493369e-06
"377",1.28023041715461e-06
"378",1.26325123390322e-06
"379",1.23317382357219e-06
"380",1.19087498529663e-06
"381",1.13759899911231e-06
"382",1.07489669207462e-06
"383",1.00455004992314e-06
"384",9.28487513505983e-07
"385",8.48695617814063e-07
"386",7.67132662335828e-07
"387",6.85649659341608e-07
"388",6.05922954767002e-07
"389",5.2940175687117e-07
"390",4.57272468659931e-07
"391",3.90440338625018e-07
"392",3.29527651524951e-07
"393",2.74886586858824e-07
"394",2.26624056341626e-07
"395",1.84635335242797e-07
"396",1.48643130651163e-07
"397",1.18238853927061e-07
"398",9.2923230290285e-08
"399",7.21439149741158e-08
"400",5.53284159951865e-08
"401",4.19112751163538e-08
"402",3.13550686656013e-08
"403",2.31653119245861e-08
"404",1.68997560938668e-08
"405",1.21728441171169e-08
"406",8.65624470550535e-09
"407",6.07642793366755e-09
"408",4.21020313831511e-09
"409",2.87903596958312e-09
"410",1.94282133888739e-09
"411",1.29363469638112e-09
"412",8.49833012221171e-10
"413",5.50741296754982e-10
"414",3.52047705431756e-10
"415",2.21943118641759e-10
"416",1.37979095444756e-10
"417",8.45785320634925e-11
"418",5.11122064268588e-11
"419",3.04472234456647e-11
"420",1.78759354836122e-11
"421",1.03425055298042e-11
"422",5.89596514763185e-12
"423",3.31124109002073e-12
"424",1.83175039022423e-12
"425",9.97958349391032e-13
"426",5.3537530273213e-13
"427",2.82768645809224e-13
"428",1.47013206954678e-13
"429",7.52240474838191e-14
"430",3.78750448869579e-14
"431",1.87613594440047e-14
"432",9.14126562236888e-15
"433",4.38018977738509e-15
"434",2.06364599211676e-15
"435",9.55743881141635e-16
"436",4.35028249347227e-16
"437",1.94565386749333e-16
"438",8.54841058486772e-17
"439",3.68869771812785e-17
"440",1.56286509241863e-17
"441",6.50009799801387e-18
"442",2.65310122367913e-18
"443",1.06244098776291e-18
"444",4.17301877812068e-19
"445",1.60717615103297e-19
"446",6.06754142412445e-20
"447",2.24471823986667e-20
"448",8.13522046663089e-21
"449",2.88727690668373e-21
"450",1.00315188740014e-21
"451",3.41071641716047e-22
"452",1.13438461768087e-22
"453",3.68925970794441e-23
"454",1.17274480782339e-23
"455",3.64222506394488e-24
"456",1.10467485455911e-24
"457",3.27041897731315e-25
"458",9.44628676160471e-26
"459",2.66063535425111e-26
"460",7.30370489402265e-27
"461",1.95294717818432e-27
"462",5.08359352238868e-28
"463",1.28740355437116e-28
"464",3.16984892436959e-29
"465",7.58304376303933e-30
"466",1.76122306754462e-30
"467",3.96842107493959e-31
"468",8.66764346132416e-32
"469",1.83353996297242e-32
"470",3.75308819712904e-33
"471",7.42632345389364e-34
"472",1.41904269819624e-34
"473",2.61560836320069e-35
"474",4.64505502132892e-36
"475",7.93775225163803e-37
"476",1.30346247500582e-37
"477",2.05377490809741e-38
"478",3.10003759712817e-39
"479",4.47494966949464e-40
"480",6.16590142352079e-41
"481",8.09274561837104e-42
"482",1.0094900979257e-42
"483",1.19379534402002e-43
"484",1.33467802437021e-44
"485",1.40637560419175e-45
"486",1.39187688662276e-46
"487",1.28877489502108e-47
"488",1.11146910864241e-48
"489",8.8826424666094e-50
"490",6.5393686870744e-51
"491",4.40406462598888e-52
"492",2.69087451689748e-53
"493",1.47669943000472e-54
"494",7.1888004706112e-56
"495",3.05596781139342e-57
"496",1.11126102232488e-58
"497",3.36066841428896e-60
"498",8.11428993389688e-62
"499",1.46643793986088e-63
"500",1.76325203189685e-65
"501",7.7981423328394e-06
