"","x"
"1",1.10806724712094e-14
"2",3.61844146771464e-13
"3",5.90218038237618e-12
"4",6.41175912755905e-11
"5",5.21876570283382e-10
"6",3.39478729027901e-09
"7",1.83839923997502e-08
"8",8.52478844332158e-08
"9",3.45539981331774e-07
"10",1.24372081292325e-06
"11",4.02487123110572e-06
"12",1.18290518038654e-05
"13",3.18361405362667e-05
"14",7.90113421858433e-05
"15",0.000181900540782303
"16",0.000390458678397546
"17",0.000784958617616902
"18",0.00148370777542822
"19",0.00264596941140453
"20",0.00446578838633804
"21",0.00715307181968067
"22",0.0109007103631945
"23",0.015840549584112
"24",0.0219956448058106
"25",0.0292398711025867
"26",0.0372769779400806
"27",0.0456485932329259
"28",0.0537747035509281
"29",0.0610222571486873
"30",0.0667900807613388
"31",0.0705936077828793
"32",0.0721324780045054
"33",0.0713280062087455
"34",0.0683245745262746
"35",0.0634570570348864
"36",0.0571932061205241
"37",0.0500639012590306
"38",0.0425946871678477
"39",0.0352495483965854
"40",0.0283935343864703
"41",0.0222760552548145
"42",0.0170326058541174
"43",0.0127000621811989
"44",0.00923970987562973
"45",0.00656255611334397
"46",0.00455275041113742
"47",0.00308656065640425
"48",0.00204588287305171
"49",0.00132644077545254
"50",0.000841558219453961
"51",0.000522697126462864
"52",0.000317950107118747
"53",0.000189486065564613
"54",0.000110678988112111
"55",6.33835899007653e-05
"56",3.56008784073884e-05
"57",1.96182348497963e-05
"58",1.06099295861846e-05
"59",5.63315413652729e-06
"60",2.93701361495685e-06
"61",1.50417985041153e-06
"62",7.56925644250904e-07
"63",3.74354067107388e-07
"64",1.82012107614013e-07
"65",8.7019248701631e-08
"66",4.09197767270583e-08
"67",1.89302506597258e-08
"68",8.61755119237488e-09
"69",3.86110877681295e-09
"70",1.70307703362257e-09
"71",7.39675727051305e-10
"72",3.16389018330908e-10
"73",1.33309178587957e-10
"74",5.53401844623088e-11
"75",2.26383125037031e-11
"76",9.12744464731801e-12
"77",3.62771183812975e-12
"78",1.4215739684155e-12
"79",5.49328326593518e-13
"80",2.09358818155384e-13
"81",7.87075393379361e-14
"82",2.91927210528374e-14
"83",1.06839456566387e-14
"84",3.8587948749449e-15
"85",1.37561586699813e-15
"86",4.84093396370856e-16
"87",1.68192735905714e-16
"88",5.77018333416518e-17
"89",1.9549387330433e-17
"90",6.54174207431498e-18
"91",2.16234366523891e-18
"92",7.06122665937487e-19
"93",2.27830383902337e-19
"94",7.26390199139634e-20
"95",2.2887841809162e-20
"96",7.1279536896147e-21
"97",2.19430831835294e-21
"98",6.67805174025772e-22
"99",2.00940226779221e-22
"100",5.9785197034572e-23
"101",1.75903260598477e-23
"102",5.11859136028177e-24
"103",1.47321256112133e-24
"104",4.19430452519446e-25
"105",1.18133887727911e-25
"106",3.29191521414624e-26
"107",9.07655920896228e-27
"108",2.47645488167629e-27
"109",6.68672645715937e-28
"110",1.78692920811052e-28
"111",4.72658856966594e-29
"112",1.23757139361607e-29
"113",3.20781588965628e-30
"114",8.23188681593617e-31
"115",2.09157572560352e-31
"116",5.26217041134136e-32
"117",1.31100885062411e-32
"118",3.23465123151858e-33
"119",7.90426679921443e-34
"120",1.91310430305898e-34
"121",4.58657759037187e-35
"122",1.08928489287099e-35
"123",2.56286634930974e-36
"124",5.97407674145177e-37
"125",1.37976187084148e-37
"126",3.1575749373182e-38
"127",7.16055373312253e-39
"128",1.60919899850818e-39
"129",3.58401205327323e-40
"130",7.91136952526637e-41
"131",1.73093957183393e-41
"132",3.7539224581657e-42
"133",8.07024234642132e-43
"134",1.71992731865577e-43
"135",3.63395736514007e-44
"136",7.61236116682644e-45
"137",1.5810733487867e-45
"138",3.25612169016971e-46
"139",6.64948132260375e-47
"140",1.34659088349621e-47
"141",2.70437068500391e-48
"142",5.38642964995645e-49
"143",1.06404806284379e-49
"144",2.08481695180824e-50
"145",4.0517411610796e-51
"146",7.81093258875146e-52
"147",1.49372820837325e-52
"148",2.83378927534107e-53
"149",5.33347547001336e-54
"150",9.95907635897796e-55
"151",1.84506978617657e-55
"152",3.3916435993352e-56
"153",6.1862824603645e-57
"154",1.1196688628045e-57
"155",2.01097987472701e-58
"156",3.58427912650273e-59
"157",6.34000160112486e-60
"158",1.11298060333783e-60
"159",1.93915943309764e-61
"160",3.35338886773537e-62
"161",5.75592816592106e-63
"162",9.80672979199281e-64
"163",1.65854244127152e-64
"164",2.7844436767785e-65
"165",4.64061437846571e-66
"166",7.67809088315442e-67
"167",1.26120902476668e-67
"168",2.05680009226798e-68
"169",3.33029907449171e-69
"170",5.35396209619773e-70
"171",8.54639238708445e-71
"172",1.35462861202241e-71
"173",2.13207148553578e-72
"174",3.33227956203392e-73
"175",5.17193579199254e-74
"176",7.9716928532413e-75
"177",1.22024566013762e-75
"178",1.85505440432248e-76
"179",2.80086333060688e-77
"180",4.20016293572713e-78
"181",6.25593494796573e-79
"182",9.25513878290251e-80
"183",1.36003749969463e-80
"184",1.985219493229e-81
"185",2.87851302122196e-82
"186",4.14612186158436e-83
"187",5.93256029749461e-84
"188",8.43296685233924e-85
"189",1.19088143083981e-85
"190",1.67077582388913e-86
"191",2.3288465293915e-87
"192",3.225135421025e-88
"193",4.4376258410167e-89
"194",6.0668068365933e-90
"195",8.24114216698199e-91
"196",1.11235463937821e-91
"197",1.49189587579094e-92
"198",1.98830850335598e-93
"199",2.63323463506582e-94
"200",3.46550304284858e-95
"201",4.53235833808924e-96
"202",5.89079083231546e-97
"203",7.60894501980047e-98
"204",9.76757452118351e-99
"205",1.24614999819064e-99
"206",1.58010141412226e-100
"207",1.99131655322933e-101
"208",2.49428396498106e-102
"209",3.10535446872816e-103
"210",3.84277989956792e-104
"211",4.726701024963e-105
"212",5.77907329909298e-106
"213",7.02351928209536e-107
"214",8.48509730349896e-108
"215",1.01899773783781e-108
"216",1.21650175521828e-109
"217",1.44372367839567e-110
"218",1.70331841645021e-111
"219",1.99782086444369e-112
"220",2.32956384024329e-113
"221",2.70058843469111e-114
"222",3.11254877929762e-115
"223",3.56661378215285e-116
"224",4.06336889039958e-117
"225",4.60272137367143e-118
"226",5.18381295425509e-119
"227",5.80494380497635e-120
"228",6.46351196746286e-121
"229",7.15597209020888e-122
"230",7.87781703472666e-123
"231",8.62358534597682e-124
"232",9.38689683841695e-125
"233",1.01605176313968e-125
"234",1.0936454908906e-126
"235",1.17060805211601e-127
"236",1.24602813404007e-128
"237",1.31896330881706e-129
"238",1.38845932270619e-130
"239",1.45357075171155e-131
"240",1.5133824032302e-132
"241",1.56703078648282e-133
"242",1.613724945248e-134
"243",1.65276594712526e-135
"244",1.68356435509982e-136
"245",1.70565506880616e-137
"246",1.71870901217584e-138
"247",1.72254125716661e-139
"248",1.71711530474914e-140
"249",1.70254338800821e-141
"250",1.67908281118277e-142
"251",1.64712848557165e-143
"252",1.60720196149557e-144
"253",1.55993737853726e-145
"254",1.50606485862356e-146
"255",1.44639194393608e-147
"256",1.38178373134171e-148
"257",1.31314237576069e-149
