"","x"
"1",0.431018478675234
"2",0.363052472671751
"3",0.152596106925108
"4",0.0426731838606102
"5",0.00893212823218073
"6",0.00149269172907593
"7",0.000207456754752488
"8",2.46638002159245e-05
"9",2.56047435885332e-06
"10",2.3580148150251e-07
"11",1.95043520131645e-08
"12",1.46365400790067e-09
"13",1.00477667406526e-10
"14",6.35403377515231e-12
"15",3.72352221732971e-13
"16",2.03236854491402e-14
"17",1.03783359683731e-15
"18",4.97768799039613e-17
"19",2.25012062996815e-18
"20",9.6161835351052e-20
"21",3.89602136134014e-21
"22",1.50019176444083e-22
"23",5.50253881251154e-24
"24",1.92648965000187e-25
"25",6.45026151038513e-27
"26",2.06893940586688e-28
"27",6.36753789219845e-30
"28",1.88317040566824e-31
"29",5.35915397348963e-33
"30",1.46941253596961e-34
"31",3.88639463547522e-36
"32",9.9262810392481e-38
"33",2.4508285815175e-39
"34",5.85528925806763e-41
"35",1.35484565560869e-42
"36",3.03886355288421e-44
"37",6.61249196741846e-46
"38",1.39696304955551e-47
"39",2.86738374091187e-49
"40",5.72224820784101e-51
"41",1.11099250942775e-52
"42",2.09985163510163e-54
"43",3.86594357355382e-56
"44",6.93674992698791e-58
"45",1.21373273939738e-59
"46",2.07194823387918e-61
"47",3.45251815209896e-63
"48",5.61820355878495e-65
"49",8.93218974448472e-67
"50",1.38804581124865e-68
"51",2.10918096080213e-70
"52",3.13515982294784e-72
"53",4.56043413122426e-74
"54",6.49399330761377e-76
"55",9.05584759583919e-78
"56",1.23709992107593e-79
"57",1.65607601813055e-81
"58",2.17316092521067e-83
"59",2.79621863175135e-85
"60",3.52894498446826e-87
"61",4.36954012624533e-89
"62",5.30960334636686e-91
"63",6.33342182130323e-93
"64",7.41780615654776e-95
"65",8.53258155592533e-97
"66",9.64177706554705e-99
"67",1.07054742699528e-100
"68",1.16821921097476e-102
"69",1.25316088975891e-104
"70",1.32173683527736e-106
"71",1.37096929617574e-108
"72",1.39875399649407e-110
"73",1.40400818983042e-112
"74",1.38673684581916e-114
"75",1.34801186633729e-116
"76",1.28986885338507e-118
"77",1.21513463196884e-120
"78",1.12720533357593e-122
"79",1.02979861809047e-124
"80",9.26704281108836e-127
"81",8.21555264908275e-129
"82",7.17636566455974e-131
"83",6.17743572278495e-133
"84",5.24094895154175e-135
"85",4.38298721101916e-137
"86",3.6136668632133e-139
"87",2.93765820028306e-141
"88",2.35497259313008e-143
"89",1.86190167102717e-145
"90",1.45200280741097e-147
"91",1.11704398275863e-149
"92",8.4784456951358e-152
"93",6.34972955597521e-154
"94",4.69284216713213e-156
"95",3.42299298072834e-158
"96",2.46440420877154e-160
"97",1.75145602218381e-162
"98",1.22888819633474e-164
"99",8.51323943679064e-167
"100",5.82356881382796e-169
"101",3.93402476254476e-171
"102",2.62469722298631e-173
"103",1.72963888621603e-175
"104",1.12591289468608e-177
"105",7.24044844314085e-180
"106",4.60018033641153e-182
"107",2.88781649396516e-184
"108",1.79137100996475e-186
"109",1.09814032979805e-188
"110",6.65305196472653e-191
"111",3.98390058840225e-193
"112",2.35805334670921e-195
"113",1.37971285157738e-197
"114",7.98078289596439e-200
"115",4.5640996222823e-202
"116",2.58076276803857e-204
"117",1.44296012499568e-206
"118",7.97816837238225e-209
"119",4.36237975409959e-211
"120",2.35908383974965e-213
"121",1.26180025314083e-215
"122",6.67563128768659e-218
"123",3.49361646525772e-220
"124",1.80869533768186e-222
"125",9.26378760229919e-225
"126",4.69429011258109e-227
"127",2.35360811925507e-229
"128",1.16763079304479e-231
"129",5.73202276984213e-234
"130",2.78461168655066e-236
"131",1.33874759529207e-238
"132",6.36990033225082e-241
"133",2.99977427912267e-243
"134",1.39826104877771e-245
"135",6.45138604684116e-248
"136",2.94648240776727e-250
"137",1.33217510492186e-252
"138",5.96273673547919e-255
"139",2.64226686486917e-257
"140",1.15924158980896e-259
"141",5.03566261441458e-262
"142",2.165925518462e-264
"143",9.2247186078867e-267
"144",3.89048389093095e-269
"145",1.62484841233074e-271
"146",6.72044995037082e-274
"147",2.75281707434314e-276
"148",1.11677783442621e-278
"149",4.48728114474613e-281
"150",1.78584260837722e-283
"151",7.03983601646982e-286
"152",2.74888863016784e-288
"153",1.06326737659416e-290
"154",4.07411990998359e-293
"155",1.54648626065342e-295
"156",5.81559255058724e-298
"157",2.1666660247788e-300
"158",7.99750036158852e-303
"159",2.92479078974064e-305
"160",1.05980824323514e-307
"161",3.80509228735495e-310
"162",1.35369785401546e-312
"163",4.77210432303578e-315
"164",1.6670264015673e-317
"165",5.77068674342576e-320
"166",1.97626258336499e-322
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
