"","x"
"1",1.0526477317322e-07
"2",1.71873332295139e-06
"3",1.40034318133252e-05
"4",7.59098272259275e-05
"5",0.000307999374305689
"6",0.00099773898129944
"7",0.00268798179302519
"8",0.00619456287635744
"9",0.0124658825756035
"10",0.0222536400382731
"11",0.0356810794818367
"12",0.0519035202086643
"13",0.0690684739667523
"14",0.0846665306430313
"15",0.0961763129065579
"16",0.101758001199706
"17",0.100726967103189
"18",0.0936478112970074
"19",0.0820592779405748
"20",0.0679792802967762
"21",0.0533884210567494
"22",0.0398496446904268
"23",0.0283330103290516
"24",0.0192286243176974
"25",0.0124798908108555
"26",0.00775948974612655
"27",0.00462923106769068
"28",0.00265386526654408
"29",0.0014639876523037
"30",0.000778102567559255
"31",0.00039892562551002
"32",0.000197507473085962
"33",9.45282963745674e-05
"34",4.37773207066869e-05
"35",1.96355276143001e-05
"36",8.53720837297175e-06
"37",3.60098877550798e-06
"38",1.4746652895873e-06
"39",5.86740796822264e-07
"40",2.26975556050305e-07
"41",8.54231253261314e-08
"42",3.12971553431659e-08
"43",1.11692418400779e-08
"44",3.88486696143679e-09
"45",1.31763495731341e-09
"46",4.36016446443822e-10
"47",1.40835412429463e-10
"48",4.44247813253837e-11
"49",1.36910796565474e-11
"50",4.12415981181741e-12
"51",1.21477950828756e-12
"52",3.5002190884268e-13
"53",9.86946611131031e-14
"54",2.72427684063252e-14
"55",7.36411285796421e-15
"56",1.95006029031194e-15
"57",5.06029058321609e-16
"58",1.28717917532837e-16
"59",3.21048149815385e-17
"60",7.85408980990576e-18
"61",1.88511841540957e-18
"62",4.44034701107594e-19
"63",1.02670381550888e-19
"64",2.33095651107232e-20
"65",5.19745894834713e-21
"66",1.13846487080005e-21
"67",2.45030637300998e-22
"68",5.18311387162921e-23
"69",1.07776770962083e-23
"70",2.20351117709166e-24
"71",4.43047124078173e-25
"72",8.76224641784448e-26
"73",1.70488736489861e-26
"74",3.2641644828746e-27
"75",6.1506869601654e-28
"76",1.14084697113385e-28
"77",2.0833304682713e-29
"78",3.74618077407952e-30
"79",6.63422091661931e-31
"80",1.15725941520249e-31
"81",1.98874117514486e-32
"82",3.36742530328288e-33
"83",5.61892940027676e-34
"84",9.24074952549299e-35
"85",1.49802617363492e-35
"86",2.39413833288375e-36
"87",3.77271778693642e-37
"88",5.86260780681742e-38
"89",8.98490843073108e-39
"90",1.35823931949025e-39
"91",2.02549439142991e-40
"92",2.98008700197213e-41
"93",4.32633213868625e-42
"94",6.19801333386493e-43
"95",8.76343754142736e-44
"96",1.22301661726756e-44
"97",1.68489011339809e-45
"98",2.29158856611041e-46
"99",3.07730860326068e-47
"100",4.08053721819216e-48
"101",5.34339340216813e-49
"102",6.91052752767984e-50
"103",8.82753318989372e-51
"104",1.11388573032008e-51
"105",1.38852352352295e-52
"106",1.7100726550143e-53
"107",2.080947994021e-54
"108",2.50224082047427e-55
"109",2.97339997524829e-56
"110",3.49195257191788e-57
"111",4.05329154290879e-58
"112",4.6505562821619e-59
"113",5.27462898803072e-60
"114",5.91426300067476e-61
"115",6.55635077231588e-62
"116",7.18632871959522e-63
"117",7.78870496497906e-64
"118",8.34768494324683e-65
"119",8.8478601635662e-66
"120",9.27491814741143e-67
"121",9.61632757899951e-68
"122",9.8619525648424e-69
"123",1.00045537643166e-69
"124",1.00401417586018e-70
"125",9.96815870050046e-72
"126",9.79147703068072e-73
"127",9.51621763943751e-74
"128",9.15140300631303e-75
"129",8.70847234721941e-76
"130",8.20069463480566e-77
"131",7.6425208421891e-78
"132",7.0489185781297e-79
"133",6.43473050666744e-80
"134",5.81409300266183e-81
"135",5.19994409188148e-82
"136",4.60364074362914e-83
"137",4.03469597463974e-84
"138",3.50063689228237e-85
"139",3.00697652682365e-86
"140",2.55728565256977e-87
"141",2.1533461201717e-88
"142",1.79536462652773e-89
"143",1.48222523280964e-90
"144",1.21176003600182e-91
"145",9.81019823358975e-93
"146",7.86529856199488e-94
"147",6.24519702251524e-95
"148",4.91119869691811e-96
"149",3.82521569484499e-97
"150",2.95099013693535e-98
"151",2.25496107366339e-99
"152",1.70681157800614e-100
"153",1.27974326634866e-101
"154",9.50530594816341e-103
"155",6.99407504580711e-104
"156",5.09835558934113e-105
"157",3.68196836723406e-106
"158",2.63447618545728e-107
"159",1.86761237977191e-108
"160",1.31181067191673e-109
"161",9.12979424069864e-111
